WindSpeed,ElectricalPower,AerodynamicPower,Ct,,,
3.0000,0.051620327,0.055110827,0.814,,,
3.5392,0.123368159,0.131710153,0.804,,,
4.0485,0.213241509,0.227660622,0.798,,,
4.5267,0.318837998,0.340397408,0.795,,,
4.9730,0.435956487,0.465435297,0.791,,,
5.3862,0.560898305,0.598825518,0.786,,,
5.7654,0.688906312,0.73548926,0.776,,,
6.1098,0.819125776,0.874513994,0.766,,,
6.4186,0.949723673,1.013942751,0.766,,,
6.6912,1.075927005,1.148679788,0.766,,,
6.9269,1.193682699,1.274397969,0.766,,,
7.1252,1.299172102,1.387020428,0.766,,,
7.2857,1.388952513,1.482871673,0.766,,,
7.4080,1.460081742,1.558810568,0.766,,,
7.4919,1.510222643,1.612341932,0.766,,,
7.5371,1.537725022,1.641703985,0.766,,,
7.5435,1.541682933,1.645929526,0.766,,,
7.5758,1.561569465,1.667160758,0.766,,,
7.6468,1.605876078,1.714463328,0.766,,,
7.7563,1.675862931,1.7891826,0.766,,,
7.9041,1.773500601,1.893422402,0.766,,,
8.0899,1.901498529,2.030075383,0.766,,,
8.3132,2.063341406,2.202861866,0.766,,,
8.5735,2.263331677,2.416375218,0.766,,,
8.8703,2.506635948,2.676131406,0.766,,,
9.2030,2.799332771,2.988620007,0.766,,,
9.5707,3.148458978,3.361353674,0.766,,,
9.8127,3.37,3.597850187,0.766,,,
10.4080,3.37,3.597850187,0.531,,,
10.8757,3.37,3.597850187,0.447,,,
11.3748,3.37,3.597850187,0.38,,,
11.9041,3.37,3.597850187,0.325,,,
12.4625,3.37,3.597850187,0.28,,,
13.0487,3.37,3.597850187,0.241,,,
13.6615,3.37,3.597850187,0.209,,,
14.2995,3.37,3.597850187,0.182,,,
14.9612,3.37,3.597850187,0.158,,,
15.6452,3.37,3.597850187,0.138,,,
16.3500,3.37,3.597850187,0.121,,,
17.0740,3.37,3.597850187,0.107,,,
17.8155,3.37,3.597850187,0.0945,,,
18.5731,3.37,3.597850187,0.0839,,,
19.3448,3.37,3.597850187,0.0748,,,
20.1292,3.37,3.597850187,0.0669,,,
20.9244,3.37,3.597850187,0.0601,,,
21.7286,3.37,3.597850187,0.0542,,,
22.5401,3.37,3.597850187,0.0491,,,
23.3570,3.37,3.597850187,0.0446,,,
24.1776,3.37,3.597850187,0.0406,,,
25.0000,3.37,3.597850187,0.0372,,,
