,index,sub_id,name,interconnect_sub_id,lat,lon,interconnect
0,0,0,AUBURN 1,1,43.9761,-70.2211,Eastern
1,1,1,AUBURN 2,2,44.101,-70.3053,Eastern
2,2,2,AUBURN 3,3,44.1799,-70.186,Eastern
3,3,3,AUBURN 4,4,44.1433,-70.2241,Eastern
4,4,4,DURHAM 1,5,44.0207,-70.1805,Eastern
5,5,5,GREENE 1,6,44.2482,-70.1988,Eastern
6,6,6,GREENE 2,7,44.2301,-70.1222,Eastern
7,7,7,GREENE 3,8,44.2567,-70.0894,Eastern
8,8,8,LEEDS 1,9,44.3398,-70.0998,Eastern
9,9,9,LEWISTON 1,10,44.0989,-70.155,Eastern
10,10,10,LEWISTON 2,11,44.0775,-70.139,Eastern
11,11,11,LEWISTON 3,12,44.1273,-70.0823,Eastern
12,12,12,LEWISTON 4,13,44.1654,-70.2236,Eastern
13,13,13,LISBON 1,14,43.95,-70.1035,Eastern
14,14,14,LISBON 2,15,44.025,-70.1141,Eastern
15,15,15,LISBON 3,16,44.0392,-70.1505,Eastern
16,16,16,LISBON FALLS 1,17,43.9856,-70.1025,Eastern
17,17,17,LISBON FALLS 2,18,44.0498,-70.0378,Eastern
18,18,18,LIVERMORE FALLS 1,19,44.4496,-70.1311,Eastern
19,19,19,LIVERMORE FALLS 2,20,44.4377,-70.2147,Eastern
20,20,20,MECHANIC FALLS 1,21,44.0905,-70.4246,Eastern
21,21,21,MECHANIC FALLS 2,22,44.143,-70.4718,Eastern
22,22,22,MECHANIC FALLS 3,23,44.1425,-70.3839,Eastern
23,23,23,POLAND 1,24,44.0427,-70.3883,Eastern
24,24,24,POLAND 2,25,44.009,-70.3499,Eastern
25,25,25,SABATTUS 1,26,44.1665,-70.1235,Eastern
26,26,26,SABATTUS 2,27,44.1392,-69.9854,Eastern
27,27,27,TURNER 1,28,44.2722,-70.2349,Eastern
28,28,28,TURNER 2,29,44.2792,-70.1724,Eastern
29,29,29,ASHLAND 1,30,46.2679,-68.8943,Eastern
30,30,30,ASHLAND 2,31,46.2901,-69.0327,Eastern
31,31,31,BLAINE,32,46.5134,-67.9299,Eastern
32,32,32,CARIBOU 1,33,46.8782,-67.976,Eastern
33,33,33,CARIBOU 2,34,46.9917,-68.0172,Eastern
34,34,34,CARIBOU 3,35,46.8955,-68.0743,Eastern
35,35,35,DANFORTH 1,36,45.6987,-67.9293,Eastern
36,36,36,DANFORTH 2,37,45.5818,-67.8406,Eastern
37,37,37,EAGLE LAKE 1,38,47.0238,-68.7954,Eastern
38,38,38,EAGLE LAKE 2,39,46.9679,-68.6624,Eastern
39,39,39,FORT FAIRFIELD 1,40,46.7217,-67.8312,Eastern
40,40,40,FORT FAIRFIELD 2,41,46.8159,-67.9343,Eastern
41,41,41,FORT FAIRFIELD 3,42,46.8103,-67.8251,Eastern
42,42,42,FORT KENT 1,43,47.1612,-68.6172,Eastern
43,43,43,FORT KENT 2,44,47.2351,-68.6359,Eastern
44,44,44,FRENCHVILLE 1,45,47.2223,-68.5069,Eastern
45,45,45,HOULTON 1,46,46.2065,-67.8508,Eastern
46,46,46,HOULTON 2,47,46.1341,-67.8768,Eastern
