,latitude,longitude
884657,31.85,-88.46
884711,31.57,-88.46
884720,31.61,-88.46
885072,31.53,-88.46
885214,31.49,-88.46
885224,31.97,-88.46
885320,31.77,-88.46
885328,32.05,-88.46
885331,32.01,-88.46
885422,31.45,-88.46
885434,31.89,-88.46
885448,31.93,-88.46
885469,31.65,-88.46
885472,31.81,-88.46
885527,31.69,-88.46
885530,31.73,-88.46
885559,31.77,-88.42
885563,31.73,-88.42
885565,31.33,-88.42
885580,32.29,-88.42
885618,32.37,-88.42
885688,32.09,-88.42
885704,31.49,-88.42
885712,32.13,-88.42
885732,31.69,-88.42
885762,31.89,-88.42
885794,31.17,-88.42
885804,31.65,-88.42
885805,30.77,-88.42
885822,30.73,-88.42
885845,31.81,-88.42
885854,31.93,-88.42
885861,30.81,-88.42
885873,30.85,-88.42
885892,32.01,-88.42
885893,31.29,-88.42
885921,32.25,-88.42
885940,31.25,-88.42
885950,32.33,-88.42
885951,31.13,-88.42
885957,31.97,-88.42
886035,31.53,-88.42
886053,31.05,-88.42
886099,31.41,-88.42
886115,31.01,-88.42
886159,30.93,-88.42
886172,31.57,-88.42
886177,32.05,-88.42
886219,31.61,-88.42
886234,32.21,-88.42
886246,31.21,-88.42
886261,32.17,-88.42
886320,31.45,-88.42
886337,30.89,-88.42
886339,30.97,-88.42
886386,31.09,-88.42
886389,31.37,-88.42
886418,31.85,-88.42
886434,31.13,-88.38
886483,31.21,-88.38
886509,30.85,-88.38
886518,30.81,-88.38
886537,30.69,-88.38
886538,30.73,-88.38
886558,30.77,-88.38
886593,31.17,-88.38
886597,30.93,-88.38
886604,32.33,-88.38
886669,31.41,-88.38
886693,31.37,-88.38
886722,31.49,-88.38
886733,31.33,-88.38
886780,31.45,-88.38
886834,31.05,-88.38
886836,31.01,-88.38
886840,30.57,-88.38
886853,30.65,-88.38
886858,31.29,-88.38
886863,30.49,-88.38
886872,30.61,-88.38
886885,30.89,-88.38
886889,30.97,-88.38
886906,31.09,-88.38
886914,31.85,-88.38
886917,32.41,-88.38
886921,30.53,-88.38
886925,30.45,-88.38
886931,31.61,-88.38
886960,30.41,-88.38
886965,32.25,-88.38
886976,31.57,-88.38
887007,31.25,-88.38
887019,31.97,-88.38
887024,31.93,-88.38
887046,32.13,-88.38
887047,31.65,-88.38
887064,32.61,-88.38
887074,32.57,-88.38
887075,32.53,-88.38
887111,32.01,-88.38
887128,32.09,-88.38
887134,31.53,-88.38
887144,32.17,-88.38
887145,32.29,-88.38
887189,32.45,-88.38
887196,31.77,-88.38
887199,31.69,-88.38
887203,32.05,-88.38
887233,32.21,-88.38
887251,32.37,-88.38
887253,31.89,-88.38
887292,31.73,-88.38
887300,32.65,-88.38
887305,32.49,-88.38
887311,31.81,-88.38
887437,31.53,-88.34
887446,31.25,-88.34
887465,32.89,-88.34
887474,31.29,-88.34
887475,32.85,-88.34
887496,30.53,-88.34
887553,32.29,-88.34
887568,30.41,-88.34
887585,32.65,-88.34
887601,32.21,-88.34
887619,31.37,-88.34
887631,31.41,-88.34
887635,32.05,-88.34
887636,30.45,-88.34
887646,31.49,-88.34
887652,32.45,-88.34
887665,32.93,-88.34
887675,32.17,-88.34
887680,31.33,-88.34
887689,30.93,-88.34
887698,32.41,-88.34
887711,32.69,-88.34
887713,32.25,-88.34
887717,31.01,-88.34
887732,31.45,-88.34
887758,30.89,-88.34
887768,32.81,-88.34
887782,32.49,-88.34
887785,31.65,-88.34
887789,31.61,-88.34
887807,30.73,-88.34
887825,30.85,-88.34
887829,31.73,-88.34
887833,30.81,-88.34
887843,31.97,-88.34
887848,31.93,-88.34
887850,31.21,-88.34
887895,30.69,-88.34
887904,32.73,-88.34
887910,32.01,-88.34
887912,30.61,-88.34
887921,31.57,-88.34
887930,31.89,-88.34
887952,30.57,-88.34
887956,31.05,-88.34
887957,31.09,-88.34
887987,31.81,-88.34
887992,31.85,-88.34
887998,31.69,-88.34
888008,30.77,-88.34
888056,30.97,-88.34
888068,32.77,-88.34
888072,32.13,-88.34
888074,30.49,-88.34
888094,31.13,-88.34
888126,30.65,-88.34
888129,32.33,-88.34
888147,32.53,-88.34
888149,32.09,-88.34
888162,32.37,-88.34
888168,31.17,-88.34
888174,32.61,-88.34
888177,32.97,-88.34
888181,32.57,-88.34
888194,31.77,-88.34
888217,32.57,-88.3
888221,32.73,-88.3
888230,32.61,-88.3
888248,31.73,-88.3
888264,31.05,-88.3
888266,31.09,-88.3
888271,31.89,-88.3
888272,32.05,-88.3
888282,31.01,-88.3
888292,32.97,-88.3
888312,31.85,-88.3
888316,32.49,-88.3
888320,30.65,-88.3
888325,30.97,-88.3
888329,31.81,-88.3
888345,32.81,-88.3
888350,32.69,-88.3
888366,30.93,-88.3
888369,30.61,-88.3
888370,32.01,-88.3
888385,33.29,-88.3
888386,30.49,-88.3
888391,32.93,-88.3
888397,31.77,-88.3
888425,32.77,-88.3
888433,30.53,-88.3
888437,33.25,-88.3
888477,31.97,-88.3
888492,31.21,-88.3
888500,32.53,-88.3
888519,30.89,-88.3
888524,33.01,-88.3
888530,31.93,-88.3
888539,31.57,-88.3
888541,31.61,-88.3
888571,31.17,-88.3
888591,32.33,-88.3
888599,33.09,-88.3
888615,32.13,-88.3
888646,31.13,-88.3
888652,31.53,-88.3
888675,31.25,-88.3
888681,32.85,-88.3
888698,32.89,-88.3
888706,32.37,-88.3
888769,31.69,-88.3
888774,31.65,-88.3
888787,33.17,-88.3
888807,30.57,-88.3
888824,33.13,-88.3
888831,32.29,-88.3
888838,30.77,-88.3
888855,32.09,-88.3
888871,30.69,-88.3
888873,33.05,-88.3
888877,30.81,-88.3
888885,33.21,-88.3
888886,30.85,-88.3
888901,30.73,-88.3
888920,32.41,-88.3
888930,31.49,-88.3
888965,32.17,-88.3
888996,32.45,-88.3
889031,32.65,-88.3
889037,31.45,-88.3
889045,32.21,-88.3
889046,30.45,-88.3
889052,31.41,-88.3
889053,32.25,-88.3
889068,31.29,-88.3
889074,30.41,-88.3
889085,31.37,-88.3
889101,31.33,-88.3
889124,30.77,-88.26
889129,30.69,-88.26
889141,31.93,-88.26
889147,30.73,-88.26
889155,32.69,-88.26
889171,31.45,-88.26
889172,31.65,-88.26
889191,31.41,-88.26
889193,31.81,-88.26
889197,30.41,-88.26
889199,32.81,-88.26
889201,31.85,-88.26
889204,30.97,-88.26
889210,30.45,-88.26
889212,32.05,-88.26
889214,31.01,-88.26
889216,31.29,-88.26
889222,32.65,-88.26
889225,31.37,-88.26
889231,30.65,-88.26
889233,32.21,-88.26
889235,31.09,-88.26
889244,30.81,-88.26
889265,31.21,-88.26
889267,32.29,-88.26
889268,30.85,-88.26
889270,31.69,-88.26
889273,33.21,-88.26
889311,30.53,-88.26
889324,30.93,-88.26
889329,33.45,-88.26
889351,32.37,-88.26
889353,33.33,-88.26
889356,31.49,-88.26
889362,33.53,-88.26
889364,31.13,-88.26
889368,31.33,-88.26
889370,32.89,-88.26
889376,32.17,-88.26
889380,32.97,-88.26
889383,33.01,-88.26
889388,31.53,-88.26
889411,32.85,-88.26
889413,31.25,-88.26
889424,32.77,-88.26
889481,33.41,-88.26
889495,32.09,-88.26
889534,32.45,-88.26
889535,33.49,-88.26
889550,32.93,-88.26
889565,33.09,-88.26
889567,32.73,-88.26
889582,30.49,-88.26
889599,30.89,-88.26
889602,32.13,-88.26
889603,33.57,-88.26
889609,32.01,-88.26
889639,32.25,-88.26
889656,32.33,-88.26
889671,31.61,-88.26
889679,31.97,-88.26
889715,32.57,-88.26
889759,32.49,-88.26
889767,32.41,-88.26
889770,31.73,-88.26
889778,32.61,-88.26
889814,33.29,-88.26
889829,33.17,-88.26
889837,31.77,-88.26
889845,32.53,-88.26
889849,31.05,-88.26
889861,33.25,-88.26
889877,33.37,-88.26
889884,31.17,-88.26
889889,33.13,-88.26
889896,33.05,-88.26
889910,30.57,-88.26
889916,31.89,-88.26
889931,31.57,-88.26
889982,30.61,-88.26
890007,33.17,-88.22
890019,32.93,-88.22
890023,33.57,-88.22
890039,31.49,-88.22
890040,32.41,-88.22
890050,32.45,-88.22
890081,33.53,-88.22
890093,31.37,-88.22
890109,30.89,-88.22
890119,32.81,-88.22
