,latitude,longitude
61340,31.33,-111.06
61341,31.33,-111.02
61342,31.33,-110.98
61343,31.33,-110.94
61344,31.33,-110.9
61345,31.33,-110.86
61346,31.33,-110.82
61347,31.33,-110.78
61348,31.33,-110.74
61349,31.33,-110.7
61350,31.33,-110.66
61351,31.33,-110.62
61352,31.33,-110.58
61353,31.33,-110.54
61354,31.33,-110.5
61355,31.33,-110.46
61356,31.33,-110.42
61357,31.33,-110.38
61358,31.33,-110.34
61359,31.33,-110.3
61360,31.33,-110.26
61361,31.33,-110.22
61362,31.33,-110.18
61363,31.33,-110.14
61364,31.33,-110.1
61365,31.33,-110.06
61366,31.33,-110.02
61367,31.33,-109.98
61368,31.33,-109.94
61369,31.33,-109.9
61370,31.33,-109.86
61371,31.33,-109.82
61372,31.33,-109.78
61373,31.33,-109.74
61374,31.33,-109.7
61375,31.33,-109.66
61376,31.33,-109.62
61377,31.33,-109.58
61378,31.33,-109.54
61379,31.33,-109.5
61380,31.33,-109.46
61381,31.33,-109.42
61382,31.33,-109.38
61383,31.33,-109.34
61384,31.33,-109.3
61385,31.33,-109.26
61386,31.33,-109.22
61387,31.33,-109.18
61388,31.33,-109.14
61389,31.33,-109.1
61390,31.33,-109.06
61631,31.37,-111.18
61632,31.37,-111.14
61633,31.37,-111.1
61634,31.37,-111.06
61635,31.37,-111.02
61636,31.37,-110.98
61637,31.37,-110.94
61638,31.37,-110.9
61639,31.37,-110.86
61640,31.37,-110.82
61641,31.37,-110.78
61642,31.37,-110.74
61643,31.37,-110.7
61644,31.37,-110.66
61645,31.37,-110.62
61646,31.37,-110.58
61647,31.37,-110.54
61648,31.37,-110.5
61649,31.37,-110.46
61650,31.37,-110.42
61651,31.37,-110.38
61652,31.37,-110.34
61653,31.37,-110.3
61654,31.37,-110.26
61655,31.37,-110.22
61656,31.37,-110.18
61657,31.37,-110.14
61658,31.37,-110.1
61659,31.37,-110.06
61660,31.37,-110.02
61661,31.37,-109.98
61662,31.37,-109.94
61663,31.37,-109.9
61664,31.37,-109.86
61665,31.37,-109.82
61666,31.37,-109.78
61667,31.37,-109.74
61668,31.37,-109.7
61669,31.37,-109.66
61670,31.37,-109.62
