,latitude,longitude
750722,36.49,-94.58
750828,36.45,-94.58
750866,36.37,-94.58
750875,36.41,-94.58
751244,36.29,-94.58
751282,36.33,-94.58
751548,36.17,-94.54
751557,36.29,-94.54
751568,36.21,-94.54
751594,36.41,-94.54
751595,36.37,-94.54
751622,36.09,-94.54
751650,36.25,-94.54
751756,36.01,-94.54
751852,36.05,-94.54
751910,36.33,-94.54
751930,36.45,-94.54
751944,36.13,-94.54
752205,36.49,-94.54
752567,36.13,-94.5
752568,36.09,-94.5
752584,36.29,-94.5
752585,36.01,-94.5
752592,36.21,-94.5
752614,36.33,-94.5
752640,36.49,-94.5
752648,35.97,-94.5
752700,35.93,-94.5
752727,35.77,-94.5
752799,36.05,-94.5
752822,36.45,-94.5
752836,35.81,-94.5
752901,36.17,-94.5
752975,36.37,-94.5
752992,36.41,-94.5
753003,35.89,-94.5
753108,35.85,-94.5
753122,36.25,-94.5
753181,36.13,-94.46
753218,33.89,-94.46
753245,33.85,-94.46
753276,36.21,-94.46
753281,36.25,-94.46
753306,34.49,-94.46
753312,34.21,-94.46
753334,36.29,-94.46
753340,36.33,-94.46
753341,33.81,-94.46
753382,35.97,-94.46
753398,35.77,-94.46
753449,36.17,-94.46
753470,33.69,-94.46
753494,34.33,-94.46
753526,35.57,-94.46
753528,35.65,-94.46
753530,35.61,-94.46
753531,36.37,-94.46
753544,36.41,-94.46
753610,34.41,-94.46
753630,36.05,-94.46
753639,34.53,-94.46
753643,34.25,-94.46
753646,35.81,-94.46
753671,34.09,-94.46
753681,35.73,-94.46
753682,34.13,-94.46
753685,35.69,-94.46
753694,34.05,-94.46
753698,33.93,-94.46
753700,36.49,-94.46
753702,35.53,-94.46
753710,33.97,-94.46
753711,34.01,-94.46
753722,34.17,-94.46
753761,35.89,-94.46
753769,33.73,-94.46
753775,33.77,-94.46
753781,34.37,-94.46
753783,36.45,-94.46
753794,35.85,-94.46
753803,34.57,-94.46
753844,34.45,-94.46
753872,35.93,-94.46
753882,34.29,-94.46
753890,36.09,-94.46
753917,33.65,-94.46
753929,36.01,-94.46
754015,34.45,-94.42
754026,34.57,-94.42
754036,34.69,-94.42
754057,34.49,-94.42
754065,35.69,-94.42
754076,35.89,-94.42
754086,34.97,-94.42
754094,35.81,-94.42
754100,33.73,-94.42
754101,35.09,-94.42
754105,33.77,-94.42
754119,35.85,-94.42
754148,35.77,-94.42
754164,34.13,-94.42
754169,34.05,-94.42
754175,36.01,-94.42
754177,34.77,-94.42
754208,35.97,-94.42
754216,33.93,-94.42
754238,35.05,-94.42
754244,33.97,-94.42
754250,34.01,-94.42
754254,34.89,-94.42
754262,34.17,-94.42
754266,35.01,-94.42
754274,36.13,-94.42
754285,36.49,-94.42
754289,35.53,-94.42
754291,34.65,-94.42
754320,35.73,-94.42
754346,33.65,-94.42
754384,35.45,-94.42
754393,34.61,-94.42
754403,35.41,-94.42
754413,35.49,-94.42
754416,36.45,-94.42
754440,35.13,-94.42
754441,36.41,-94.42
754449,36.29,-94.42
754451,36.25,-94.42
754468,36.37,-94.42
754480,33.69,-94.42
754483,34.93,-94.42
754488,36.17,-94.42
754496,34.53,-94.42
754505,35.93,-94.42
754511,35.37,-94.42
754513,35.33,-94.42
754514,35.29,-94.42
754521,34.41,-94.42
754560,33.61,-94.42
754563,36.05,-94.42
754567,36.09,-94.42
754568,34.09,-94.42
754574,33.81,-94.42
754586,33.89,-94.42
754588,33.85,-94.42
754611,34.25,-94.42
754618,34.21,-94.42
754629,36.21,-94.42
754653,34.37,-94.42
754662,36.33,-94.42
754663,35.65,-94.42
754665,34.73,-94.42
754676,34.33,-94.42
754678,35.61,-94.42
754682,35.57,-94.42
754685,34.81,-94.42
754704,34.85,-94.42
754707,35.21,-94.42
754718,35.25,-94.42
754721,34.29,-94.42
754759,35.17,-94.42
754799,34.37,-94.38
754815,34.89,-94.38
754851,34.97,-94.38
754854,34.17,-94.38
754857,36.45,-94.38
754888,35.21,-94.38
754901,34.29,-94.38
754927,34.33,-94.38
754931,34.49,-94.38
754970,36.37,-94.38
754974,34.73,-94.38
755000,34.53,-94.38
755005,35.01,-94.38
755030,35.09,-94.38
755038,34.41,-94.38
755039,36.41,-94.38
755043,34.61,-94.38
755048,35.81,-94.38
755052,35.49,-94.38
755058,35.73,-94.38
755079,35.41,-94.38
755080,35.45,-94.38
755082,34.65,-94.38
755084,36.49,-94.38
755113,33.77,-94.38
755114,35.85,-94.38
755135,34.45,-94.38
755149,35.69,-94.38
755163,35.89,-94.38
755170,33.73,-94.38
755172,35.05,-94.38
755173,33.97,-94.38
755191,34.21,-94.38
755192,34.25,-94.38
755239,34.69,-94.38
755253,33.93,-94.38
755254,34.77,-94.38
755262,34.01,-94.38
755282,34.81,-94.38
755283,34.85,-94.38
755291,34.13,-94.38
755293,34.05,-94.38
755294,34.09,-94.38
755296,35.61,-94.38
755298,36.29,-94.38
755300,36.21,-94.38
755301,36.25,-94.38
755305,33.81,-94.38
755307,33.89,-94.38
755308,33.85,-94.38
755340,35.97,-94.38
755384,36.13,-94.38
755409,35.77,-94.38
755433,36.05,-94.38
755452,35.29,-94.38
755453,35.65,-94.38
755454,35.57,-94.38
755463,36.17,-94.38
755464,35.53,-94.38
755472,34.57,-94.38
755474,35.33,-94.38
755475,35.37,-94.38
755478,33.69,-94.38
755481,33.65,-94.38
755493,36.09,-94.38
755496,36.33,-94.38
755508,36.01,-94.38
755523,33.61,-94.38
755537,35.93,-94.38
755538,33.57,-94.38
755550,35.17,-94.38
755557,34.93,-94.38
755564,35.25,-94.38
755580,35.13,-94.38
755605,36.05,-94.34
755606,33.77,-94.34
755621,34.29,-94.34
755627,34.01,-94.34
755634,36.17,-94.34
755635,33.97,-94.34
755643,33.69,-94.34
755660,34.89,-94.34
755668,35.53,-94.34
755670,34.53,-94.34
755671,34.33,-94.34
755700,34.73,-94.34
755705,36.49,-94.34
755706,34.25,-94.34
755716,35.89,-94.34
755717,36.09,-94.34
755746,35.81,-94.34
755755,35.05,-94.34
755783,34.21,-94.34
755792,34.97,-94.34
755803,36.33,-94.34
755807,35.25,-94.34
755809,35.09,-94.34
755816,36.41,-94.34
755825,34.05,-94.34
755843,36.37,-94.34
755857,34.13,-94.34
755875,35.69,-94.34
755879,34.45,-94.34
