,latitude,longitude
70276,32.53,-117.1
70588,32.57,-117.1
70589,32.57,-117.06
70590,32.57,-117.02
70591,32.57,-116.98
70592,32.57,-116.94
70593,32.57,-116.9
70594,32.57,-116.86
70595,32.57,-116.82
70596,32.57,-116.78
70597,32.57,-116.74
70598,32.57,-116.7
70599,32.57,-116.66
70600,32.57,-116.62
70601,32.57,-116.58
70910,32.61,-117.1
70911,32.61,-117.06
70912,32.61,-117.02
70913,32.61,-116.98
70914,32.61,-116.94
70915,32.61,-116.9
70916,32.61,-116.86
70917,32.61,-116.82
70918,32.61,-116.78
70919,32.61,-116.74
70920,32.61,-116.7
70921,32.61,-116.66
70922,32.61,-116.62
70923,32.61,-116.58
70924,32.61,-116.54
70925,32.61,-116.5
70926,32.61,-116.46
70927,32.61,-116.42
70928,32.61,-116.38
70929,32.61,-116.34
70930,32.61,-116.3
70931,32.61,-116.26
70932,32.61,-116.22
70933,32.61,-116.18
70934,32.61,-116.14
70935,32.61,-116.1
70936,32.61,-116.06
71235,32.65,-117.1
71236,32.65,-117.06
71237,32.65,-117.02
71238,32.65,-116.98
71239,32.65,-116.94
71240,32.65,-116.9
71241,32.65,-116.86
71242,32.65,-116.82
71243,32.65,-116.78
71244,32.65,-116.74
71245,32.65,-116.7
71246,32.65,-116.66
71247,32.65,-116.62
71248,32.65,-116.58
71249,32.65,-116.54
71250,32.65,-116.5
71251,32.65,-116.46
71252,32.65,-116.42
71253,32.65,-116.38
71254,32.65,-116.34
71255,32.65,-116.3
71256,32.65,-116.26
71257,32.65,-116.22
71258,32.65,-116.18
71259,32.65,-116.14
71260,32.65,-116.1
71261,32.65,-116.06
71262,32.65,-116.02
71263,32.65,-115.98
71264,32.65,-115.94
71265,32.65,-115.9
71266,32.65,-115.86
71267,32.65,-115.82
71268,32.65,-115.78
71269,32.65,-115.74
71270,32.65,-115.7
71271,32.65,-115.66
71272,32.65,-115.62
71273,32.65,-115.58
71274,32.65,-115.54
71558,32.69,-117.22
71559,32.69,-117.18
71560,32.69,-117.14
71561,32.69,-117.1
71562,32.69,-117.06
71563,32.69,-117.02
71564,32.69,-116.98
71565,32.69,-116.94
71566,32.69,-116.9
71567,32.69,-116.86
71568,32.69,-116.82
71569,32.69,-116.78
71570,32.69,-116.74
71571,32.69,-116.7
71572,32.69,-116.66
71573,32.69,-116.62
71574,32.69,-116.58
71575,32.69,-116.54
71576,32.69,-116.5
71577,32.69,-116.46
71578,32.69,-116.42
71579,32.69,-116.38
71580,32.69,-116.34
71581,32.69,-116.3
71582,32.69,-116.26
71583,32.69,-116.22
71584,32.69,-116.18
71585,32.69,-116.14
71586,32.69,-116.1
71587,32.69,-116.06
71588,32.69,-116.02
71589,32.69,-115.98
71590,32.69,-115.94
71591,32.69,-115.9
71592,32.69,-115.86
71593,32.69,-115.82
71594,32.69,-115.78
71595,32.69,-115.74
71596,32.69,-115.7
71597,32.69,-115.66
71598,32.69,-115.62
71599,32.69,-115.58
71600,32.69,-115.54
71601,32.69,-115.5
71602,32.69,-115.46
71603,32.69,-115.42
71604,32.69,-115.38
71605,32.69,-115.34
71606,32.69,-115.3
71607,32.69,-115.26
71608,32.69,-115.22
71609,32.69,-115.18
71610,32.69,-115.14
71611,32.69,-115.1
71612,32.69,-115.06
71613,32.69,-115.02
71614,32.69,-114.98
71885,32.73,-117.22
71886,32.73,-117.18
71887,32.73,-117.14
71888,32.73,-117.1
71889,32.73,-117.06
71890,32.73,-117.02
71891,32.73,-116.98
