,latitude,longitude
114344,37.01,-109.02
114345,37.01,-108.98
114346,37.01,-108.94
114347,37.01,-108.9
114348,37.01,-108.86
114349,37.01,-108.82
114350,37.01,-108.78
114351,37.01,-108.74
114352,37.01,-108.7
114353,37.01,-108.66
114354,37.01,-108.62
114355,37.01,-108.58
114356,37.01,-108.54
114357,37.01,-108.5
114358,37.01,-108.46
114359,37.01,-108.42
114360,37.01,-108.38
114361,37.01,-108.34
114362,37.01,-108.3
114363,37.01,-108.26
114364,37.01,-108.22
114365,37.01,-108.18
114366,37.01,-108.14
114367,37.01,-108.1
114368,37.01,-108.06
114369,37.01,-108.02
114370,37.01,-107.98
114371,37.01,-107.94
114372,37.01,-107.9
114373,37.01,-107.86
114374,37.01,-107.82
114375,37.01,-107.78
114376,37.01,-107.74
114377,37.01,-107.7
114378,37.01,-107.66
114379,37.01,-107.62
114380,37.01,-107.58
114381,37.01,-107.54
114382,37.01,-107.5
114383,37.01,-107.46
114384,37.01,-107.42
114385,37.01,-107.38
114386,37.01,-107.34
114387,37.01,-107.3
114388,37.01,-107.26
114389,37.01,-107.22
114390,37.01,-107.18
114391,37.01,-107.14
114392,37.01,-107.1
114393,37.01,-107.06
114394,37.01,-107.02
114395,37.01,-106.98
114396,37.01,-106.94
114397,37.01,-106.9
114398,37.01,-106.86
114399,37.01,-106.82
114400,37.01,-106.78
114401,37.01,-106.74
114402,37.01,-106.7
114403,37.01,-106.66
114404,37.01,-106.62
114405,37.01,-106.58
114406,37.01,-106.54
114407,37.01,-106.5
114408,37.01,-106.46
114409,37.01,-106.42
114410,37.01,-106.38
114411,37.01,-106.34
114412,37.01,-106.3
114413,37.01,-106.26
114414,37.01,-106.22
114415,37.01,-106.18
114416,37.01,-106.14
114417,37.01,-106.1
114418,37.01,-106.06
114419,37.01,-106.02
114420,37.01,-105.98
114421,37.01,-105.94
114422,37.01,-105.9
114423,37.01,-105.86
114424,37.01,-105.82
114425,37.01,-105.78
114426,37.01,-105.74
114427,37.01,-105.7
114428,37.01,-105.66
114429,37.01,-105.62
114430,37.01,-105.58
114431,37.01,-105.54
114432,37.01,-105.5
114433,37.01,-105.46
114434,37.01,-105.42
114435,37.01,-105.38
114436,37.01,-105.34
114437,37.01,-105.3
114438,37.01,-105.26
114439,37.01,-105.22
114440,37.01,-105.18
114441,37.01,-105.14
114442,37.01,-105.1
114443,37.01,-105.06
114444,37.01,-105.02
114784,37.05,-109.02
114785,37.05,-108.98
114786,37.05,-108.94
114787,37.05,-108.9
114788,37.05,-108.86
114789,37.05,-108.82
114790,37.05,-108.78
114791,37.05,-108.74
114792,37.05,-108.7
114793,37.05,-108.66
114794,37.05,-108.62
114795,37.05,-108.58
114796,37.05,-108.54
114797,37.05,-108.5
114798,37.05,-108.46
114799,37.05,-108.42
114800,37.05,-108.38
114801,37.05,-108.34
114802,37.05,-108.3
114803,37.05,-108.26
114804,37.05,-108.22
114805,37.05,-108.18
114806,37.05,-108.14
114807,37.05,-108.1
114808,37.05,-108.06
114809,37.05,-108.02
114810,37.05,-107.98
114811,37.05,-107.94
114812,37.05,-107.9
114813,37.05,-107.86
114814,37.05,-107.82
114815,37.05,-107.78
114816,37.05,-107.74
114817,37.05,-107.7
114818,37.05,-107.66
114819,37.05,-107.62
114820,37.05,-107.58
114821,37.05,-107.54
114822,37.05,-107.5
114823,37.05,-107.46
114824,37.05,-107.42
114825,37.05,-107.38
114826,37.05,-107.34
114827,37.05,-107.3
114828,37.05,-107.26
114829,37.05,-107.22
114830,37.05,-107.18
114831,37.05,-107.14
114832,37.05,-107.1
114833,37.05,-107.06
114834,37.05,-107.02
114835,37.05,-106.98
114836,37.05,-106.94
114837,37.05,-106.9
114838,37.05,-106.86
114839,37.05,-106.82
114840,37.05,-106.78
114841,37.05,-106.74
114842,37.05,-106.7
114843,37.05,-106.66
114844,37.05,-106.62
114845,37.05,-106.58
114846,37.05,-106.54
114847,37.05,-106.5
114848,37.05,-106.46
114849,37.05,-106.42
114850,37.05,-106.38
114851,37.05,-106.34
114852,37.05,-106.3
114853,37.05,-106.26
114854,37.05,-106.22
114855,37.05,-106.18
114856,37.05,-106.14
114857,37.05,-106.1
114858,37.05,-106.06
114859,37.05,-106.02
