,latitude,longitude
1254353,41.09,-73.7
1255270,41.05,-73.66
1255455,41.09,-73.66
1256934,41.01,-73.62
1256955,41.05,-73.62
1256957,41.13,-73.62
1257098,41.09,-73.62
1258224,41.05,-73.58
1258225,41.09,-73.58
1258226,41.13,-73.58
1259638,41.29,-73.54
1259714,41.05,-73.54
1259715,41.09,-73.54
1259746,41.17,-73.54
1259750,41.13,-73.54
1259915,41.33,-73.54
1260279,41.25,-73.5
1260287,41.17,-73.5
1260324,41.41,-73.5
1260333,41.05,-73.5
1260339,41.09,-73.5
1260348,41.13,-73.5
1260382,41.37,-73.5
1260412,41.33,-73.5
1260413,41.45,-73.5
1260440,41.69,-73.5
1260443,41.65,-73.5
1260482,41.73,-73.5
1260496,41.49,-73.5
1260503,41.81,-73.5
1260505,41.29,-73.5
1260516,41.53,-73.5
1260517,41.57,-73.5
1260519,41.61,-73.5
1260845,41.77,-73.5
1261296,41.17,-73.46
1261298,41.37,-73.46
1261309,41.25,-73.46
1261326,41.41,-73.46
1261328,41.21,-73.46
1261404,41.33,-73.46
1261405,41.45,-73.46
1261466,41.09,-73.46
1261531,41.69,-73.46
1261533,41.81,-73.46
1261536,41.13,-73.46
1261539,41.53,-73.46
1261840,41.61,-73.46
1261841,41.57,-73.46
1261842,41.49,-73.46
1261934,41.29,-73.46
1262060,41.73,-73.46
1262093,41.65,-73.46
1262123,41.89,-73.46
1262265,42.01,-73.46
1262301,41.85,-73.46
1262342,41.93,-73.46
1262363,41.97,-73.46
1262437,41.77,-73.46
1262604,41.29,-73.42
1262618,42.01,-73.42
1262797,41.17,-73.42
1262799,41.21,-73.42
1262800,41.25,-73.42
1262823,41.41,-73.42
1262884,41.37,-73.42
1263000,41.77,-73.42
1263001,41.81,-73.42
1263122,41.93,-73.42
1263127,41.97,-73.42
1263140,41.65,-73.42
1263150,41.61,-73.42
1263151,41.57,-73.42
1263152,41.53,-73.42
1263155,41.49,-73.42
1263173,41.69,-73.42
1263182,41.73,-73.42
1263206,41.89,-73.42
1263207,41.85,-73.42
1263522,41.45,-73.42
1263524,41.33,-73.42
1263658,41.13,-73.42
1263659,41.09,-73.42
1264010,41.45,-73.38
1264012,41.33,-73.38
1264232,41.65,-73.38
1264236,41.69,-73.38
1264253,41.73,-73.38
1264370,41.13,-73.38
1264381,41.37,-73.38
1264382,41.29,-73.38
1264383,41.21,-73.38
1264384,41.17,-73.38
1264396,41.41,-73.38
1264397,41.25,-73.38
1264418,41.49,-73.38
1264419,41.53,-73.38
1264420,41.57,-73.38
1264421,41.61,-73.38
1264749,41.93,-73.38
1264751,41.97,-73.38
1264886,41.89,-73.38
1264887,41.85,-73.38
1264934,41.77,-73.38
1265049,42.01,-73.38
1265070,41.81,-73.38
1265159,41.65,-73.34
1265163,42.01,-73.34
1265184,41.73,-73.34
1265328,41.17,-73.34
1265329,41.21,-73.34
1265331,41.25,-73.34
1265406,41.53,-73.34
1265407,41.57,-73.34
1265408,41.61,-73.34
1265442,41.45,-73.34
1265471,41.37,-73.34
1265472,41.97,-73.34
1265477,41.41,-73.34
1265481,41.29,-73.34
1265482,41.33,-73.34
1265483,41.93,-73.34
1265586,41.13,-73.34
1265772,41.49,-73.34
1266048,41.69,-73.34
1266188,41.89,-73.34
1266189,41.85,-73.34
1266347,41.81,-73.34
1266357,41.77,-73.34
1266704,41.33,-73.3
1266707,41.29,-73.3
1266858,41.41,-73.3
1267032,41.73,-73.3
1267038,41.69,-73.3
1267046,41.37,-73.3
1267053,41.45,-73.3
1267060,41.61,-73.3
1267061,41.57,-73.3
1267062,41.53,-73.3
1267123,41.65,-73.3
1267160,41.49,-73.3
1267240,41.77,-73.3
1267241,41.81,-73.3
1267303,42.01,-73.3
1267365,41.85,-73.3
1267366,41.89,-73.3
1267531,41.97,-73.3
1267595,41.13,-73.3
1267607,41.93,-73.3
1267634,41.21,-73.3
1267646,41.25,-73.3
1267650,41.17,-73.3
1267655,41.69,-73.26
1267756,41.41,-73.26
1267780,41.53,-73.26
1267781,41.33,-73.26
1267782,41.57,-73.26
1267786,41.61,-73.26
1267795,41.93,-73.26
1267802,41.29,-73.26
1267814,41.17,-73.26
1267958,41.89,-73.26
