,latitude,longitude
1186703,39.65,-75.78
1186707,39.69,-75.78
1186840,39.57,-75.78
1186949,39.61,-75.78
1187345,39.45,-75.74
1187353,39.37,-75.74
1187392,39.41,-75.74
1187396,39.53,-75.74
1187546,39.05,-75.74
1187735,39.25,-75.74
1187740,39.17,-75.74
1187743,39.21,-75.74
1187838,39.33,-75.74
1187980,39.57,-75.74
1187988,39.13,-75.74
1188028,39.65,-75.74
1188030,39.73,-75.74
1188032,39.69,-75.74
1188040,39.61,-75.74
1188101,39.49,-75.74
1188182,39.09,-75.74
1188191,39.29,-75.74
1188642,39.73,-75.7
1188650,39.05,-75.7
1188661,39.57,-75.7
1188666,39.65,-75.7
1188673,39.77,-75.7
1188675,39.69,-75.7
1188697,38.97,-75.7
1188741,39.01,-75.7
1188748,39.29,-75.7
1188801,38.93,-75.7
1188926,39.13,-75.7
1188938,39.49,-75.7
1189004,39.37,-75.7
1189022,39.61,-75.7
1189027,39.53,-75.7
1189041,39.41,-75.7
1189334,39.33,-75.7
1189352,38.81,-75.7
1189412,38.89,-75.7
1189429,38.85,-75.7
1189493,39.25,-75.7
1189504,39.17,-75.7
1189509,39.21,-75.7
1189554,39.45,-75.7
1189603,38.57,-75.7
1189796,39.09,-75.7
1189799,38.61,-75.7
1189802,38.65,-75.7
1189803,38.69,-75.7
1189805,38.73,-75.7
1189807,38.77,-75.7
1189980,38.81,-75.66
1190033,39.33,-75.66
1190132,38.97,-75.66
1190154,39.05,-75.66
1190155,39.01,-75.66
1190350,39.09,-75.66
1190430,38.61,-75.66
1190436,38.65,-75.66
1190438,38.69,-75.66
1190439,38.73,-75.66
1190441,38.57,-75.66
1190457,38.49,-75.66
1190464,38.77,-75.66
1190466,39.17,-75.66
1190468,39.21,-75.66
1190481,38.89,-75.66
1190493,39.25,-75.66
1190560,38.53,-75.66
1190604,39.37,-75.66
1190720,39.49,-75.66
1190762,39.53,-75.66
1190803,39.41,-75.66
1190806,39.45,-75.66
1190892,38.85,-75.66
1190904,39.13,-75.66
1191026,39.81,-75.66
1191037,39.57,-75.66
1191040,38.93,-75.66
1191137,39.29,-75.66
1191165,39.73,-75.66
1191170,39.77,-75.66
1191173,39.69,-75.66
1191200,39.65,-75.66
1191320,39.61,-75.66
1191374,38.97,-75.62
1191422,39.01,-75.62
1191454,39.05,-75.62
1191467,39.09,-75.62
1191521,38.77,-75.62
1191523,38.73,-75.62
1191524,38.69,-75.62
1191525,38.65,-75.62
1191541,38.53,-75.62
1191551,38.81,-75.62
1191552,38.89,-75.62
1191553,38.85,-75.62
1191556,38.93,-75.62
1191563,38.57,-75.62
1191571,38.49,-75.62
1191673,39.13,-75.62
1191884,38.61,-75.62
1192315,39.29,-75.62
1192344,39.33,-75.62
1192359,39.21,-75.62
1192361,39.17,-75.62
1192404,39.45,-75.62
1192405,39.37,-75.62
1192425,39.61,-75.62
1192428,39.49,-75.62
1192432,39.41,-75.62
1192435,39.53,-75.62
1192463,39.69,-75.62
1192465,39.77,-75.62
1192468,39.65,-75.62
1192492,39.81,-75.62
1192517,39.57,-75.62
1192520,39.73,-75.62
1192524,39.25,-75.62
1193421,39.73,-75.58
1193440,39.33,-75.58
1193446,39.69,-75.58
1193455,39.77,-75.58
1193470,39.13,-75.58
1193479,38.97,-75.58
1193481,39.17,-75.58
1193620,38.49,-75.58
1193635,38.57,-75.58
1193652,38.61,-75.58
1193657,38.77,-75.58
1193658,38.73,-75.58
1193660,38.69,-75.58
1193661,38.65,-75.58
1193696,38.53,-75.58
1193698,38.85,-75.58
1193714,38.81,-75.58
1193723,39.29,-75.58
1193724,39.01,-75.58
1193726,39.05,-75.58
1193739,39.09,-75.58
1193740,39.25,-75.58
1193766,39.21,-75.58
1193785,38.89,-75.58
1193814,39.49,-75.58
1193834,38.93,-75.58
1193926,39.41,-75.58
1193963,39.53,-75.58
1193989,39.37,-75.58
1194041,39.57,-75.58
1194046,39.81,-75.58
1194073,38.65,-75.54
1194080,38.57,-75.54
1194093,38.85,-75.54
1194122,38.69,-75.54
1194183,38.73,-75.54
1194199,38.49,-75.54
1194216,39.13,-75.54
1194239,39.05,-75.54
1194244,38.97,-75.54
1194250,38.93,-75.54
1194263,39.81,-75.54
1194328,38.89,-75.54
1194366,39.01,-75.54
1194372,39.09,-75.54
1194380,38.81,-75.54
1194459,39.37,-75.54
1194563,39.41,-75.54
1194831,38.53,-75.54
1195005,39.73,-75.54
1195022,39.69,-75.54
1195033,39.77,-75.54
1195068,39.29,-75.54
1195071,38.77,-75.54
1195091,39.33,-75.54
1195159,39.25,-75.54
1195309,39.21,-75.54
1195311,39.17,-75.54
1195400,38.61,-75.54
1195419,39.17,-75.5
1195426,38.57,-75.5
1195650,38.53,-75.5
1195837,39.21,-75.5
1195871,39.33,-75.5
1196089,39.29,-75.5
1196141,39.73,-75.5
1196170,39.81,-75.5
1196211,39.77,-75.5
1196230,39.09,-75.5
1196242,38.81,-75.5
1196277,38.97,-75.5
1196279,39.01,-75.5
1196293,39.25,-75.5
1196344,39.05,-75.5
1196485,38.61,-75.5
1196518,38.65,-75.5
1196528,38.69,-75.5
1196529,38.73,-75.5
1196576,38.49,-75.5
1196592,39.13,-75.5
1196602,38.77,-75.5
1196699,38.93,-75.5
1196700,38.89,-75.5
1196728,38.85,-75.5
1197369,38.49,-75.46
1197379,38.57,-75.46
1197388,38.65,-75.46
1197389,38.69,-75.46
1197392,38.73,-75.46
1197393,38.77,-75.46
1197401,38.61,-75.46
1197407,38.45,-75.46
1197430,38.81,-75.46
1197445,38.93,-75.46
1197448,38.85,-75.46
1197459,38.89,-75.46
1197463,39.17,-75.46
1197536,38.53,-75.46
1197576,39.81,-75.46
1197590,38.97,-75.46
1197591,39.05,-75.46
1197694,39.25,-75.46
1197697,39.09,-75.46
1197706,39.01,-75.46
1197717,39.13,-75.46
1197845,39.21,-75.46
1197960,39.29,-75.46
1198265,38.85,-75.42
1198283,38.89,-75.42
1198285,38.93,-75.42
1198312,38.57,-75.42
1198379,39.13,-75.42
1198382,38.97,-75.42
1198383,39.05,-75.42
1198386,39.01,-75.42
1198387,39.09,-75.42
1198392,38.81,-75.42
1198442,38.53,-75.42
1198502,38.61,-75.42
1198511,38.45,-75.42
1198526,38.49,-75.42
1198533,38.77,-75.42
1198534,38.73,-75.42
1198557,38.69,-75.42
1198561,38.65,-75.42
1198643,39.17,-75.42
1198731,39.21,-75.42
1198854,39.25,-75.42
1199834,38.61,-75.38
1200278,38.65,-75.38
1200279,38.69,-75.38
1200280,38.73,-75.38
1200281,38.77,-75.38
1200331,38.53,-75.38
1200462,38.85,-75.38
1200493,38.45,-75.38
1200641,38.89,-75.38
1200678,38.57,-75.38
1200686,38.49,-75.38
1200694,38.93,-75.38
1200734,39.01,-75.38
1200742,38.97,-75.38
1200743,38.81,-75.38
1201035,38.49,-75.34
1201036,38.93,-75.34
1201038,38.45,-75.34
1201039,38.73,-75.34
1201046,38.77,-75.34
1201047,38.69,-75.34
1201048,38.65,-75.34
1201060,38.57,-75.34
1201074,38.89,-75.34
1201078,38.85,-75.34
1201118,38.53,-75.34
1201210,38.97,-75.34
1201224,38.81,-75.34
1201310,39.01,-75.34
1201453,38.61,-75.34
1202121,38.89,-75.3
1202295,38.81,-75.3
1202303,38.85,-75.3
1202349,38.61,-75.3
1202424,38.45,-75.3
1202470,38.73,-75.3
1202471,38.69,-75.3
1202473,38.65,-75.3
1202563,38.77,-75.3
1202609,38.49,-75.3
1202650,38.57,-75.3
1202709,38.53,-75.3
1204544,38.61,-75.26
1204670,38.77,-75.26
1204675,38.45,-75.26
1204676,38.73,-75.26
1204677,38.49,-75.26
1204680,38.57,-75.26
1204690,38.53,-75.26
1204700,38.65,-75.26
1204701,38.69,-75.26
1204715,38.85,-75.26
1204719,38.81,-75.26
1204788,38.81,-75.22
1204796,38.57,-75.22
1204797,38.49,-75.22
1204798,38.45,-75.22
1204799,38.61,-75.22
1204806,38.77,-75.22
1204807,38.73,-75.22
1204808,38.69,-75.22
1204809,38.65,-75.22
1204814,38.53,-75.22
1206648,38.53,-75.18
1206703,38.61,-75.18
1206708,38.45,-75.18
1206715,38.49,-75.18
1206727,38.65,-75.18
1206729,38.73,-75.18
1206730,38.77,-75.18
1207340,38.69,-75.18
1208116,38.53,-75.14
1208220,38.57,-75.14
1208235,38.45,-75.14
1208250,38.49,-75.14
1208320,38.77,-75.14
1208337,38.69,-75.14
1208338,38.73,-75.14
1209417,38.45,-75.1
1209427,38.49,-75.1
1209694,38.53,-75.1
1209819,38.69,-75.1
