,latitude,longitude
944983,34.89,-85.58
945072,34.93,-85.58
945124,34.85,-85.58
945168,34.97,-85.58
945636,34.73,-85.54
945651,34.89,-85.54
945670,34.65,-85.54
945770,34.81,-85.54
945789,34.93,-85.54
945885,34.69,-85.54
946064,34.85,-85.54
946074,34.77,-85.54
946239,34.97,-85.54
946326,34.77,-85.5
946332,34.65,-85.5
946343,34.85,-85.5
946404,34.69,-85.5
946500,34.89,-85.5
946761,34.81,-85.5
946779,34.61,-85.5
946920,34.93,-85.5
946957,34.73,-85.5
947039,34.57,-85.5
947079,34.97,-85.5
947108,34.49,-85.5
947117,34.53,-85.5
947182,34.49,-85.46
947196,34.89,-85.46
947229,34.53,-85.46
947274,34.45,-85.46
947323,34.93,-85.46
947331,34.37,-85.46
947356,34.29,-85.46
947369,34.97,-85.46
947379,34.33,-85.46
947406,34.41,-85.46
947524,34.65,-85.46
947599,34.81,-85.46
947630,34.69,-85.46
947725,34.57,-85.46
947735,34.73,-85.46
947754,34.61,-85.46
947760,34.85,-85.46
947893,34.77,-85.46
947999,34.81,-85.42
948133,34.13,-85.42
948157,34.33,-85.42
948172,34.77,-85.42
948202,34.53,-85.42
948205,34.69,-85.42
948212,34.65,-85.42
948213,34.89,-85.42
948284,34.45,-85.42
948290,34.93,-85.42
948332,34.73,-85.42
948346,34.85,-85.42
948354,34.21,-85.42
948439,34.97,-85.42
948441,34.29,-85.42
948479,34.37,-85.42
948521,34.25,-85.42
948535,34.17,-85.42
948632,34.09,-85.42
948699,34.57,-85.42
948740,34.41,-85.42
948761,34.49,-85.42
948791,34.61,-85.42
948826,34.09,-85.38
948832,33.97,-85.38
948843,34.73,-85.38
948857,33.93,-85.38
948920,34.05,-85.38
948986,34.69,-85.38
949012,33.89,-85.38
949026,34.65,-85.38
949054,34.93,-85.38
949129,34.85,-85.38
949160,34.49,-85.38
949163,34.77,-85.38
949209,34.89,-85.38
949225,34.53,-85.38
949301,34.37,-85.38
949332,34.81,-85.38
949356,34.61,-85.38
949364,34.33,-85.38
949383,34.41,-85.38
949399,34.01,-85.38
949408,34.57,-85.38
949420,34.13,-85.38
949460,34.97,-85.38
949466,34.29,-85.38
949532,34.45,-85.38
949534,34.25,-85.38
949550,34.17,-85.38
949605,34.21,-85.38
949617,33.77,-85.34
949634,34.49,-85.34
949668,34.57,-85.34
949693,34.69,-85.34
949716,34.81,-85.34
949728,34.61,-85.34
949737,33.81,-85.34
949751,33.93,-85.34
949758,33.97,-85.34
949763,33.73,-85.34
949834,34.09,-85.34
949910,34.21,-85.34
949923,34.05,-85.34
949946,34.17,-85.34
949957,34.25,-85.34
949970,34.97,-85.34
949976,34.29,-85.34
949986,34.41,-85.34
950025,34.01,-85.34
950038,33.89,-85.34
950065,33.85,-85.34
950114,34.37,-85.34
950171,34.77,-85.34
950243,34.65,-85.34
950257,34.89,-85.34
950271,34.33,-85.34
950299,34.53,-85.34
950308,33.69,-85.34
950320,34.45,-85.34
950329,34.93,-85.34
950342,34.13,-85.34
950363,34.73,-85.34
950376,34.85,-85.34
950449,34.85,-85.3
950506,33.49,-85.3
950514,34.13,-85.3
950538,33.85,-85.3
950566,33.57,-85.3
950567,34.77,-85.3
950575,33.61,-85.3
950577,34.37,-85.3
950607,34.25,-85.3
950618,34.17,-85.3
950657,34.05,-85.3
950678,34.21,-85.3
950783,34.09,-85.3
950841,33.53,-85.3
950876,34.33,-85.3
950880,34.81,-85.3
950887,34.61,-85.3
950897,33.81,-85.3
950913,33.73,-85.3
950930,34.49,-85.3
950932,33.77,-85.3
950960,33.93,-85.3
950967,33.97,-85.3
950984,34.93,-85.3
950991,34.45,-85.3
951050,34.69,-85.3
951089,33.65,-85.3
951118,34.65,-85.3
951120,33.69,-85.3
951124,34.57,-85.3
951130,34.73,-85.3
951140,34.01,-85.3
