,latitude,longitude
173257,42.01,-116.98
173258,42.01,-116.94
173259,42.01,-116.9
173260,42.01,-116.86
173261,42.01,-116.82
173262,42.01,-116.78
173263,42.01,-116.74
173264,42.01,-116.7
173265,42.01,-116.66
173266,42.01,-116.62
173267,42.01,-116.58
173268,42.01,-116.54
173269,42.01,-116.5
173270,42.01,-116.46
173271,42.01,-116.42
173272,42.01,-116.38
173273,42.01,-116.34
173274,42.01,-116.3
173275,42.01,-116.26
173276,42.01,-116.22
173277,42.01,-116.18
173278,42.01,-116.14
173279,42.01,-116.1
173280,42.01,-116.06
173281,42.01,-116.02
173282,42.01,-115.98
173283,42.01,-115.94
173284,42.01,-115.9
173285,42.01,-115.86
173286,42.01,-115.82
173287,42.01,-115.78
173288,42.01,-115.74
173289,42.01,-115.7
173290,42.01,-115.66
173291,42.01,-115.62
173292,42.01,-115.58
173293,42.01,-115.54
173294,42.01,-115.5
173295,42.01,-115.46
173296,42.01,-115.42
173297,42.01,-115.38
173298,42.01,-115.34
173299,42.01,-115.3
173300,42.01,-115.26
173301,42.01,-115.22
173302,42.01,-115.18
173303,42.01,-115.14
173304,42.01,-115.1
173305,42.01,-115.06
173306,42.01,-115.02
173307,42.01,-114.98
173308,42.01,-114.94
173309,42.01,-114.9
173310,42.01,-114.86
173311,42.01,-114.82
173312,42.01,-114.78
173313,42.01,-114.74
173314,42.01,-114.7
173315,42.01,-114.66
173316,42.01,-114.62
173317,42.01,-114.58
173318,42.01,-114.54
173319,42.01,-114.5
173320,42.01,-114.46
173321,42.01,-114.42
173322,42.01,-114.38
173323,42.01,-114.34
173324,42.01,-114.3
173325,42.01,-114.26
173326,42.01,-114.22
173327,42.01,-114.18
173328,42.01,-114.14
173329,42.01,-114.1
173330,42.01,-114.06
173331,42.01,-114.02
173332,42.01,-113.98
173333,42.01,-113.94
173334,42.01,-113.9
173335,42.01,-113.86
173336,42.01,-113.82
173337,42.01,-113.78
173338,42.01,-113.74
