,latitude,longitude
814494,40.13,-91.5
814531,40.25,-91.5
814584,40.21,-91.5
815034,40.09,-91.5
815176,40.17,-91.5
815272,40.29,-91.5
815379,40.05,-91.46
815474,39.97,-91.46
815633,40.33,-91.46
815635,40.01,-91.46
815718,40.29,-91.46
815791,40.25,-91.46
815833,40.13,-91.46
815836,40.21,-91.46
815878,40.09,-91.46
816184,40.17,-91.46
816252,40.09,-91.42
816279,40.37,-91.42
816281,40.33,-91.42
816308,39.89,-91.42
816310,40.01,-91.42
816313,39.97,-91.42
816319,40.05,-91.42
816332,40.25,-91.42
816449,39.85,-91.42
816475,40.29,-91.42
816539,39.93,-91.42
816557,40.21,-91.42
816568,40.13,-91.42
816625,40.17,-91.42
817124,40.29,-91.38
817135,39.93,-91.38
817160,40.57,-91.38
817200,39.81,-91.38
817241,39.85,-91.38
817248,40.53,-91.38
817282,40.45,-91.38
817283,40.17,-91.38
817304,40.25,-91.38
817482,39.77,-91.38
817491,40.13,-91.38
817546,40.21,-91.38
817626,40.09,-91.38
817655,39.89,-91.38
817686,40.37,-91.38
817774,40.33,-91.38
817803,40.01,-91.38
817930,39.97,-91.38
817967,40.05,-91.38
818005,40.25,-91.34
818067,40.41,-91.34
818169,40.57,-91.34
818199,40.29,-91.34
818263,40.21,-91.34
818304,40.09,-91.34
818323,40.61,-91.34
818404,39.85,-91.34
818419,39.93,-91.34
818421,39.89,-91.34
818453,39.81,-91.34
818475,40.53,-91.34
818593,40.33,-91.34
818601,40.37,-91.34
818628,40.01,-91.34
818635,39.97,-91.34
818636,40.05,-91.34
818662,40.49,-91.34
818688,40.13,-91.34
818738,40.17,-91.34
818752,39.73,-91.34
818770,40.45,-91.34
818779,39.77,-91.34
818922,40.17,-91.3
818924,40.33,-91.3
818949,39.89,-91.3
818958,40.49,-91.3
818978,40.09,-91.3
818981,40.13,-91.3
819027,40.45,-91.3
819039,40.61,-91.3
819078,40.05,-91.3
819129,40.01,-91.3
819151,39.97,-91.3
819256,40.37,-91.3
819307,40.57,-91.3
819319,39.73,-91.3
819377,40.53,-91.3
819400,39.77,-91.3
819421,40.21,-91.3
819571,39.81,-91.3
819636,40.41,-91.3
819637,39.69,-91.3
819696,39.85,-91.3
819710,40.29,-91.3
819711,39.93,-91.3
819741,40.25,-91.3
819891,40.01,-91.26
819899,39.97,-91.26
819900,40.05,-91.26
819951,40.61,-91.26
820073,40.17,-91.26
820075,40.41,-91.26
820085,40.21,-91.26
820094,40.57,-91.26
820097,40.25,-91.26
820101,39.73,-91.26
820107,40.45,-91.26
820138,40.09,-91.26
820178,40.29,-91.26
820205,40.49,-91.26
820210,40.13,-91.26
820223,39.69,-91.26
820226,39.65,-91.26
820240,40.37,-91.26
820249,40.33,-91.26
