,latitude,longitude
892910,37.89,-88.1
893783,37.81,-88.06
894456,37.97,-88.02
894683,37.81,-88.02
894702,37.85,-88.02
894775,37.89,-88.02
894795,37.93,-88.02
894909,38.01,-88.02
894981,38.05,-88.02
895241,38.09,-88.02
895388,37.85,-87.98
895456,37.97,-87.98
895572,37.93,-87.98
895630,38.09,-87.98
895664,38.05,-87.98
895753,38.21,-87.98
895772,38.01,-87.98
895995,37.81,-87.98
896085,37.89,-87.98
896155,38.17,-87.94
896157,37.81,-87.94
896271,37.85,-87.94
896356,38.25,-87.94
896376,37.93,-87.94
896381,38.13,-87.94
896384,38.09,-87.94
896394,37.97,-87.94
896410,38.21,-87.94
896423,38.01,-87.94
896436,38.05,-87.94
896523,37.89,-87.94
896859,38.29,-87.94
897003,38.13,-87.9
897069,38.21,-87.9
897102,38.25,-87.9
897218,38.17,-87.9
897242,37.97,-87.9
897401,38.05,-87.9
897410,38.09,-87.9
897513,38.01,-87.9
897744,37.93,-87.9
898127,38.25,-87.86
898154,38.17,-87.86
898187,37.97,-87.86
898281,38.01,-87.86
898289,38.05,-87.86
898407,38.21,-87.86
898522,38.09,-87.86
898571,38.13,-87.86
898678,37.93,-87.86
898861,38.17,-87.82
898958,38.33,-87.82
898968,37.97,-87.82
899313,37.93,-87.82
899315,38.09,-87.82
899321,38.05,-87.82
899355,38.01,-87.82
899475,38.13,-87.82
899534,37.89,-87.82
899553,38.25,-87.82
899589,38.21,-87.82
899592,38.29,-87.82
899810,38.25,-87.78
899842,38.13,-87.78
899949,37.89,-87.78
900026,38.21,-87.78
900085,37.97,-87.78
900112,38.37,-87.78
900154,37.93,-87.78
900158,38.33,-87.78
900356,38.17,-87.78
900370,38.01,-87.78
900398,38.05,-87.78
900404,38.29,-87.78
900456,38.09,-87.78
900485,38.25,-87.74
900498,38.05,-87.74
900521,38.09,-87.74
900624,38.21,-87.74
900653,37.93,-87.74
900856,37.89,-87.74
900954,38.13,-87.74
901084,38.45,-87.74
901087,38.33,-87.74
901113,38.41,-87.74
901148,38.01,-87.74
901149,37.97,-87.74
901156,38.29,-87.74
901167,38.17,-87.74
901277,38.37,-87.74
901397,38.45,-87.7
901408,38.25,-87.7
901466,38.21,-87.7
901689,38.13,-87.7
901717,38.41,-87.7
901719,38.05,-87.7
901831,38.17,-87.7
901923,38.01,-87.7
901955,38.29,-87.7
902062,38.37,-87.7
902119,38.09,-87.7
902171,37.97,-87.7
