,latitude,longitude
706440,42.77,-96.62
706770,42.73,-96.62
706973,42.77,-96.58
707072,42.69,-96.58
707161,42.73,-96.58
707343,42.81,-96.58
707686,43.49,-96.58
707705,43.45,-96.58
707757,42.89,-96.54
708158,42.73,-96.54
708162,43.29,-96.54
708169,43.41,-96.54
708221,42.77,-96.54
708285,42.69,-96.54
708289,43.25,-96.54
708290,42.85,-96.54
708334,43.45,-96.54
708558,43.49,-96.54
708607,42.81,-96.54
708650,42.61,-96.5
708662,43.45,-96.5
708665,43.33,-96.5
708676,43.49,-96.5
708701,43.25,-96.5
708728,42.93,-96.5
708736,43.41,-96.5
708807,42.81,-96.5
708832,42.69,-96.5
708864,42.73,-96.5
708872,42.89,-96.5
709068,43.01,-96.5
709069,42.97,-96.5
709091,43.37,-96.5
709348,42.85,-96.5
709413,42.77,-96.5
709505,43.29,-96.5
709542,42.65,-96.5
709617,43.41,-96.46
709634,42.73,-96.46
709638,43.25,-96.46
709695,43.29,-96.46
709747,42.81,-96.46
709789,43.09,-96.46
709974,42.61,-96.46
710070,42.57,-96.46
710081,43.33,-96.46
710102,42.77,-96.46
710117,43.45,-96.46
710149,43.21,-96.46
710187,43.49,-96.46
710199,42.65,-96.46
710252,42.53,-96.46
710291,42.89,-96.46
710292,42.93,-96.46
710295,42.97,-96.46
710297,43.05,-96.46
710325,43.01,-96.46
710368,42.69,-96.46
710411,43.17,-96.46
710432,42.85,-96.46
710450,43.37,-96.46
710487,43.33,-96.42
710493,42.85,-96.42
710500,43.29,-96.42
710536,42.65,-96.42
710565,42.57,-96.42
710575,43.45,-96.42
710590,42.77,-96.42
710603,42.61,-96.42
710629,42.81,-96.42
710642,43.41,-96.42
710701,43.13,-96.42
710709,42.53,-96.42
710808,43.49,-96.42
710847,43.17,-96.42
710963,43.25,-96.42
711095,43.21,-96.42
711239,42.69,-96.42
711242,43.37,-96.42
711273,42.73,-96.42
711294,43.05,-96.42
711295,43.01,-96.42
711296,42.93,-96.42
711297,42.89,-96.42
711316,42.97,-96.42
711401,43.09,-96.42
711413,43.25,-96.38
711426,42.85,-96.38
711494,43.33,-96.38
711515,43.29,-96.38
711595,43.13,-96.38
711605,42.53,-96.38
711634,43.09,-96.38
711657,43.05,-96.38
711672,43.01,-96.38
711673,42.97,-96.38
711675,42.93,-96.38
711682,42.81,-96.38
711734,43.41,-96.38
711761,42.89,-96.38
711807,43.45,-96.38
711861,42.57,-96.38
711889,42.61,-96.38
711926,43.49,-96.38
711992,42.77,-96.38
712047,43.17,-96.38
712057,43.37,-96.38
712072,42.69,-96.38
712130,42.37,-96.38
712137,42.73,-96.38
