,latitude,longitude
561354,38.01,-102.02
561360,39.09,-102.02
561383,37.97,-102.02
561416,37.85,-102.02
561437,38.97,-102.02
561483,39.61,-102.02
561518,39.53,-102.02
561562,37.81,-102.02
561565,37.89,-102.02
561577,39.01,-102.02
561614,38.09,-102.02
561628,39.49,-102.02
561640,38.05,-102.02
561654,39.21,-102.02
561660,37.93,-102.02
561699,39.17,-102.02
561717,39.29,-102.02
561720,38.61,-102.02
561728,39.05,-102.02
561733,37.09,-102.02
561777,39.13,-102.02
561782,38.13,-102.02
561798,38.41,-102.02
561811,39.25,-102.02
561819,38.17,-102.02
561834,37.69,-102.02
561843,39.69,-102.02
561872,37.53,-102.02
561877,39.89,-102.02
561879,38.37,-102.02
561883,39.85,-102.02
561898,37.45,-102.02
561910,38.81,-102.02
561911,39.93,-102.02
561916,39.97,-102.02
561918,37.49,-102.02
561938,39.73,-102.02
561958,38.45,-102.02
561961,38.69,-102.02
561965,38.65,-102.02
561966,37.61,-102.02
561968,38.21,-102.02
561981,37.65,-102.02
562019,39.77,-102.02
562027,39.81,-102.02
562037,39.57,-102.02
562046,38.49,-102.02
562060,37.05,-102.02
562082,37.25,-102.02
562108,37.29,-102.02
562114,37.41,-102.02
562130,37.37,-102.02
562134,37.33,-102.02
562135,37.17,-102.02
562138,37.13,-102.02
562141,37.21,-102.02
562167,37.57,-102.02
562170,39.65,-102.02
562188,38.77,-102.02
562190,38.73,-102.02
562200,37.01,-102.02
562224,38.53,-102.02
562259,38.33,-102.02
562260,39.41,-102.02
562264,39.37,-102.02
562271,38.93,-102.02
562279,38.89,-102.02
562285,37.77,-102.02
562298,38.29,-102.02
562306,38.85,-102.02
562311,38.57,-102.02
562320,39.33,-102.02
562336,39.45,-102.02
562338,37.73,-102.02
562381,38.25,-102.02
562403,38.97,-101.98
562430,38.57,-101.98
562449,39.41,-101.98
562457,38.73,-101.98
562465,38.13,-101.98
562481,38.89,-101.98
562489,37.77,-101.98
562491,39.37,-101.98
562492,38.17,-101.98
562497,39.49,-101.98
562503,38.77,-101.98
562527,38.05,-101.98
562549,39.13,-101.98
562551,38.01,-101.98
562552,39.85,-101.98
562555,39.89,-101.98
562565,37.45,-101.98
562570,38.49,-101.98
562599,37.89,-101.98
562610,39.21,-101.98
562614,38.33,-101.98
562624,39.65,-101.98
562639,37.57,-101.98
562647,38.09,-101.98
562671,37.21,-101.98
562678,37.73,-101.98
562694,37.33,-101.98
562717,37.13,-101.98
562725,37.17,-101.98
