,latitude,longitude
859792,36.53,-89.54
860876,36.53,-89.5
863933,36.53,-89.38
863961,36.61,-89.38
864023,36.57,-89.38
864753,36.61,-89.34
864754,36.57,-89.34
865338,36.53,-89.34
865645,36.57,-89.3
865831,36.53,-89.3
867127,36.53,-89.26
867508,36.53,-89.22
867966,36.57,-89.22
868274,36.61,-89.18
868550,36.53,-89.18
868752,36.57,-89.18
868871,36.65,-89.18
869161,37.01,-89.14
869361,36.73,-89.14
869672,36.69,-89.14
869689,36.81,-89.14
869733,36.85,-89.14
869765,37.05,-89.14
869770,36.61,-89.14
869782,36.57,-89.14
869851,36.53,-89.14
869893,37.09,-89.14
869957,36.65,-89.14
870156,36.73,-89.1
870363,37.01,-89.1
870433,37.05,-89.1
870504,36.65,-89.1
870528,36.53,-89.1
870575,36.69,-89.1
870586,36.57,-89.1
870595,36.97,-89.1
870597,36.81,-89.1
870622,37.09,-89.1
870634,36.93,-89.1
870689,37.13,-89.1
870694,36.85,-89.1
870700,36.61,-89.1
870894,36.89,-89.1
870950,36.77,-89.1
871020,36.97,-89.06
871112,36.57,-89.06
871156,36.73,-89.06
871163,36.81,-89.06
871227,37.05,-89.06
871241,36.77,-89.06
871263,36.53,-89.06
871269,36.65,-89.06
871488,36.89,-89.06
871506,36.69,-89.06
871550,37.13,-89.06
871633,36.85,-89.06
871702,37.09,-89.06
871708,36.93,-89.06
871758,37.17,-89.06
871779,36.61,-89.06
871788,37.01,-89.06
872179,37.13,-89.02
872180,36.69,-89.02
872235,36.61,-89.02
872263,37.09,-89.02
872377,36.65,-89.02
872443,36.89,-89.02
872455,36.77,-89.02
872552,36.53,-89.02
872621,36.73,-89.02
872623,37.01,-89.02
872665,37.17,-89.02
872704,36.57,-89.02
872785,36.85,-89.02
872788,37.21,-89.02
872791,36.81,-89.02
872800,37.05,-89.02
872802,36.97,-89.02
872813,36.93,-89.02
872844,36.65,-88.98
872941,36.85,-88.98
873047,36.61,-88.98
873065,37.13,-88.98
873163,37.05,-88.98
873182,36.53,-88.98
873259,36.97,-88.98
873283,36.81,-88.98
873318,36.57,-88.98
873319,36.89,-88.98
873337,36.73,-88.98
873344,37.01,-88.98
873371,37.09,-88.98
873405,36.77,-88.98
873438,36.93,-88.98
873620,37.21,-88.98
873652,37.17,-88.98
873702,36.69,-88.98
873806,36.53,-88.94
873829,36.69,-88.94
873941,36.77,-88.94
873949,36.89,-88.94
873996,37.05,-88.94
874013,37.09,-88.94
874069,36.93,-88.94
874085,37.21,-88.94
874103,36.97,-88.94
874106,36.85,-88.94
874116,36.57,-88.94
874120,36.81,-88.94
874402,37.17,-88.94
