,latitude,longitude
762199,32.37,-94.02
762219,32.41,-94.02
762263,32.65,-94.02
762382,32.81,-94.02
762398,32.77,-94.02
762399,32.73,-94.02
762424,32.69,-94.02
762428,32.85,-94.02
762478,32.53,-94.02
762484,32.45,-94.02
762515,32.25,-94.02
762517,32.57,-94.02
762527,32.17,-94.02
762567,32.49,-94.02
762571,32.61,-94.02
762578,32.13,-94.02
762594,32.97,-94.02
762595,32.93,-94.02
762633,32.89,-94.02
762657,32.01,-94.02
762683,32.29,-94.02
762706,32.05,-94.02
762718,32.21,-94.02
762720,32.09,-94.02
762860,32.33,-94.02
762926,32.85,-93.98
762935,32.69,-93.98
762991,32.21,-93.98
762999,32.93,-93.98
763077,32.05,-93.98
763088,32.09,-93.98
763180,32.45,-93.98
763183,32.25,-93.98
763190,32.57,-93.98
763211,32.61,-93.98
763216,32.53,-93.98
763217,32.65,-93.98
763220,32.01,-93.98
763221,32.49,-93.98
763228,31.97,-93.98
763251,32.73,-93.98
763273,32.89,-93.98
763367,32.77,-93.98
763568,32.29,-93.98
763612,32.81,-93.98
763637,32.97,-93.98
763649,32.37,-93.98
763654,32.33,-93.98
763667,32.41,-93.98
763671,32.17,-93.98
763672,32.13,-93.98
763677,32.49,-93.94
763685,32.41,-93.94
763704,32.61,-93.94
763726,32.65,-93.94
763731,32.29,-93.94
763744,32.37,-93.94
763778,32.33,-93.94
763963,32.25,-93.94
763973,31.93,-93.94
763976,32.53,-93.94
763978,31.97,-93.94
763989,32.45,-93.94
764033,32.57,-93.94
764042,32.01,-93.94
764112,32.85,-93.94
764120,32.69,-93.94
764122,32.89,-93.94
764173,32.97,-93.94
764200,32.93,-93.94
764209,32.13,-93.94
764210,32.17,-93.94
764234,32.09,-93.94
764264,32.21,-93.94
764280,32.05,-93.94
764329,32.73,-93.94
764330,32.81,-93.94
764349,32.77,-93.94
764518,32.89,-93.9
764596,32.37,-93.9
764598,32.93,-93.9
764603,32.41,-93.9
764630,32.29,-93.9
764631,32.33,-93.9
764722,31.93,-93.9
764724,32.09,-93.9
764840,32.05,-93.9
764841,32.21,-93.9
764883,32.61,-93.9
764885,32.65,-93.9
764908,32.73,-93.9
764909,32.81,-93.9
764910,32.77,-93.9
764918,32.49,-93.9
764954,32.53,-93.9
764957,32.45,-93.9
764963,32.25,-93.9
764964,32.57,-93.9
765053,32.97,-93.9
765069,32.85,-93.9
765073,32.69,-93.9
765167,32.17,-93.9
765168,32.13,-93.9
765245,31.97,-93.9
765248,32.01,-93.9
765259,31.89,-93.9
765342,31.93,-93.86
765370,29.73,-93.86
765392,29.81,-93.86
765394,29.77,-93.86
765420,32.09,-93.86
765482,32.97,-93.86
765488,32.65,-93.86
765509,32.25,-93.86
765513,32.57,-93.86
765533,31.97,-93.86
765534,32.89,-93.86
765555,32.01,-93.86
765588,32.29,-93.86
765604,31.89,-93.86
765619,32.45,-93.86
765638,32.73,-93.86
765645,32.41,-93.86
765672,32.37,-93.86
765679,31.85,-93.86
765696,32.53,-93.86
765699,32.49,-93.86
765722,32.61,-93.86
765727,32.33,-93.86
765759,32.13,-93.86
765832,32.05,-93.86
765834,32.69,-93.86
765867,32.85,-93.86
765898,32.21,-93.86
765994,32.93,-93.86
766010,32.77,-93.86
766017,32.81,-93.86
766069,32.17,-93.86
766120,32.05,-93.82
766126,29.77,-93.82
766261,29.81,-93.82
766262,29.73,-93.82
766284,32.21,-93.82
766287,32.33,-93.82
766314,32.97,-93.82
766369,32.77,-93.82
766370,32.81,-93.82
766373,32.73,-93.82
766405,32.17,-93.82
766412,32.85,-93.82
766420,32.69,-93.82
766480,32.93,-93.82
766499,32.13,-93.82
766510,32.61,-93.82
766511,32.65,-93.82
766515,32.49,-93.82
766525,32.53,-93.82
766531,32.41,-93.82
766551,32.37,-93.82
766561,31.89,-93.82
766566,31.81,-93.82
766570,31.93,-93.82
766591,32.45,-93.82
766593,32.01,-93.82
766594,31.97,-93.82
766596,32.25,-93.82
766597,32.57,-93.82
766621,31.77,-93.82
766637,31.85,-93.82
766704,32.29,-93.82
766770,32.89,-93.82
766787,31.65,-93.82
766869,31.73,-93.82
766870,31.61,-93.82
766918,32.09,-93.82
766951,30.01,-93.78
767034,32.17,-93.78
767054,29.73,-93.78
767066,29.85,-93.78
767088,29.77,-93.78
767092,32.41,-93.78
767100,29.81,-93.78
767108,32.49,-93.78
767114,32.53,-93.78
767116,32.01,-93.78
767117,31.77,-93.78
767129,31.61,-93.78
767174,32.25,-93.78
767182,31.89,-93.78
767183,32.69,-93.78
767184,31.97,-93.78
767221,32.97,-93.78
767225,32.93,-93.78
767270,32.33,-93.78
767303,32.37,-93.78
767310,31.85,-93.78
767315,32.29,-93.78
767335,32.45,-93.78
767391,31.57,-93.78
767420,32.21,-93.78
767445,32.81,-93.78
