,latitude,longitude
1339686,45.09,-71.06
1339725,45.17,-71.06
1340019,45.25,-71.06
1340024,45.29,-71.06
1340027,45.21,-71.06
1340096,45.05,-71.06
1340138,45.13,-71.06
1340222,45.01,-71.06
1340396,44.97,-71.06
1340538,45.25,-71.02
1340545,44.81,-71.02
1340548,45.21,-71.02
1340592,45.13,-71.02
1340637,44.93,-71.02
1340741,44.69,-71.02
1340763,45.05,-71.02
1340832,44.77,-71.02
1340958,45.09,-71.02
1340972,45.29,-71.02
1341020,44.97,-71.02
1341107,45.01,-71.02
1341164,44.73,-71.02
1341165,44.65,-71.02
1341268,44.45,-71.02
1341308,44.53,-71.02
1341313,44.57,-71.02
1341316,44.61,-71.02
1341378,44.85,-71.02
1341381,44.89,-71.02
1341466,44.49,-71.02
1341547,45.33,-71.02
1341786,45.17,-71.02
1341906,44.25,-70.98
1341981,45.05,-70.98
1342044,44.41,-70.98
1342084,45.13,-70.98
1342091,44.93,-70.98
1342202,44.29,-70.98
1342208,45.29,-70.98
1342209,45.25,-70.98
1342213,45.21,-70.98
1342224,44.21,-70.98
1342248,45.33,-70.98
1342251,44.49,-70.98
1342276,44.69,-70.98
1342305,44.81,-70.98
1342307,43.97,-70.98
1342420,44.45,-70.98
1342523,45.09,-70.98
1342540,44.37,-70.98
1342580,43.93,-70.98
1342667,44.65,-70.98
1342670,44.73,-70.98
1342674,43.89,-70.98
1342732,44.77,-70.98
1342757,44.01,-70.98
1342765,44.17,-70.98
1342822,44.09,-70.98
1342867,44.13,-70.98
1342918,44.85,-70.98
1342927,44.05,-70.98
1342940,45.01,-70.98
1342976,44.53,-70.98
1342979,45.17,-70.98
1342983,44.33,-70.98
1342989,44.57,-70.98
1342991,44.61,-70.98
1343013,44.97,-70.98
1343032,44.89,-70.98
1343125,44.21,-70.94
1343139,43.53,-70.94
1343156,44.09,-70.94
1343204,43.49,-70.94
1343205,44.89,-70.94
1343316,44.61,-70.94
1343343,44.97,-70.94
1343349,45.17,-70.94
1343377,44.33,-70.94
1343381,43.97,-70.94
1343383,43.85,-70.94
1343435,44.29,-70.94
1343438,44.85,-70.94
1343440,44.81,-70.94
1343449,45.01,-70.94
1343456,44.77,-70.94
1343460,44.49,-70.94
1343487,45.09,-70.94
1343495,43.41,-70.94
1343522,44.41,-70.94
1343535,44.17,-70.94
1343539,43.89,-70.94
1343540,43.69,-70.94
