,latitude,longitude
1077178,39.41,-79.46
1077199,39.53,-79.46
1077216,39.37,-79.46
1077244,39.45,-79.46
1077257,39.57,-79.46
1077505,39.49,-79.46
1077542,39.61,-79.46
1077655,39.25,-79.46
1077703,39.69,-79.46
1077736,39.65,-79.46
1077747,39.33,-79.46
1077756,39.29,-79.46
1077768,39.49,-79.42
1077802,39.69,-79.42
1077855,39.65,-79.42
1077886,39.61,-79.42
1078206,39.45,-79.42
1078255,39.41,-79.42
1078267,39.37,-79.42
1078280,39.53,-79.42
1078345,39.33,-79.42
1078409,39.57,-79.42
1078467,39.25,-79.42
1078576,39.29,-79.42
1079146,39.41,-79.38
1079156,39.69,-79.38
1079218,39.53,-79.38
1079232,39.49,-79.38
1079233,39.33,-79.38
1079234,39.37,-79.38
1079235,39.65,-79.38
1079259,39.45,-79.38
1079264,39.57,-79.38
1079430,39.29,-79.38
1079486,39.61,-79.38
1079597,39.65,-79.34
1079599,39.69,-79.34
1079604,39.33,-79.34
1079630,39.41,-79.34
1079632,39.53,-79.34
1079635,39.49,-79.34
1079636,39.37,-79.34
1079644,39.57,-79.34
1079645,39.45,-79.34
1079661,39.61,-79.34
1080693,39.65,-79.3
1080707,39.69,-79.3
1081039,39.33,-79.3
1081240,39.53,-79.3
1081254,39.61,-79.3
1081258,39.37,-79.3
1081263,39.49,-79.3
1081270,39.57,-79.3
1081324,39.41,-79.3
1081372,39.45,-79.3
1081755,39.57,-79.26
1081810,39.53,-79.26
1081832,39.49,-79.26
1081849,39.37,-79.26
1081867,39.61,-79.26
1081875,39.45,-79.26
1081891,39.41,-79.26
1082275,39.69,-79.26
1082302,39.65,-79.26
1082783,39.61,-79.22
1082825,39.45,-79.22
1082831,39.41,-79.22
1082833,39.53,-79.22
1082845,39.57,-79.22
1083021,39.37,-79.22
1083040,39.49,-79.22
1083210,39.69,-79.22
1083249,39.65,-79.22
1084049,39.57,-79.18
1084113,39.41,-79.18
1084119,39.45,-79.18
1084131,39.61,-79.18
1084160,39.53,-79.18
1084164,39.49,-79.18
1084200,39.69,-79.18
1084209,39.65,-79.18
1084375,39.57,-79.14
1084496,39.53,-79.14
1084505,39.61,-79.14
1084508,39.49,-79.14
1084515,39.45,-79.14
1085068,39.65,-79.14
1085078,39.69,-79.14
1085245,39.49,-79.1
1085266,39.61,-79.1
1085460,39.53,-79.1
1085616,39.57,-79.1
1085811,39.69,-79.1
1086031,39.65,-79.1
1086247,39.69,-79.06
1086373,39.65,-79.06
1086903,39.61,-79.06
1087080,39.53,-79.06
1087108,39.49,-79.06
1087111,39.57,-79.06
