,latitude,longitude
1260408,42.09,-73.5
1262297,42.09,-73.46
1262319,42.05,-73.46
1262358,42.17,-73.46
1262381,42.13,-73.46
1262582,42.09,-73.42
1262592,42.21,-73.42
1262661,42.13,-73.42
1262816,42.17,-73.42
1263163,42.25,-73.42
1263185,42.29,-73.42
1263465,42.05,-73.42
1264769,42.29,-73.38
1264774,42.25,-73.38
1264782,42.33,-73.38
1264801,42.37,-73.38
1264987,42.41,-73.38
1264996,42.09,-73.38
1265024,42.05,-73.38
1265027,42.13,-73.38
1265057,42.21,-73.38
1265064,42.17,-73.38
1265164,42.25,-73.34
1265201,42.37,-73.34
1265203,42.41,-73.34
1265212,42.49,-73.34
1265226,42.53,-73.34
1265227,42.29,-73.34
1265727,42.09,-73.34
1265759,42.33,-73.34
1265783,42.45,-73.34
1265816,42.21,-73.34
1265824,42.17,-73.34
1265852,42.13,-73.34
1265855,42.05,-73.34
1267122,42.53,-73.3
1267148,42.41,-73.3
1267155,42.45,-73.3
1267161,42.33,-73.3
1267175,42.09,-73.3
1267202,42.37,-73.3
1267213,42.25,-73.3
1267215,42.29,-73.3
1267220,42.49,-73.3
1267221,42.57,-73.3
1267236,42.05,-73.3
1267254,42.21,-73.3
1267312,42.17,-73.3
1267321,42.13,-73.3
1267462,42.61,-73.3
1267743,42.73,-73.26
1267783,42.61,-73.26
1268187,42.65,-73.26
1268188,42.49,-73.26
1268189,42.37,-73.26
1268207,42.69,-73.26
1268214,42.57,-73.26
1268362,42.45,-73.26
1268367,42.41,-73.26
1268369,42.33,-73.26
1268372,42.53,-73.26
1268387,42.25,-73.26
1268394,42.09,-73.26
1268483,42.29,-73.26
1268530,42.17,-73.26
1268531,42.21,-73.26
1268598,42.05,-73.26
1268646,42.13,-73.26
1269067,42.33,-73.22
1269077,42.45,-73.22
1269270,42.61,-73.22
1269292,42.69,-73.22
1269381,42.29,-73.22
1269384,42.53,-73.22
1269385,42.25,-73.22
1269396,42.41,-73.22
1269420,42.49,-73.22
1269428,42.37,-73.22
1269686,42.21,-73.22
1269699,42.17,-73.22
1269717,42.13,-73.22
1269724,42.09,-73.22
1269733,42.05,-73.22
1269946,42.57,-73.22
1269977,42.73,-73.22
1269983,42.65,-73.22
1270224,42.69,-73.18
1270281,42.73,-73.18
1270285,42.61,-73.18
1270295,42.57,-73.18
1270315,42.65,-73.18
1270373,42.53,-73.18
1270381,42.41,-73.18
1271001,42.05,-73.18
1271003,42.09,-73.18
1271009,42.33,-73.18
1271011,42.25,-73.18
1271012,42.29,-73.18
1271013,42.49,-73.18
1271014,42.37,-73.18
1271015,42.45,-73.18
1271025,42.13,-73.18
1271032,42.21,-73.18
1271084,42.17,-73.18
