,latitude,longitude
840168,46.61,-90.38
840199,46.57,-90.38
841413,46.65,-90.34
841414,46.61,-90.34
841535,46.69,-90.34
841925,46.57,-90.34
842006,46.73,-90.3
842051,46.57,-90.3
842549,46.69,-90.3
842589,46.65,-90.3
842821,46.61,-90.3
842852,46.53,-90.3
842949,46.81,-90.26
843106,46.77,-90.26
843299,46.69,-90.26
843410,46.61,-90.26
843418,46.53,-90.26
843498,46.73,-90.26
843560,46.57,-90.26
843586,46.65,-90.26
843893,46.61,-90.22
843957,46.81,-90.22
843982,46.77,-90.22
843987,46.53,-90.22
844023,46.85,-90.22
844135,46.69,-90.22
844353,46.65,-90.22
844371,46.57,-90.22
844676,46.73,-90.22
844838,46.77,-90.18
844924,46.45,-90.18
844947,46.85,-90.18
844951,46.57,-90.18
845076,46.81,-90.18
845099,46.73,-90.18
845119,46.69,-90.18
845259,46.93,-90.18
845288,46.49,-90.18
845344,46.65,-90.18
845520,46.89,-90.18
845663,46.53,-90.18
845721,46.61,-90.18
845823,46.97,-90.14
845829,46.93,-90.14
845858,46.89,-90.14
845863,46.69,-90.14
845949,46.61,-90.14
846032,46.81,-90.14
846057,46.53,-90.14
846154,46.73,-90.14
846266,46.77,-90.14
846312,46.57,-90.14
846405,46.85,-90.14
846428,46.65,-90.14
846476,46.41,-90.14
846552,46.45,-90.14
846661,46.49,-90.14
846742,46.73,-90.1
846766,46.45,-90.1
846785,46.53,-90.1
846815,46.77,-90.1
846851,46.93,-90.1
846956,46.37,-90.1
846973,46.49,-90.1
846981,46.89,-90.1
847034,47.05,-90.1
847112,46.41,-90.1
847250,46.65,-90.1
847311,46.81,-90.1
847428,46.85,-90.1
847473,47.01,-90.1
847499,46.57,-90.1
847522,46.97,-90.1
847548,46.69,-90.1
847581,46.61,-90.1
847664,46.77,-90.06
847699,46.81,-90.06
847729,46.61,-90.06
847752,46.49,-90.06
847806,46.33,-90.06
847807,46.53,-90.06
847845,46.41,-90.06
847875,46.85,-90.06
848018,46.69,-90.06
848138,46.93,-90.06
848142,47.09,-90.06
848147,47.01,-90.06
848175,46.97,-90.06
848193,47.05,-90.06
848218,46.45,-90.06
848365,46.57,-90.06
848389,46.65,-90.06
848393,46.73,-90.06
848427,46.37,-90.06
848511,46.89,-90.06
848534,46.81,-90.02
848659,46.53,-90.02
848660,47.05,-90.02
848712,47.17,-90.02
848719,46.33,-90.02
848750,46.77,-90.02
848762,46.45,-90.02
848795,46.73,-90.02
848832,46.37,-90.02
848835,47.13,-90.02
848869,46.93,-90.02
848942,46.89,-90.02
848972,46.97,-90.02
848981,47.01,-90.02
849049,46.65,-90.02
849100,46.57,-90.02
849133,46.41,-90.02
849139,46.69,-90.02
849140,46.61,-90.02
849280,47.09,-90.02
849360,46.49,-90.02
849399,46.85,-90.02
849554,46.77,-89.98
849572,46.73,-89.98
849575,46.57,-89.98
849676,46.41,-89.98
849717,47.13,-89.98
849757,46.97,-89.98
849763,47.09,-89.98
849786,46.69,-89.98
849855,46.81,-89.98
849871,47.05,-89.98
849890,46.53,-89.98
849919,47.21,-89.98
849923,46.93,-89.98
849950,46.89,-89.98
850082,47.01,-89.98
850095,46.65,-89.98
850119,47.17,-89.98
850141,46.61,-89.98
850150,46.33,-89.98
850175,46.37,-89.98
850240,46.45,-89.98
850345,46.49,-89.98
850353,46.85,-89.98
850388,46.33,-89.94
850436,47.01,-89.94
850442,46.93,-89.94
850475,46.81,-89.94
850488,47.21,-89.94
850533,46.49,-89.94
850605,46.45,-89.94
850622,46.61,-89.94
850663,46.69,-89.94
850811,47.05,-89.94
850831,47.17,-89.94
850844,46.97,-89.94
850870,47.29,-89.94
