,latitude,longitude
691969,48.97,-97.22
693033,48.89,-97.18
693115,48.93,-97.18
693167,48.97,-97.18
693170,48.85,-97.18
693478,48.77,-97.14
693647,48.57,-97.14
693671,48.53,-97.14
693822,48.97,-97.14
693864,48.93,-97.14
694026,48.81,-97.14
694097,48.85,-97.14
694202,48.89,-97.14
694209,48.37,-97.14
694253,48.49,-97.14
694442,48.53,-97.1
694457,48.65,-97.1
694466,48.21,-97.1
694474,48.25,-97.1
694490,48.93,-97.1
694504,48.97,-97.1
694520,48.49,-97.1
694524,48.57,-97.1
694667,48.29,-97.1
694707,48.37,-97.1
694738,48.73,-97.1
694755,48.45,-97.1
694763,48.41,-97.1
694771,48.81,-97.1
695237,48.17,-97.1
695254,48.61,-97.1
695274,48.13,-97.1
695280,48.77,-97.1
695281,48.69,-97.1
695294,48.09,-97.1
695305,48.89,-97.1
695333,48.85,-97.1
695362,48.33,-97.1
695403,48.93,-97.06
695415,48.65,-97.06
695424,48.89,-97.06
695436,48.09,-97.06
695546,48.57,-97.06
695570,48.85,-97.06
695602,48.45,-97.06
695618,48.13,-97.06
695654,48.53,-97.06
695703,48.29,-97.06
695734,48.33,-97.06
695739,48.77,-97.06
695745,48.41,-97.06
695747,48.37,-97.06
695830,48.61,-97.06
695859,48.97,-97.06
695878,48.25,-97.06
695906,48.69,-97.06
695968,48.73,-97.06
695973,48.81,-97.06
695987,48.21,-97.06
695989,48.17,-97.06
696237,48.05,-97.06
696373,48.49,-97.06
696427,48.37,-97.02
696496,48.01,-97.02
696602,48.41,-97.02
696636,48.05,-97.02
696656,48.85,-97.02
696697,48.65,-97.02
696724,48.53,-97.02
696741,48.45,-97.02
696743,48.49,-97.02
696747,48.89,-97.02
696773,48.17,-97.02
696790,48.57,-97.02
696816,48.81,-97.02
696904,48.09,-97.02
696907,48.93,-97.02
696940,48.69,-97.02
696990,48.25,-97.02
697022,48.97,-97.02
697036,48.29,-97.02
697108,48.13,-97.02
697143,47.97,-97.02
697261,48.61,-97.02
697275,48.21,-97.02
697277,48.77,-97.02
697318,48.33,-97.02
697358,48.73,-97.02
697388,48.09,-96.98
697407,47.85,-96.98
697413,47.97,-96.98
697447,48.65,-96.98
697467,48.77,-96.98
697477,47.81,-96.98
697502,48.13,-96.98
697527,48.73,-96.98
697538,48.69,-96.98
697630,48.05,-96.98
697725,48.61,-96.98
697853,48.93,-96.98
697856,48.25,-96.98
697886,48.41,-96.98
697935,48.21,-96.98
697959,48.45,-96.98
698006,47.89,-96.98
698010,48.17,-96.98
698080,48.49,-96.98
698093,48.29,-96.98
698095,48.97,-96.98
698185,48.01,-96.98
698251,48.81,-96.98
698259,48.85,-96.98
698264,48.37,-96.98
698291,48.89,-96.98
698300,47.93,-96.98
698308,48.57,-96.98
698320,48.33,-96.98
698335,48.53,-96.98
698429,48.33,-96.94
698479,48.01,-96.94
698495,47.89,-96.94
698726,48.49,-96.94
698743,47.85,-96.94
698830,48.41,-96.94
698840,48.21,-96.94
698844,48.45,-96.94
698847,48.05,-96.94
698871,48.37,-96.94
698913,48.29,-96.94
698914,48.77,-96.94
698916,47.81,-96.94
698938,47.77,-96.94
698944,48.25,-96.94
698966,48.73,-96.94
698995,48.69,-96.94
699033,48.65,-96.94
699039,47.97,-96.94
699049,48.85,-96.94
699083,48.81,-96.94
699119,48.93,-96.94
699120,48.89,-96.94
699121,48.09,-96.94
699122,48.97,-96.94
699126,48.57,-96.94
699129,48.61,-96.94
699204,48.53,-96.94
699217,48.13,-96.94
699218,48.17,-96.94
699276,47.93,-96.94
699336,48.81,-96.9
699374,48.89,-96.9
699504,48.97,-96.9
699649,47.81,-96.9
699670,47.73,-96.9
699839,48.05,-96.9
699846,48.21,-96.9
699848,48.29,-96.9
699875,48.25,-96.9
699883,48.13,-96.9
699888,48.65,-96.9
699900,48.73,-96.9
699908,48.33,-96.9
699918,48.69,-96.9
699920,48.01,-96.9
699932,48.41,-96.9
699973,48.61,-96.9
700030,48.57,-96.9
700034,48.17,-96.9
700068,48.09,-96.9
700081,47.85,-96.9
700091,48.49,-96.9
700100,48.85,-96.9
700121,48.77,-96.9
700127,47.89,-96.9
700137,47.93,-96.9
700157,48.37,-96.9
700165,47.69,-96.9
700167,48.93,-96.9
700190,47.77,-96.9
700191,48.45,-96.9
700209,47.97,-96.9
700217,48.53,-96.9
700250,48.61,-96.86
700297,48.69,-96.86
700306,47.41,-96.86
700311,47.69,-96.86
700316,47.93,-96.86
700332,48.49,-96.86
700342,48.13,-96.86
700343,48.09,-96.86
700354,47.65,-96.86
700363,48.65,-96.86
700366,48.05,-96.86
700539,47.81,-96.86
700560,48.17,-96.86
700581,47.73,-96.86
700603,47.45,-96.86
700630,48.33,-96.86
700640,47.89,-96.86
700641,47.85,-96.86
700687,48.29,-96.86
700702,48.01,-96.86
700728,48.73,-96.86
700879,48.25,-96.86
700887,48.41,-96.86
700893,47.77,-96.86
700932,48.93,-96.86
700933,48.45,-96.86
700946,48.57,-96.86
700963,48.97,-96.86
700971,48.21,-96.86
700975,48.37,-96.86
701019,48.77,-96.86
701040,45.61,-96.86
701049,48.85,-96.86
701065,47.53,-96.86
701083,48.81,-96.86
701091,48.89,-96.86
701118,47.97,-96.86
701151,47.61,-96.86
701178,48.53,-96.86
701179,47.57,-96.86
701184,48.25,-96.82
701203,47.77,-96.82
701206,47.37,-96.82
701211,48.05,-96.82
701230,45.61,-96.82
701231,48.29,-96.82
701250,47.25,-96.82
701264,48.77,-96.82
701280,48.53,-96.82
701287,45.65,-96.82
701306,48.45,-96.82
701315,48.61,-96.82
701337,48.21,-96.82
701345,48.17,-96.82
701350,48.49,-96.82
701352,48.09,-96.82
701378,48.97,-96.82
701389,48.65,-96.82
701417,48.93,-96.82
701418,48.13,-96.82
701419,47.17,-96.82
701423,48.33,-96.82
701425,48.01,-96.82
701430,48.37,-96.82
701432,48.57,-96.82
701437,47.53,-96.82
701438,47.49,-96.82
701478,47.13,-96.82
701479,47.93,-96.82
701480,47.97,-96.82
701487,47.89,-96.82
701488,48.41,-96.82
701499,48.73,-96.82
701507,47.29,-96.82
701549,47.33,-96.82
701551,47.41,-96.82
701585,47.69,-96.82
701617,47.01,-96.82
701625,47.45,-96.82
701626,48.69,-96.82
701635,47.65,-96.82
701640,47.21,-96.82
701775,48.89,-96.82
701798,48.85,-96.82
701819,47.05,-96.82
701823,48.81,-96.82
701924,47.73,-96.82
701966,45.57,-96.82
702013,47.09,-96.82
702036,47.57,-96.82
702040,47.61,-96.82
702100,47.81,-96.82
702119,47.85,-96.82
702127,47.13,-96.78
702143,48.73,-96.78
702144,48.93,-96.78
702145,48.77,-96.78
702160,45.57,-96.78
702162,47.69,-96.78
702175,45.53,-96.78
702184,46.69,-96.78
702187,46.65,-96.78
702212,48.57,-96.78
702220,47.09,-96.78
