,latitude,longitude
812202,31.13,-91.62
812439,31.25,-91.62
812460,31.01,-91.62
812708,31.21,-91.58
812723,31.17,-91.58
812936,31.01,-91.58
813042,31.13,-91.58
813079,31.05,-91.58
813117,31.25,-91.58
813143,31.09,-91.58
813643,31.09,-91.54
813767,31.25,-91.54
814042,31.21,-91.54
814231,31.13,-91.54
814263,31.01,-91.54
814291,31.17,-91.54
814302,31.05,-91.54
814456,31.49,-91.5
814464,31.13,-91.5
814476,31.25,-91.5
814579,31.29,-91.5
814735,31.05,-91.5
814783,31.17,-91.5
814815,31.37,-91.5
814817,31.21,-91.5
814879,31.01,-91.5
815031,31.45,-91.5
815142,31.09,-91.5
815216,31.33,-91.5
815472,31.49,-91.46
815480,31.01,-91.46
815555,31.37,-91.46
815667,31.45,-91.46
815713,31.09,-91.46
815716,31.33,-91.46
815767,31.13,-91.46
815772,31.29,-91.46
816003,31.41,-91.46
816074,31.21,-91.46
816087,31.53,-91.46
816103,31.05,-91.46
816111,31.17,-91.46
816182,31.25,-91.46
816312,31.01,-91.42
816327,31.25,-91.42
816339,31.65,-91.42
816419,31.05,-91.42
816501,31.33,-91.42
816521,31.21,-91.42
816561,31.29,-91.42
816564,31.49,-91.42
816654,31.57,-91.42
816655,31.61,-91.42
816686,31.45,-91.42
816745,31.09,-91.42
816875,31.41,-91.42
816909,31.17,-91.42
817012,31.53,-91.42
817044,31.13,-91.42
817074,31.37,-91.42
817121,31.09,-91.38
817137,31.01,-91.38
817181,31.37,-91.38
817204,31.33,-91.38
817255,31.25,-91.38
817285,31.13,-91.38
817330,31.53,-91.38
817345,31.21,-91.38
817423,31.05,-91.38
817433,31.17,-91.38
817515,31.29,-91.38
817562,31.41,-91.38
817673,31.45,-91.38
817753,31.73,-91.38
817770,31.57,-91.38
817786,31.77,-91.38
817824,31.69,-91.38
817827,31.65,-91.38
817894,31.49,-91.38
817973,31.61,-91.38
817993,31.25,-91.34
817995,31.61,-91.34
818030,31.17,-91.34
818046,31.69,-91.34
818087,31.57,-91.34
818116,31.33,-91.34
818175,31.65,-91.34
818222,31.09,-91.34
818245,31.13,-91.34
818264,31.77,-91.34
818272,31.29,-91.34
818322,31.41,-91.34
818350,31.73,-91.34
818367,31.81,-91.34
818393,31.49,-91.34
818455,31.01,-91.34
818478,31.21,-91.34
818515,31.05,-91.34
818540,31.37,-91.34
818714,31.45,-91.34
818759,31.53,-91.34
818868,31.77,-91.3
818885,31.73,-91.3
818939,31.25,-91.3
818997,31.81,-91.3
819042,31.41,-91.3
819064,31.61,-91.3
819108,31.85,-91.3
819128,31.53,-91.3
819133,31.21,-91.3
819171,31.69,-91.3
819215,31.45,-91.3
819247,31.57,-91.3
819346,31.33,-91.3
819372,31.37,-91.3
819410,31.09,-91.3
819432,31.05,-91.3
819456,31.29,-91.3
819464,31.17,-91.3
819555,31.65,-91.3
819593,31.01,-91.3
819723,31.49,-91.3
819745,31.13,-91.3
819800,31.53,-91.26
819816,31.37,-91.26
819933,31.45,-91.26
819947,31.65,-91.26
819969,31.41,-91.26
819972,31.69,-91.26
819974,31.61,-91.26
819980,31.57,-91.26
819992,31.77,-91.26
819994,31.73,-91.26
820074,31.25,-91.26
820086,31.29,-91.26
820092,31.33,-91.26
820122,31.21,-91.26
820142,31.81,-91.26
820151,31.85,-91.26
820269,31.01,-91.26
820277,31.05,-91.26
820305,31.49,-91.26
820327,31.09,-91.26
820411,31.17,-91.26
820440,31.13,-91.26
820665,31.09,-91.22
820690,31.25,-91.22
820747,31.45,-91.22
820752,31.81,-91.22
820757,31.73,-91.22
820766,31.85,-91.22
820772,31.57,-91.22
820811,31.01,-91.22
820820,31.37,-91.22
820840,31.33,-91.22
820878,31.05,-91.22
820925,31.21,-91.22
820986,31.29,-91.22
821011,31.65,-91.22
821060,31.53,-91.22
821071,31.69,-91.22
821080,31.41,-91.22
821185,31.77,-91.22
821186,33.57,-91.22
821198,31.89,-91.22
821391,31.17,-91.22
821398,31.13,-91.22
821400,31.49,-91.22
821416,31.61,-91.22
821628,31.69,-91.18
821722,33.53,-91.18
821768,31.37,-91.18
821784,31.49,-91.18
821811,31.13,-91.18
821834,31.05,-91.18
821847,31.89,-91.18
821896,31.77,-91.18
821937,31.45,-91.18
822009,31.25,-91.18
822029,31.21,-91.18
822051,31.93,-91.18
822100,31.73,-91.18
822102,31.01,-91.18
822110,33.57,-91.18
822117,31.33,-91.18
822123,31.29,-91.18
822176,33.65,-91.18
822191,31.85,-91.18
822209,31.53,-91.18
822278,31.61,-91.18
822298,31.17,-91.18
822341,31.41,-91.18
822347,31.57,-91.18
822349,31.65,-91.18
822381,33.69,-91.18
822409,31.81,-91.18
822425,31.09,-91.18
822438,33.69,-91.14
822439,31.25,-91.14
822460,33.61,-91.14
822476,32.97,-91.14
822506,31.29,-91.14
822528,31.57,-91.14
822557,31.93,-91.14
822597,33.53,-91.14
822622,33.13,-91.14
822637,31.81,-91.14
822648,31.13,-91.14
822654,31.45,-91.14
822694,31.49,-91.14
822713,31.73,-91.14
822719,32.81,-91.14
822720,33.37,-91.14
822784,32.61,-91.14
822817,31.37,-91.14
822823,31.01,-91.14
822835,33.29,-91.14
822854,31.33,-91.14
822866,31.69,-91.14
822905,33.49,-91.14
822922,31.21,-91.14
822940,33.33,-91.14
822957,31.05,-91.14
822969,31.97,-91.14
822972,31.85,-91.14
822974,33.73,-91.14
823007,33.01,-91.14
823008,33.05,-91.14
823009,33.09,-91.14
823013,31.89,-91.14
823015,31.65,-91.14
823142,31.77,-91.14
823194,32.65,-91.14
823196,31.61,-91.14
823209,33.65,-91.14
823292,31.17,-91.14
823303,31.41,-91.14
823304,33.57,-91.14
823312,31.09,-91.14
823321,31.53,-91.14
823322,32.77,-91.14
823334,31.33,-91.1
823336,31.85,-91.1
823347,31.57,-91.1
823355,33.09,-91.1
823403,33.65,-91.1
823409,33.69,-91.1
823429,33.61,-91.1
823431,31.29,-91.1
823438,31.81,-91.1
823491,31.41,-91.1
823493,33.05,-91.1
823500,31.17,-91.1
823533,31.77,-91.1
823539,32.49,-91.1
823591,33.37,-91.1
823602,33.29,-91.1
823635,31.89,-91.1
823663,31.97,-91.1
823677,33.33,-91.1
823683,31.05,-91.1
823686,33.49,-91.1
823696,33.73,-91.1
823713,31.49,-91.1
823721,31.73,-91.1
823740,31.37,-91.1
823750,31.45,-91.1
823774,33.77,-91.1
823775,31.01,-91.1
823794,33.57,-91.1
823815,33.13,-91.1
823868,31.13,-91.1
823913,33.53,-91.1
823920,31.53,-91.1
823923,33.45,-91.1
823938,33.41,-91.1
823944,32.85,-91.1
823953,33.21,-91.1
823965,32.81,-91.1
823974,31.09,-91.1
823999,32.53,-91.1
824003,32.57,-91.1
824007,32.61,-91.1
824022,31.61,-91.1
824035,31.69,-91.1
824047,32.77,-91.1
824048,31.93,-91.1
824049,31.25,-91.1
824103,31.65,-91.1
824117,32.97,-91.1
824161,33.01,-91.1
824177,32.65,-91.1
824191,33.25,-91.1
824215,31.21,-91.1
824229,32.85,-91.06
824240,33.73,-91.06
824246,31.33,-91.06
824285,32.09,-91.06
824290,31.29,-91.06
824296,32.01,-91.06
824303,31.49,-91.06
824319,32.77,-91.06
824322,33.29,-91.06
824323,31.09,-91.06
824328,33.05,-91.06
824331,32.81,-91.06
824337,32.69,-91.06
824341,33.33,-91.06
824343,31.01,-91.06
824351,31.21,-91.06
824357,31.77,-91.06
824378,33.57,-91.06
824383,31.41,-91.06
824413,31.13,-91.06
824420,33.41,-91.06
824463,33.45,-91.06
824489,33.17,-91.06
824497,33.97,-91.06
824506,33.13,-91.06
824508,32.53,-91.06
824533,32.05,-91.06
824548,32.49,-91.06
824567,31.61,-91.06
824572,32.65,-91.06
824578,31.73,-91.06
824597,33.77,-91.06
824622,33.85,-91.06
824625,31.45,-91.06
824636,31.37,-91.06
824643,31.17,-91.06
824665,32.89,-91.06
824705,33.25,-91.06
824707,31.25,-91.06
824709,33.69,-91.06
824711,31.69,-91.06
824737,33.49,-91.06
824745,33.09,-91.06
824749,33.61,-91.06
824776,32.93,-91.06
824778,31.57,-91.06
824779,33.65,-91.06
824781,31.89,-91.06
824784,31.93,-91.06
824814,31.53,-91.06
824833,33.21,-91.06
824838,32.61,-91.06
824839,32.57,-91.06
824840,31.05,-91.06
824851,32.73,-91.06
824934,32.45,-91.06
824936,32.13,-91.06
824938,33.53,-91.06
824942,31.65,-91.06
824981,33.37,-91.06
824988,31.81,-91.06
825012,33.89,-91.06
825066,31.85,-91.06
825067,33.01,-91.06
825088,32.97,-91.06
825104,31.97,-91.06
825144,33.73,-91.02
825145,33.17,-91.02
825173,31.89,-91.02
825197,33.13,-91.02
825227,33.53,-91.02
825232,32.05,-91.02
825237,33.25,-91.02
825268,31.41,-91.02
825275,31.97,-91.02
825279,33.05,-91.02
825282,32.01,-91.02
825283,31.37,-91.02
825323,31.77,-91.02
825324,32.45,-91.02
825335,33.33,-91.02
825336,33.57,-91.02
825343,32.09,-91.02
825363,32.77,-91.02
825407,33.21,-91.02
825434,32.61,-91.02
825465,31.69,-91.02
825468,31.61,-91.02
825474,32.65,-91.02
825475,32.93,-91.02
825499,32.97,-91.02
825505,32.49,-91.02
825523,32.57,-91.02
825531,33.49,-91.02
825552,31.53,-91.02
825561,33.29,-91.02
825563,31.17,-91.02
825567,33.93,-91.02
825572,33.37,-91.02
825603,32.89,-91.02
825606,33.85,-91.02
825607,33.81,-91.02
825610,31.05,-91.02
825629,33.45,-91.02
825630,31.65,-91.02
825637,31.45,-91.02
825651,32.69,-91.02
825657,32.73,-91.02
825684,31.57,-91.02
825689,33.09,-91.02
825693,32.85,-91.02
825699,31.25,-91.02
825709,33.61,-91.02
825718,32.13,-91.02
825726,31.29,-91.02
825732,31.93,-91.02
825759,31.49,-91.02
825762,33.77,-91.02
825785,32.81,-91.02
825798,31.73,-91.02
825814,31.13,-91.02
825864,32.53,-91.02
825866,31.01,-91.02
825886,33.01,-91.02
825903,33.89,-91.02
825907,31.81,-91.02
825912,31.85,-91.02
825934,31.21,-91.02
825960,33.41,-91.02
825966,31.33,-91.02
825967,33.65,-91.02
825986,33.97,-91.02
825987,31.09,-91.02
825989,33.69,-91.02
826016,31.29,-90.98
826019,33.33,-90.98
826039,33.61,-90.98
826060,31.57,-90.98
826061,31.37,-90.98
826088,33.89,-90.98
826095,31.69,-90.98
826099,32.17,-90.98
826109,32.45,-90.98
826112,31.81,-90.98
826128,31.09,-90.98
826140,31.21,-90.98
826143,33.69,-90.98
826144,32.93,-90.98
826145,32.81,-90.98
826155,33.65,-90.98
826178,33.37,-90.98
826190,33.25,-90.98
826196,31.89,-90.98
826257,33.01,-90.98
826263,31.65,-90.98
826276,33.21,-90.98
826283,33.73,-90.98
826302,32.97,-90.98
826303,32.13,-90.98
826316,31.93,-90.98
826321,33.49,-90.98
826339,31.97,-90.98
826354,32.73,-90.98
826355,32.21,-90.98
826358,31.05,-90.98
826374,33.09,-90.98
826415,33.85,-90.98
826442,31.33,-90.98
826469,33.45,-90.98
826475,33.77,-90.98
826480,32.61,-90.98
826494,33.93,-90.98
826497,32.57,-90.98
826502,32.53,-90.98
826503,33.17,-90.98
826508,32.49,-90.98
826513,31.61,-90.98
826522,32.89,-90.98
826554,33.53,-90.98
826562,32.05,-90.98
826571,33.13,-90.98
826589,31.45,-90.98
826590,31.17,-90.98
826607,33.97,-90.98
826608,34.01,-90.98
826651,33.41,-90.98
826657,31.13,-90.98
826691,32.77,-90.98
826692,33.29,-90.98
826705,31.25,-90.98
826707,32.37,-90.98
826720,32.09,-90.98
826723,31.53,-90.98
826735,32.01,-90.98
826738,33.05,-90.98
826744,31.49,-90.98
826788,33.81,-90.98
826804,31.85,-90.98
826843,31.77,-90.98
826877,33.57,-90.98
826880,31.41,-90.98
826883,31.73,-90.98
826885,32.85,-90.98
826887,32.41,-90.98
826888,32.69,-90.98
826891,32.65,-90.98
826896,31.01,-90.98
826921,33.49,-90.94
826930,33.53,-90.94
826936,32.57,-90.94
826937,32.61,-90.94
826948,33.73,-90.94
826976,31.17,-90.94
826984,31.45,-90.94
827001,32.93,-90.94
827022,32.97,-90.94
827024,32.69,-90.94
827054,33.93,-90.94
827055,31.29,-90.94
827057,32.81,-90.94
827058,32.37,-90.94
827060,32.17,-90.94
827074,31.25,-90.94
827087,33.29,-90.94
827088,31.57,-90.94
827089,31.85,-90.94
827095,32.41,-90.94
827115,32.89,-90.94
827125,33.45,-90.94
827127,31.33,-90.94
827135,32.73,-90.94
827136,31.05,-90.94
827150,32.25,-90.94
827191,31.93,-90.94
827193,32.13,-90.94
827222,33.01,-90.94
827226,31.21,-90.94
827232,33.77,-90.94
827260,31.69,-90.94
827277,33.65,-90.94
827285,33.25,-90.94
827292,31.65,-90.94
827306,31.09,-90.94
827317,31.61,-90.94
827354,32.85,-90.94
827355,33.69,-90.94
827361,33.09,-90.94
827369,33.41,-90.94
827381,33.61,-90.94
827387,32.21,-90.94
827400,33.21,-90.94
827432,32.45,-90.94
827442,33.81,-90.94
827464,31.77,-90.94
827472,32.77,-90.94
827473,32.01,-90.94
827478,33.33,-90.94
827479,32.09,-90.94
827489,32.65,-90.94
827496,31.53,-90.94
827497,31.41,-90.94
827513,33.05,-90.94
827522,32.49,-90.94
827544,31.97,-90.94
827581,31.89,-90.94
827588,33.37,-90.94
827633,31.37,-90.94
827657,31.01,-90.94
827659,31.81,-90.94
827660,33.57,-90.94
827665,31.73,-90.94
827687,34.01,-90.94
827698,33.13,-90.94
827703,33.89,-90.94
827716,31.49,-90.94
827717,33.97,-90.94
827747,32.53,-90.94
827767,32.05,-90.94
827768,31.13,-90.94
827785,34.13,-90.94
827795,33.85,-90.94
827809,33.17,-90.94
827832,33.09,-90.9
827834,33.61,-90.9
827838,31.57,-90.9
