,latitude,longitude
726508,40.57,-95.74
727158,40.53,-95.7
727447,40.57,-95.7
727544,40.45,-95.66
727857,40.53,-95.66
727871,40.41,-95.66
727914,40.49,-95.66
728387,40.57,-95.66
728461,40.49,-95.62
728601,40.57,-95.62
728816,40.33,-95.62
728852,40.37,-95.62
728934,40.41,-95.62
728969,40.53,-95.62
729012,40.45,-95.62
729326,40.45,-95.58
729393,40.53,-95.58
729541,40.41,-95.58
729605,40.49,-95.58
729755,40.57,-95.58
729896,40.37,-95.58
730013,40.33,-95.58
730171,40.37,-95.54
730276,40.53,-95.54
730307,40.57,-95.54
730437,40.33,-95.54
730521,40.41,-95.54
730568,40.49,-95.54
730640,40.29,-95.54
730666,40.45,-95.54
731033,40.53,-95.5
731099,40.49,-95.5
731163,40.37,-95.5
731255,40.33,-95.5
731421,40.41,-95.5
731449,40.29,-95.5
731543,40.45,-95.5
731826,40.57,-95.5
731962,40.45,-95.46
731992,40.29,-95.46
732186,40.57,-95.46
732189,40.37,-95.46
732194,40.21,-95.46
732215,40.41,-95.46
732347,40.53,-95.46
732365,40.33,-95.46
732623,40.49,-95.46
732741,40.25,-95.46
732845,40.25,-95.42
732904,40.45,-95.42
733071,40.37,-95.42
733134,40.29,-95.42
733251,40.17,-95.42
733256,40.49,-95.42
733333,40.05,-95.42
733377,40.13,-95.42
733416,40.33,-95.42
733509,40.41,-95.42
733523,40.53,-95.42
733564,40.21,-95.42
733569,40.57,-95.42
733617,40.49,-95.38
733619,40.05,-95.38
733665,40.29,-95.38
733675,40.37,-95.38
733684,40.45,-95.38
733718,40.17,-95.38
733818,40.57,-95.38
733891,40.13,-95.38
733997,40.53,-95.38
734074,40.33,-95.38
734079,40.09,-95.38
734242,40.41,-95.38
734298,40.25,-95.38
734315,40.21,-95.38
734505,40.33,-95.34
734517,40.17,-95.34
734552,40.21,-95.34
734585,40.25,-95.34
734644,40.37,-95.34
734672,40.57,-95.34
734705,40.13,-95.34
734787,40.09,-95.34
734809,40.49,-95.34
734903,40.45,-95.34
734956,40.41,-95.34
734995,40.05,-95.34
735245,40.29,-95.34
735340,40.53,-95.34
735362,40.33,-95.3
735424,40.01,-95.3
735480,40.49,-95.3
735492,40.41,-95.3
735554,40.29,-95.3
735568,40.53,-95.3
735631,40.25,-95.3
735670,40.09,-95.3
735853,40.21,-95.3
735917,40.13,-95.3
735918,40.45,-95.3
736027,40.17,-95.3
736058,40.57,-95.3
736067,40.05,-95.3
736196,40.37,-95.3
736241,40.33,-95.26
736252,40.09,-95.26
736289,40.57,-95.26
736304,40.25,-95.26
736375,40.41,-95.26
736427,40.53,-95.26
736442,40.01,-95.26
736498,40.05,-95.26
736508,39.97,-95.26
736688,40.49,-95.26
736740,40.13,-95.26
736774,40.17,-95.26
736813,40.37,-95.26
736879,40.29,-95.26
736882,40.21,-95.26
737064,40.45,-95.26
737298,40.13,-95.22
737316,40.17,-95.22
737371,40.57,-95.22
737448,40.09,-95.22
737511,40.41,-95.22
737512,39.97,-95.22
737529,40.01,-95.22
737540,40.05,-95.22
737549,40.53,-95.22
737560,40.49,-95.22
737678,40.33,-95.22
737691,40.29,-95.22
737699,40.25,-95.22
737701,40.37,-95.22
737703,40.45,-95.22
737746,40.21,-95.22
737996,40.25,-95.18
738029,40.29,-95.18
738036,40.21,-95.18
738203,40.53,-95.18
738208,40.09,-95.18
738264,40.49,-95.18
738276,40.57,-95.18
738290,40.05,-95.18
738291,40.01,-95.18
738316,40.45,-95.18
738381,40.41,-95.18
738406,39.97,-95.18
738410,39.93,-95.18
738499,40.33,-95.18
738630,40.37,-95.18
738770,40.17,-95.18
738788,40.13,-95.18
738866,40.45,-95.14
738896,40.13,-95.14
738984,40.21,-95.14
739000,40.53,-95.14
739207,40.37,-95.14
739260,40.09,-95.14
739266,40.01,-95.14
739268,39.97,-95.14
739270,40.41,-95.14
739304,39.89,-95.14
739311,40.49,-95.14
739337,39.93,-95.14
739394,40.25,-95.14
739436,40.33,-95.14
739511,40.29,-95.14
739521,40.17,-95.14
739560,40.57,-95.14
739575,40.05,-95.14
739702,40.25,-95.1
739709,40.29,-95.1
739783,40.17,-95.1
739791,40.33,-95.1
739836,40.49,-95.1
739918,40.05,-95.1
739924,40.41,-95.1
739929,40.01,-95.1
739930,39.97,-95.1
739934,39.89,-95.1
739950,39.93,-95.1
739961,40.53,-95.1
740091,40.21,-95.1
740183,40.37,-95.1
740239,39.53,-95.1
740271,40.13,-95.1
740313,40.45,-95.1
740439,40.57,-95.1
740450,40.09,-95.1
740669,40.29,-95.06
740719,40.09,-95.06
740746,40.37,-95.06
740777,40.21,-95.06
740812,40.13,-95.06
740818,39.53,-95.06
740833,40.45,-95.06
740930,40.05,-95.06
740983,40.41,-95.06
740984,40.17,-95.06
741028,40.53,-95.06
741049,39.97,-95.06
741050,40.01,-95.06
741073,39.93,-95.06
741085,39.89,-95.06
741098,40.57,-95.06
741173,40.49,-95.06
741248,39.61,-95.06
741254,39.57,-95.06
741259,40.33,-95.06
741270,40.25,-95.06
741364,39.57,-95.02
741392,40.25,-95.02
741424,40.21,-95.02
741432,40.17,-95.02
741471,40.41,-95.02
741547,39.93,-95.02
741565,40.09,-95.02
741571,40.33,-95.02
741578,39.97,-95.02
741585,40.01,-95.02
741686,39.45,-95.02
741715,40.53,-95.02
741732,40.57,-95.02
741858,40.45,-95.02
741861,40.49,-95.02
741869,40.05,-95.02
741922,40.13,-95.02
741926,39.53,-95.02
742056,40.37,-95.02
742078,39.49,-95.02
742168,39.65,-95.02
742178,39.61,-95.02
742179,40.29,-95.02
742217,40.05,-94.98
742239,40.53,-94.98
742258,39.65,-94.98
742297,40.01,-94.98
742389,39.69,-94.98
742399,40.45,-94.98
742443,40.17,-94.98
742444,39.57,-94.98
742480,39.45,-94.98
742493,39.49,-94.98
742522,39.97,-94.98
742595,40.13,-94.98
742617,40.57,-94.98
742632,39.53,-94.98
742680,40.21,-94.98
742739,40.25,-94.98
742761,40.29,-94.98
742775,40.41,-94.98
742890,40.37,-94.98
742925,40.49,-94.98
742938,39.93,-94.98
742976,40.09,-94.98
743025,39.61,-94.98
743032,40.33,-94.98
743167,40.13,-94.94
743194,39.65,-94.94
743251,40.45,-94.94
743254,40.01,-94.94
743259,40.29,-94.94
743262,40.17,-94.94
743296,39.93,-94.94
743326,39.53,-94.94
743380,40.41,-94.94
743382,40.53,-94.94
743424,40.09,-94.94
743429,39.73,-94.94
743437,39.45,-94.94
743476,39.57,-94.94
743516,40.25,-94.94
743552,39.41,-94.94
743616,40.33,-94.94
743629,40.37,-94.94
743635,39.69,-94.94
743669,39.49,-94.94
743684,39.61,-94.94
743687,40.05,-94.94
743713,40.21,-94.94
743791,39.97,-94.94
743792,39.89,-94.94
743810,40.49,-94.94
743811,40.57,-94.94
743925,40.41,-94.9
743992,39.97,-94.9
744068,39.33,-94.9
744110,39.65,-94.9
744131,40.09,-94.9
744157,40.57,-94.9
744165,39.53,-94.9
744185,40.29,-94.9
744190,40.21,-94.9
744288,39.61,-94.9
744319,39.89,-94.9
744359,39.85,-94.9
744363,39.69,-94.9
744402,40.37,-94.9
744405,40.05,-94.9
744417,39.49,-94.9
744448,40.53,-94.9
744474,39.57,-94.9
744502,39.93,-94.9
744601,40.17,-94.9
744603,40.45,-94.9
744617,40.01,-94.9
744677,39.37,-94.9
744682,40.49,-94.9
744707,39.41,-94.9
744725,40.33,-94.9
744727,39.45,-94.9
744755,40.13,-94.9
744765,40.25,-94.9
744769,39.73,-94.86
744800,39.77,-94.86
744906,39.49,-94.86
744912,39.57,-94.86
744932,39.65,-94.86
744939,40.25,-94.86
744966,39.61,-94.86
744979,40.33,-94.86
744981,40.29,-94.86
744999,40.13,-94.86
745023,39.41,-94.86
745042,39.37,-94.86
745071,40.21,-94.86
745103,40.37,-94.86
745194,40.45,-94.86
