,latitude,longitude
202711,44.41,-112.86
203192,44.45,-112.94
203193,44.45,-112.9
203194,44.45,-112.86
203195,44.45,-112.82
203674,44.49,-112.98
203675,44.49,-112.94
203676,44.49,-112.9
203677,44.49,-112.86
203678,44.49,-112.82
203679,44.49,-112.78
203680,44.49,-112.74
203684,44.49,-112.58
203685,44.49,-112.54
203686,44.49,-112.5
203687,44.49,-112.46
203688,44.49,-112.42
203689,44.49,-112.38
204156,44.53,-112.98
204157,44.53,-112.94
204158,44.53,-112.9
204159,44.53,-112.86
204160,44.53,-112.82
204161,44.53,-112.78
204162,44.53,-112.74
204163,44.53,-112.7
204164,44.53,-112.66
204165,44.53,-112.62
204166,44.53,-112.58
204167,44.53,-112.54
204168,44.53,-112.5
204169,44.53,-112.46
204170,44.53,-112.42
204171,44.53,-112.38
204172,44.53,-112.34
204185,44.53,-111.82
204203,44.53,-111.1
204204,44.53,-111.06
204637,44.57,-113.02
204638,44.57,-112.98
204639,44.57,-112.94
204640,44.57,-112.9
204641,44.57,-112.86
204642,44.57,-112.82
204643,44.57,-112.78
204644,44.57,-112.74
204645,44.57,-112.7
204646,44.57,-112.66
204647,44.57,-112.62
204648,44.57,-112.58
204649,44.57,-112.54
204650,44.57,-112.5
204651,44.57,-112.46
204652,44.57,-112.42
204653,44.57,-112.38
204654,44.57,-112.34
204655,44.57,-112.3
204656,44.57,-112.26
204657,44.57,-112.22
204658,44.57,-112.18
204659,44.57,-112.14
204660,44.57,-112.1
204661,44.57,-112.06
204662,44.57,-112.02
204663,44.57,-111.98
204664,44.57,-111.94
204665,44.57,-111.9
204666,44.57,-111.86
204667,44.57,-111.82
204668,44.57,-111.78
204669,44.57,-111.74
204670,44.57,-111.7
204671,44.57,-111.66
204672,44.57,-111.62
204673,44.57,-111.58
204674,44.57,-111.54
204675,44.57,-111.5
204684,44.57,-111.14
204685,44.57,-111.1
204686,44.57,-111.06
205118,44.61,-113.06
205119,44.61,-113.02
205120,44.61,-112.98
205121,44.61,-112.94
205122,44.61,-112.9
205123,44.61,-112.86
205124,44.61,-112.82
205125,44.61,-112.78
205126,44.61,-112.74
205127,44.61,-112.7
205128,44.61,-112.66
205129,44.61,-112.62
205130,44.61,-112.58
205131,44.61,-112.54
205132,44.61,-112.5
205133,44.61,-112.46
205134,44.61,-112.42
205135,44.61,-112.38
205136,44.61,-112.34
205137,44.61,-112.3
205138,44.61,-112.26
205139,44.61,-112.22
205140,44.61,-112.18
205141,44.61,-112.14
205142,44.61,-112.1
205143,44.61,-112.06
205144,44.61,-112.02
205145,44.61,-111.98
205146,44.61,-111.94
205147,44.61,-111.9
205148,44.61,-111.86
205149,44.61,-111.82
205150,44.61,-111.78
205151,44.61,-111.74
205152,44.61,-111.7
205153,44.61,-111.66
205154,44.61,-111.62
205155,44.61,-111.58
205156,44.61,-111.54
205165,44.61,-111.18
205166,44.61,-111.14
205167,44.61,-111.1
205168,44.61,-111.06
205601,44.65,-113.02
205602,44.65,-112.98
205603,44.65,-112.94
205604,44.65,-112.9
205605,44.65,-112.86
205606,44.65,-112.82
205607,44.65,-112.78
205608,44.65,-112.74
205609,44.65,-112.7
205610,44.65,-112.66
205611,44.65,-112.62
205612,44.65,-112.58
205613,44.65,-112.54
205614,44.65,-112.5
205615,44.65,-112.46
205616,44.65,-112.42
205617,44.65,-112.38
205618,44.65,-112.34
205619,44.65,-112.3
205620,44.65,-112.26
205621,44.65,-112.22
205622,44.65,-112.18
205623,44.65,-112.14
205624,44.65,-112.1
205625,44.65,-112.06
205626,44.65,-112.02
205627,44.65,-111.98
205628,44.65,-111.94
205629,44.65,-111.9
205630,44.65,-111.86
205631,44.65,-111.82
205632,44.65,-111.78
205633,44.65,-111.74
205634,44.65,-111.7
205635,44.65,-111.66
205636,44.65,-111.62
205637,44.65,-111.58
205638,44.65,-111.54
