,latitude,longitude
508825,42.81,-104.02
508837,41.13,-104.02
508997,41.45,-104.02
509004,42.65,-104.02
509011,41.49,-104.02
509046,42.89,-104.02
509056,42.05,-104.02
509100,42.13,-104.02
509124,42.85,-104.02
509133,42.93,-104.02
509145,42.97,-104.02
509147,42.09,-104.02
509195,42.61,-104.02
509214,42.57,-104.02
509238,42.53,-104.02
509242,41.09,-104.02
509253,41.17,-104.02
509318,41.65,-104.02
509323,41.25,-104.02
509348,42.01,-104.02
509366,41.89,-104.02
509369,41.05,-104.02
509413,41.33,-104.02
509435,41.21,-104.02
509445,42.37,-104.02
509465,41.61,-104.02
509474,42.77,-104.02
509487,42.45,-104.02
509493,42.73,-104.02
509504,41.77,-104.02
509509,42.21,-104.02
509517,41.29,-104.02
509519,42.25,-104.02
509532,41.97,-104.02
509536,42.41,-104.02
509543,41.85,-104.02
509554,41.81,-104.02
509564,41.69,-104.02
509565,42.29,-104.02
509573,42.17,-104.02
509622,41.93,-104.02
509639,42.69,-104.02
509646,42.33,-104.02
509666,41.57,-104.02
509716,41.37,-104.02
509738,41.01,-104.02
509761,42.49,-104.02
509787,41.73,-104.02
509792,41.41,-104.02
509832,41.53,-104.02
509867,42.73,-103.98
509888,42.69,-103.98
509907,42.61,-103.98
509923,42.85,-103.98
510004,41.29,-103.98
510009,42.89,-103.98
510045,42.93,-103.98
510057,42.77,-103.98
510064,41.17,-103.98
510107,41.13,-103.98
510169,41.09,-103.98
510215,42.97,-103.98
510229,41.01,-103.98
510230,41.05,-103.98
510295,41.25,-103.98
510316,42.81,-103.98
510339,41.53,-103.98
510355,42.01,-103.98
510371,41.89,-103.98
510394,41.57,-103.98
510424,41.65,-103.98
510429,41.45,-103.98
510458,42.49,-103.98
510478,41.37,-103.98
510480,41.41,-103.98
510482,41.73,-103.98
510499,41.33,-103.98
510576,42.37,-103.98
510596,41.21,-103.98
510600,41.61,-103.98
510607,41.69,-103.98
510631,41.49,-103.98
510632,42.45,-103.98
510641,41.93,-103.98
510675,42.09,-103.98
510683,41.81,-103.98
510725,42.25,-103.98
510727,42.53,-103.98
510728,42.57,-103.98
510740,42.21,-103.98
510744,42.29,-103.98
510755,41.77,-103.98
510789,42.41,-103.98
510791,42.05,-103.98
510800,41.85,-103.98
510815,41.97,-103.98
510846,42.33,-103.98
510854,42.65,-103.98
510856,42.17,-103.98
510863,42.13,-103.98
510874,41.45,-103.94
510894,42.69,-103.94
510895,41.61,-103.94
510907,41.85,-103.94
510909,41.81,-103.94
510938,41.97,-103.94
510956,42.45,-103.94
510963,42.41,-103.94
510965,42.77,-103.94
510988,41.65,-103.94
510993,42.33,-103.94
511011,42.73,-103.94
511036,41.89,-103.94
511076,41.05,-103.94
511077,42.17,-103.94
511080,41.01,-103.94
511101,42.37,-103.94
511112,42.25,-103.94
511126,41.29,-103.94
511132,42.29,-103.94
511135,41.77,-103.94
511140,41.57,-103.94
511146,41.69,-103.94
511156,41.93,-103.94
511161,41.25,-103.94
511163,42.05,-103.94
511170,42.21,-103.94
511173,41.21,-103.94
511178,42.01,-103.94
511194,41.17,-103.94
511217,42.53,-103.94
511226,42.09,-103.94
511254,42.13,-103.94
511316,41.09,-103.94
511333,42.57,-103.94
511363,41.13,-103.94
511377,42.61,-103.94
511382,42.65,-103.94
511416,42.85,-103.94
511450,42.89,-103.94
511451,42.93,-103.94
511452,42.97,-103.94
511481,41.41,-103.94
511539,41.33,-103.94
511551,41.37,-103.94
511571,41.73,-103.94
511592,42.49,-103.94
511699,42.81,-103.94
511714,41.49,-103.94
511728,41.53,-103.94
511946,42.41,-103.9
511949,42.45,-103.9
511950,42.37,-103.9
511958,42.17,-103.9
511970,42.33,-103.9
511971,42.29,-103.9
511986,42.21,-103.9
511990,42.25,-103.9
512002,41.89,-103.9
512003,42.01,-103.9
512019,42.49,-103.9
512036,41.37,-103.9
512049,42.89,-103.9
512058,42.93,-103.9
512082,42.97,-103.9
512098,41.81,-103.9
512125,41.77,-103.9
512135,42.13,-103.9
512137,42.09,-103.9
512156,41.97,-103.9
512168,41.85,-103.9
512175,42.61,-103.9
512205,42.85,-103.9
512216,41.49,-103.9
512218,42.69,-103.9
512228,42.53,-103.9
512236,42.57,-103.9
512238,41.53,-103.9
512244,42.65,-103.9
512312,41.57,-103.9
512315,41.73,-103.9
512334,42.77,-103.9
512348,42.81,-103.9
512408,41.17,-103.9
512418,41.69,-103.9
512437,41.45,-103.9
512438,42.73,-103.9
512472,41.61,-103.9
512475,41.25,-103.9
512503,41.65,-103.9
512513,41.33,-103.9
512514,41.41,-103.9
512516,41.21,-103.9
512553,41.29,-103.9
512559,41.05,-103.9
512568,41.01,-103.9
512678,42.05,-103.9
512690,41.13,-103.9
512726,41.09,-103.9
512927,41.93,-103.9
512983,41.61,-103.86
512994,41.65,-103.86
513003,41.57,-103.86
513013,41.49,-103.86
513091,42.61,-103.86
513121,42.85,-103.86
513122,41.01,-103.86
513125,41.05,-103.86
513131,42.65,-103.86
513147,41.29,-103.86
513148,41.73,-103.86
513155,41.09,-103.86
513172,42.57,-103.86
513180,41.53,-103.86
513198,42.53,-103.86
513214,41.85,-103.86
513215,41.97,-103.86
513227,41.81,-103.86
513242,42.13,-103.86
513246,42.09,-103.86
513305,41.77,-103.86
513348,41.41,-103.86
513362,41.93,-103.86
513371,42.49,-103.86
513376,41.33,-103.86
513393,41.37,-103.86
513434,41.69,-103.86
513497,41.13,-103.86
513506,42.81,-103.86
513520,41.25,-103.86
513534,41.89,-103.86
513548,42.33,-103.86
513552,42.29,-103.86
513554,42.45,-103.86
513579,42.17,-103.86
513580,42.37,-103.86
513582,41.21,-103.86
513621,42.01,-103.86
513622,42.41,-103.86
513629,42.25,-103.86
513633,42.21,-103.86
513635,42.05,-103.86
513640,42.97,-103.86
513674,42.89,-103.86
513690,42.77,-103.86
513706,41.17,-103.86
513746,42.69,-103.86
513780,41.45,-103.86
513860,42.73,-103.86
513944,42.93,-103.86
514002,41.37,-103.82
514005,42.13,-103.82
514017,42.89,-103.82
514033,42.25,-103.82
514035,42.21,-103.82
514050,42.97,-103.82
514072,42.93,-103.82
514102,42.01,-103.82
514136,41.89,-103.82
514203,41.85,-103.82
514207,41.97,-103.82
514215,41.81,-103.82
514220,41.33,-103.82
514221,41.41,-103.82
514222,42.09,-103.82
514287,41.77,-103.82
514312,41.09,-103.82
514324,41.01,-103.82
514326,41.29,-103.82
514363,42.05,-103.82
514401,41.13,-103.82
514463,42.49,-103.82
514466,42.37,-103.82
514578,42.41,-103.82
514582,41.93,-103.82
514629,42.17,-103.82
514678,41.21,-103.82
514704,42.45,-103.82
514710,42.33,-103.82
514720,42.29,-103.82
514737,42.81,-103.82
514782,42.57,-103.82
514795,41.53,-103.82
514800,41.17,-103.82
514824,42.53,-103.82
514839,41.73,-103.82
514848,42.73,-103.82
514853,41.57,-103.82
514875,42.77,-103.82
514880,41.25,-103.82
514901,42.65,-103.82
514931,41.49,-103.82
514937,41.65,-103.82
514938,42.85,-103.82
514953,42.61,-103.82
514961,41.69,-103.82
514985,41.45,-103.82
514995,41.05,-103.82
515015,42.69,-103.82
515018,41.61,-103.82
515043,41.53,-103.78
515051,41.93,-103.78
515098,41.61,-103.78
515124,42.97,-103.78
515140,42.49,-103.78
515147,42.93,-103.78
515174,42.89,-103.78
515179,41.13,-103.78
515193,42.73,-103.78
515221,41.45,-103.78
515229,42.25,-103.78
515233,41.01,-103.78
515253,42.45,-103.78
515261,42.57,-103.78
515304,41.49,-103.78
515325,42.61,-103.78
515335,41.21,-103.78
515362,42.17,-103.78
515364,42.65,-103.78
515378,42.29,-103.78
515392,42.33,-103.78
515454,42.41,-103.78
515461,42.85,-103.78
515485,42.77,-103.78
515541,42.05,-103.78
515549,42.53,-103.78
515573,41.25,-103.78
515596,41.89,-103.78
515670,42.21,-103.78
515693,41.73,-103.78
515694,41.09,-103.78
515701,42.81,-103.78
515717,41.77,-103.78
515765,41.69,-103.78
515811,42.01,-103.78
515905,41.57,-103.78
515918,41.05,-103.78
515927,41.85,-103.78
515931,41.97,-103.78
515953,41.17,-103.78
515962,41.33,-103.78
515973,41.65,-103.78
515996,42.69,-103.78
515997,41.37,-103.78
516001,41.29,-103.78
516002,42.09,-103.78
516008,41.41,-103.78
516021,42.13,-103.78
516029,41.81,-103.78
516060,42.37,-103.78
516075,42.85,-103.74
516088,42.45,-103.74
516113,42.61,-103.74
516116,41.65,-103.74
516121,41.29,-103.74
516143,41.53,-103.74
516161,42.17,-103.74
516211,42.37,-103.74
516291,41.73,-103.74
516295,41.13,-103.74
516381,41.09,-103.74
516409,42.25,-103.74
516461,41.85,-103.74
516466,41.97,-103.74
516477,41.57,-103.74
516478,42.09,-103.74
516487,41.17,-103.74
516488,41.25,-103.74
516512,41.77,-103.74
516532,41.81,-103.74
516544,41.05,-103.74
516547,41.61,-103.74
516556,42.97,-103.74
516557,42.93,-103.74
516603,42.13,-103.74
516605,41.33,-103.74
516608,41.37,-103.74
516609,41.41,-103.74
516636,42.05,-103.74
516666,42.01,-103.74
516679,41.01,-103.74
516692,41.69,-103.74
516803,42.81,-103.74
516811,41.89,-103.74
516873,42.65,-103.74
516880,42.77,-103.74
516891,42.29,-103.74
516908,41.49,-103.74
516926,42.69,-103.74
516939,41.45,-103.74
516959,42.57,-103.74
516976,42.53,-103.74
516991,41.21,-103.74
517020,42.33,-103.74
517047,42.89,-103.74
517061,42.73,-103.74
517072,42.41,-103.74
517081,42.49,-103.74
517088,41.93,-103.74
517105,42.21,-103.74
517128,41.49,-103.7
517138,41.45,-103.7
517150,42.17,-103.7
517154,42.33,-103.7
517172,42.29,-103.7
517199,41.53,-103.7
517210,41.69,-103.7
517215,41.25,-103.7
517228,42.09,-103.7
517229,42.49,-103.7
517230,41.29,-103.7
517234,41.57,-103.7
517235,42.41,-103.7
517248,41.73,-103.7
517263,42.21,-103.7
517270,41.61,-103.7
517290,41.37,-103.7
517292,42.13,-103.7
517293,41.65,-103.7
517300,41.41,-103.7
517301,41.33,-103.7
517307,42.25,-103.7
517361,42.45,-103.7
517469,41.17,-103.7
517484,42.73,-103.7
517498,41.97,-103.7
517512,41.77,-103.7
517520,41.81,-103.7
517537,41.93,-103.7
517621,41.85,-103.7
517638,41.89,-103.7
517697,42.57,-103.7
517703,42.65,-103.7
517717,42.61,-103.7
517734,42.53,-103.7
517748,42.85,-103.7
517755,41.01,-103.7
517760,42.77,-103.7
517792,42.69,-103.7
517802,42.01,-103.7
517817,42.81,-103.7
517907,41.09,-103.7
517926,42.05,-103.7
517948,41.13,-103.7
518030,42.37,-103.7
518069,41.05,-103.7
518081,41.21,-103.7
518116,42.97,-103.7
518137,42.89,-103.7
518141,42.93,-103.7
518194,41.73,-103.66
518228,42.89,-103.66
518237,42.97,-103.66
518254,41.49,-103.66
518258,42.93,-103.66
518280,42.85,-103.66
518390,42.73,-103.66
518411,42.69,-103.66
518464,41.17,-103.66
518533,42.77,-103.66
518538,41.45,-103.66
518552,41.53,-103.66
518585,42.45,-103.66
518588,42.29,-103.66
518596,42.33,-103.66
518625,41.21,-103.66
518650,42.17,-103.66
518683,41.85,-103.66
518695,42.49,-103.66
518697,42.21,-103.66
518740,42.25,-103.66
518748,41.93,-103.66
518751,42.41,-103.66
518791,42.37,-103.66
518851,41.13,-103.66
