,latitude,longitude
93537,35.05,-114.66
93937,35.09,-114.74
93938,35.09,-114.7
93939,35.09,-114.66
93940,35.09,-114.62
94338,35.13,-114.78
94339,35.13,-114.74
94340,35.13,-114.7
94341,35.13,-114.66
94739,35.17,-114.82
94740,35.17,-114.78
94741,35.17,-114.74
94742,35.17,-114.7
94743,35.17,-114.66
94744,35.17,-114.62
94745,35.17,-114.58
95139,35.21,-114.9
95140,35.21,-114.86
95141,35.21,-114.82
95142,35.21,-114.78
95143,35.21,-114.74
95144,35.21,-114.7
95145,35.21,-114.66
95146,35.21,-114.62
95147,35.21,-114.58
95543,35.25,-114.94
95544,35.25,-114.9
95545,35.25,-114.86
95546,35.25,-114.82
95547,35.25,-114.78
95548,35.25,-114.74
95549,35.25,-114.7
95550,35.25,-114.66
95551,35.25,-114.62
95552,35.25,-114.58
95948,35.29,-114.98
95949,35.29,-114.94
95950,35.29,-114.9
95951,35.29,-114.86
95952,35.29,-114.82
95953,35.29,-114.78
95954,35.29,-114.74
95955,35.29,-114.7
95956,35.29,-114.66
95957,35.29,-114.62
96354,35.33,-115.02
96355,35.33,-114.98
96356,35.33,-114.94
96357,35.33,-114.9
96358,35.33,-114.86
96359,35.33,-114.82
96360,35.33,-114.78
96361,35.33,-114.74
96362,35.33,-114.7
96363,35.33,-114.66
96364,35.33,-114.62
96760,35.37,-115.1
96761,35.37,-115.06
96762,35.37,-115.02
96763,35.37,-114.98
96764,35.37,-114.94
96765,35.37,-114.9
96766,35.37,-114.86
96767,35.37,-114.82
96768,35.37,-114.78
96769,35.37,-114.74
96770,35.37,-114.7
96771,35.37,-114.66
96772,35.37,-114.62
97168,35.41,-115.14
97169,35.41,-115.1
97170,35.41,-115.06
97171,35.41,-115.02
97172,35.41,-114.98
97173,35.41,-114.94
97174,35.41,-114.9
97175,35.41,-114.86
97176,35.41,-114.82
97177,35.41,-114.78
97178,35.41,-114.74
97179,35.41,-114.7
97180,35.41,-114.66
97578,35.45,-115.18
97579,35.45,-115.14
97580,35.45,-115.1
97581,35.45,-115.06
97582,35.45,-115.02
97583,35.45,-114.98
97584,35.45,-114.94
97585,35.45,-114.9
97586,35.45,-114.86
97587,35.45,-114.82
97588,35.45,-114.78
97589,35.45,-114.74
97590,35.45,-114.7
97591,35.45,-114.66
97988,35.49,-115.26
97989,35.49,-115.22
97990,35.49,-115.18
97991,35.49,-115.14
97992,35.49,-115.1
97993,35.49,-115.06
97994,35.49,-115.02
97995,35.49,-114.98
97996,35.49,-114.94
97997,35.49,-114.9
97998,35.49,-114.86
97999,35.49,-114.82
98000,35.49,-114.78
98001,35.49,-114.74
98002,35.49,-114.7
98003,35.49,-114.66
98400,35.53,-115.3
98401,35.53,-115.26
98402,35.53,-115.22
98403,35.53,-115.18
98404,35.53,-115.14
98405,35.53,-115.1
98406,35.53,-115.06
98407,35.53,-115.02
98408,35.53,-114.98
98409,35.53,-114.94
98410,35.53,-114.9
98411,35.53,-114.86
98412,35.53,-114.82
98413,35.53,-114.78
98414,35.53,-114.74
98415,35.53,-114.7
98812,35.57,-115.34
98813,35.57,-115.3
98814,35.57,-115.26
98815,35.57,-115.22
98816,35.57,-115.18
98817,35.57,-115.14
98818,35.57,-115.1
98819,35.57,-115.06
98820,35.57,-115.02
98821,35.57,-114.98
98822,35.57,-114.94
98823,35.57,-114.9
98824,35.57,-114.86
98825,35.57,-114.82
98826,35.57,-114.78
98827,35.57,-114.74
98828,35.57,-114.7
98829,35.57,-114.66
99225,35.61,-115.38
99226,35.61,-115.34
99227,35.61,-115.3
99228,35.61,-115.26
99229,35.61,-115.22
99230,35.61,-115.18
99231,35.61,-115.14
99232,35.61,-115.1
99233,35.61,-115.06
99234,35.61,-115.02
99235,35.61,-114.98
99236,35.61,-114.94
