,latitude,longitude
1291174,42.85,-72.54
1291286,42.89,-72.54
1293079,42.81,-72.5
1293093,42.85,-72.5
1293193,42.93,-72.5
1293202,42.89,-72.5
1293212,42.97,-72.5
1293512,42.89,-72.46
1293517,42.93,-72.46
1293548,42.97,-72.46
1293602,43.05,-72.46
1293649,43.01,-72.46
1293666,42.77,-72.46
1293824,42.73,-72.46
1294131,42.85,-72.46
1294132,42.81,-72.46
1295233,42.89,-72.42
1295240,43.01,-72.42
1295243,43.13,-72.42
1295249,43.25,-72.42
1295370,42.93,-72.42
1295375,43.05,-72.42
1295376,43.09,-72.42
1295394,43.21,-72.42
1295395,42.97,-72.42
1295585,42.73,-72.42
1295923,42.77,-72.42
1295947,43.17,-72.42
1296046,42.81,-72.42
1296050,42.85,-72.42
1296090,43.09,-72.38
1296104,42.97,-72.38
1296122,43.53,-72.38
1296128,43.21,-72.38
1296145,43.05,-72.38
1296155,43.25,-72.38
1296161,43.13,-72.38
1296204,43.49,-72.38
1296211,42.89,-72.38
1296232,42.93,-72.38
1296263,43.33,-72.38
1296376,42.81,-72.38
1296377,42.85,-72.38
1296564,43.41,-72.38
1296579,43.45,-72.38
1296660,42.73,-72.38
1296824,43.37,-72.38
1296983,43.17,-72.38
1297230,42.77,-72.38
1297329,43.29,-72.38
1297334,43.01,-72.38
1297570,43.53,-72.34
1297623,43.45,-72.34
1297626,43.33,-72.34
1297664,42.77,-72.34
1297702,43.57,-72.34
1297769,42.85,-72.34
1297772,42.81,-72.34
1297819,43.49,-72.34
1297838,43.37,-72.34
1298118,43.17,-72.34
1298328,43.41,-72.34
1298436,43.01,-72.34
1298446,43.21,-72.34
1298466,42.97,-72.34
1298517,43.29,-72.34
1298527,43.09,-72.34
1298537,42.89,-72.34
1298567,42.73,-72.34
1298599,43.25,-72.34
1298607,43.13,-72.34
1298630,42.93,-72.34
1298640,43.05,-72.34
1298663,42.93,-72.3
1298764,42.89,-72.3
1298901,43.37,-72.3
1298984,43.49,-72.3
1299165,43.05,-72.3
1299236,43.25,-72.3
1299237,43.13,-72.3
1299311,43.21,-72.3
1299323,42.97,-72.3
1299451,43.41,-72.3
1299473,43.09,-72.3
1299489,42.73,-72.3
1299553,43.61,-72.3
1299571,43.17,-72.3
1299588,42.81,-72.3
1299624,43.01,-72.3
1299637,43.53,-72.3
1299648,43.33,-72.3
1299668,43.65,-72.3
1299719,43.57,-72.3
1299746,43.45,-72.3
1299776,43.69,-72.3
1299866,42.77,-72.3
1299873,43.29,-72.3
1299925,42.85,-72.3
1299985,43.25,-72.26
1299989,43.09,-72.26
1300073,43.69,-72.26
1300103,43.65,-72.26
1300115,43.01,-72.26
1300119,43.17,-72.26
1300136,43.29,-72.26
1300144,43.61,-72.26
1300242,43.49,-72.26
1300426,43.37,-72.26
1300459,43.33,-72.26
1300500,43.41,-72.26
1300542,43.21,-72.26
1300547,43.57,-72.26
1300573,42.97,-72.26
1300577,43.53,-72.26
1300604,43.73,-72.26
1300608,42.89,-72.26
1300668,42.93,-72.26
1300748,42.73,-72.26
1300901,42.77,-72.26
1300969,43.45,-72.26
1300985,42.81,-72.26
1300988,42.85,-72.26
1301030,43.13,-72.26
1301038,43.05,-72.26
1301355,42.73,-72.22
1301418,43.49,-72.22
1301437,43.73,-72.22
1301452,43.37,-72.22
1301471,43.57,-72.22
1301472,43.01,-72.22
1301473,43.69,-72.22
1301486,43.33,-72.22
1301538,43.77,-72.22
1301590,43.25,-72.22
1301635,42.81,-72.22
1301637,42.85,-72.22
1301675,43.65,-72.22
1301774,43.61,-72.22
1301870,43.09,-72.22
1301887,42.77,-72.22
1301888,42.97,-72.22
1301946,43.41,-72.22
1301953,43.21,-72.22
1301965,43.45,-72.22
1302149,43.05,-72.22
1302169,43.13,-72.22
1302200,42.89,-72.22
1302286,43.53,-72.22
1302320,43.17,-72.22
1302480,43.29,-72.22
1302501,42.93,-72.22
1302593,43.17,-72.18
1302615,43.73,-72.18
1302616,43.77,-72.18
1302665,43.81,-72.18
1302755,43.65,-72.18
1302798,43.25,-72.18
1302877,43.85,-72.18
1302917,43.05,-72.18
1302921,43.13,-72.18
1303009,43.53,-72.18
1303054,42.97,-72.18
1303059,43.21,-72.18
1303114,43.09,-72.18
1303236,42.81,-72.18
1303239,42.85,-72.18
1303354,43.41,-72.18
1303356,43.45,-72.18
1303463,43.37,-72.18
1303475,43.33,-72.18
1303503,43.29,-72.18
1303565,42.77,-72.18
1303582,43.61,-72.18
1303587,43.57,-72.18
1303611,43.01,-72.18
1303615,43.69,-72.18
1303658,43.49,-72.18
1303672,42.93,-72.18
1303700,42.89,-72.18
1303740,42.73,-72.18
1303985,43.85,-72.14
1304063,43.17,-72.14
1304084,42.77,-72.14
1304096,43.81,-72.14
1304131,42.85,-72.14
1304138,42.81,-72.14
1304206,43.89,-72.14
1304290,43.77,-72.14
1304349,43.21,-72.14
1304351,43.09,-72.14
1304356,43.05,-72.14
1304427,43.41,-72.14
1304526,43.45,-72.14
1304529,43.25,-72.14
1304531,43.73,-72.14
1304557,43.33,-72.14
1304560,43.37,-72.14
1304567,43.57,-72.14
1304602,43.29,-72.14
1304615,43.61,-72.14
1304617,43.69,-72.14
1304628,43.65,-72.14
1304632,43.13,-72.14
1304650,42.89,-72.14
1304691,42.93,-72.14
1304730,42.97,-72.14
1304738,43.53,-72.14
1304739,43.49,-72.14
1304749,43.01,-72.14
1305006,42.73,-72.14
1305112,43.93,-72.1
1305121,43.53,-72.1
1305130,43.49,-72.1
1305134,43.97,-72.1
1305141,43.65,-72.1
1305144,43.69,-72.1
1305154,44.01,-72.1
1305175,43.57,-72.1
1305209,43.61,-72.1
1305210,42.77,-72.1
1305213,43.77,-72.1
1305215,43.73,-72.1
1305217,43.81,-72.1
1305225,43.17,-72.1
1305248,43.85,-72.1
1305283,43.89,-72.1
1305284,42.81,-72.1
1305314,42.85,-72.1
1305320,43.41,-72.1
1305419,42.73,-72.1
1305596,43.25,-72.1
1305759,43.21,-72.1
1305763,43.09,-72.1
1305770,43.13,-72.1
1305791,42.93,-72.1
1305798,42.97,-72.1
1305833,42.89,-72.1
1305838,43.05,-72.1
1305891,43.45,-72.1
1305910,43.29,-72.1
1305937,43.01,-72.1
