,latitude,longitude
1194687,39.61,-75.54
1195529,39.49,-75.5
1195554,39.45,-75.5
1195815,39.61,-75.5
1196130,39.65,-75.5
1196207,39.57,-75.5
1196694,39.53,-75.5
1197085,39.53,-75.46
1197098,39.61,-75.46
1197286,39.49,-75.46
1197609,39.57,-75.46
1197675,39.65,-75.46
1197681,39.73,-75.46
1197749,39.69,-75.46
1197940,39.45,-75.46
1198358,39.57,-75.42
1198752,39.69,-75.42
1198810,39.77,-75.42
1198855,39.65,-75.42
1198864,39.73,-75.42
1198946,39.61,-75.42
1198988,39.41,-75.42
1198994,39.45,-75.42
1199014,39.49,-75.42
1199104,39.53,-75.42
1199443,39.53,-75.38
1199528,39.49,-75.38
1199569,39.41,-75.38
1199605,39.45,-75.38
1199716,39.77,-75.38
1200033,39.69,-75.38
1200077,39.57,-75.38
1200078,39.73,-75.38
1200080,39.81,-75.38
1200135,39.37,-75.38
1200504,39.65,-75.38
1200507,39.61,-75.38
1200772,39.37,-75.34
1200786,39.41,-75.34
1201007,39.73,-75.34
1201008,39.69,-75.34
1201030,39.65,-75.34
1201235,39.81,-75.34
1201301,39.45,-75.34
1201302,39.49,-75.34
1201303,39.53,-75.34
1201365,39.57,-75.34
1201367,39.61,-75.34
1201442,39.77,-75.34
1202730,39.77,-75.3
1202801,39.37,-75.3
1202802,39.33,-75.3
1203138,39.81,-75.3
1203225,39.61,-75.3
1203229,39.57,-75.3
1203231,39.69,-75.3
1203234,39.73,-75.3
1203235,39.65,-75.3
1203270,39.41,-75.3
1203271,39.45,-75.3
1203274,39.49,-75.3
1203277,39.53,-75.3
1203580,39.65,-75.26
1204393,39.37,-75.26
1204450,39.53,-75.26
1204484,39.57,-75.26
1204486,39.61,-75.26
1204492,39.77,-75.26
1204502,39.73,-75.26
1204503,39.69,-75.26
1204506,39.49,-75.26
1204507,39.45,-75.26
1204509,39.41,-75.26
1204521,39.81,-75.26
1204702,39.33,-75.26
1205453,39.45,-75.22
1205503,39.33,-75.22
1205504,39.37,-75.22
1205629,39.73,-75.22
1205689,39.69,-75.22
1205727,39.65,-75.22
1205734,39.57,-75.22
1205742,39.41,-75.22
1205805,39.61,-75.22
1205808,39.77,-75.22
1205822,39.85,-75.22
1205965,39.53,-75.22
1205966,39.49,-75.22
1206008,39.29,-75.22
1206040,39.81,-75.22
1206435,39.61,-75.18
