,latitude,longitude
61391,31.33,-109.02
61392,31.33,-108.98
61393,31.33,-108.94
61394,31.33,-108.9
61395,31.33,-108.86
61396,31.33,-108.82
61397,31.33,-108.78
61398,31.33,-108.74
61399,31.33,-108.7
61400,31.33,-108.66
61401,31.33,-108.62
61402,31.33,-108.58
61403,31.33,-108.54
61404,31.33,-108.5
61405,31.33,-108.46
61406,31.33,-108.42
61407,31.33,-108.38
61408,31.33,-108.34
61409,31.33,-108.3
61410,31.33,-108.26
61411,31.33,-108.22
61685,31.37,-109.02
61686,31.37,-108.98
61687,31.37,-108.94
61688,31.37,-108.9
61689,31.37,-108.86
61690,31.37,-108.82
61691,31.37,-108.78
61692,31.37,-108.74
61693,31.37,-108.7
61694,31.37,-108.66
61695,31.37,-108.62
61696,31.37,-108.58
61697,31.37,-108.54
61698,31.37,-108.5
61699,31.37,-108.46
61700,31.37,-108.42
61701,31.37,-108.38
61702,31.37,-108.34
61703,31.37,-108.3
61704,31.37,-108.26
61705,31.37,-108.22
61981,31.41,-109.02
61982,31.41,-108.98
61983,31.41,-108.94
61984,31.41,-108.9
61985,31.41,-108.86
61986,31.41,-108.82
61987,31.41,-108.78
61988,31.41,-108.74
61989,31.41,-108.7
61990,31.41,-108.66
61991,31.41,-108.62
61992,31.41,-108.58
61993,31.41,-108.54
61994,31.41,-108.5
61995,31.41,-108.46
61996,31.41,-108.42
61997,31.41,-108.38
61998,31.41,-108.34
61999,31.41,-108.3
62000,31.41,-108.26
62001,31.41,-108.22
62278,31.45,-109.02
62279,31.45,-108.98
62280,31.45,-108.94
62281,31.45,-108.9
62282,31.45,-108.86
62283,31.45,-108.82
62284,31.45,-108.78
62285,31.45,-108.74
62286,31.45,-108.7
62287,31.45,-108.66
62288,31.45,-108.62
62289,31.45,-108.58
62290,31.45,-108.54
62291,31.45,-108.5
62292,31.45,-108.46
62293,31.45,-108.42
62294,31.45,-108.38
62295,31.45,-108.34
62296,31.45,-108.3
62297,31.45,-108.26
62298,31.45,-108.22
62575,31.49,-109.02
62576,31.49,-108.98
62577,31.49,-108.94
62578,31.49,-108.9
62579,31.49,-108.86
62580,31.49,-108.82
62581,31.49,-108.78
62582,31.49,-108.74
62583,31.49,-108.7
62584,31.49,-108.66
62585,31.49,-108.62
62586,31.49,-108.58
62587,31.49,-108.54
62588,31.49,-108.5
62589,31.49,-108.46
62590,31.49,-108.42
62591,31.49,-108.38
62592,31.49,-108.34
62593,31.49,-108.3
62594,31.49,-108.26
62595,31.49,-108.22
62873,31.53,-109.02
62874,31.53,-108.98
62875,31.53,-108.94
62876,31.53,-108.9
62877,31.53,-108.86
62878,31.53,-108.82
62879,31.53,-108.78
62880,31.53,-108.74
62881,31.53,-108.7
62882,31.53,-108.66
62883,31.53,-108.62
62884,31.53,-108.58
62885,31.53,-108.54
62886,31.53,-108.5
62887,31.53,-108.46
62888,31.53,-108.42
62889,31.53,-108.38
62890,31.53,-108.34
62891,31.53,-108.3
62892,31.53,-108.26
62893,31.53,-108.22
63171,31.57,-109.02
63172,31.57,-108.98
63173,31.57,-108.94
63174,31.57,-108.9
63175,31.57,-108.86
63176,31.57,-108.82
63177,31.57,-108.78
63178,31.57,-108.74
63179,31.57,-108.7
63180,31.57,-108.66
63181,31.57,-108.62
63182,31.57,-108.58
63183,31.57,-108.54
63184,31.57,-108.5
63185,31.57,-108.46
63186,31.57,-108.42
63187,31.57,-108.38
63188,31.57,-108.34
63189,31.57,-108.3
63190,31.57,-108.26
63191,31.57,-108.22
63469,31.61,-109.02
63470,31.61,-108.98
63471,31.61,-108.94
63472,31.61,-108.9
63473,31.61,-108.86
63474,31.61,-108.82
63475,31.61,-108.78
63476,31.61,-108.74
63477,31.61,-108.7
63478,31.61,-108.66
63479,31.61,-108.62
63480,31.61,-108.58
63481,31.61,-108.54
63482,31.61,-108.5
63483,31.61,-108.46
63484,31.61,-108.42
63485,31.61,-108.38
63486,31.61,-108.34
63487,31.61,-108.3
63488,31.61,-108.26
63489,31.61,-108.22
63767,31.65,-109.02
63768,31.65,-108.98
63769,31.65,-108.94
63770,31.65,-108.9
63771,31.65,-108.86
63772,31.65,-108.82
63773,31.65,-108.78
63774,31.65,-108.74
63775,31.65,-108.7
63776,31.65,-108.66
63777,31.65,-108.62
63778,31.65,-108.58
63779,31.65,-108.54
63780,31.65,-108.5
63781,31.65,-108.46
63782,31.65,-108.42
63783,31.65,-108.38
63784,31.65,-108.34
63785,31.65,-108.3
63786,31.65,-108.26
63787,31.65,-108.22
64065,31.69,-109.02
64066,31.69,-108.98
64067,31.69,-108.94
64068,31.69,-108.9
64069,31.69,-108.86
64070,31.69,-108.82
64071,31.69,-108.78
64072,31.69,-108.74
64073,31.69,-108.7
64074,31.69,-108.66
64075,31.69,-108.62
64076,31.69,-108.58
64077,31.69,-108.54
64078,31.69,-108.5
64079,31.69,-108.46
64080,31.69,-108.42
64081,31.69,-108.38
64082,31.69,-108.34
64083,31.69,-108.3
64084,31.69,-108.26
64085,31.69,-108.22
64364,31.73,-109.02
64365,31.73,-108.98
64366,31.73,-108.94
64367,31.73,-108.9
64368,31.73,-108.86
64369,31.73,-108.82
64370,31.73,-108.78
64371,31.73,-108.74
64372,31.73,-108.7
64373,31.73,-108.66
64374,31.73,-108.62
64375,31.73,-108.58
64376,31.73,-108.54
64377,31.73,-108.5
64378,31.73,-108.46
64379,31.73,-108.42
64380,31.73,-108.38
64381,31.73,-108.34
64382,31.73,-108.3
64383,31.73,-108.26
64384,31.73,-108.22
64663,31.77,-109.02
64664,31.77,-108.98
64665,31.77,-108.94
64666,31.77,-108.9
64667,31.77,-108.86
64668,31.77,-108.82
64669,31.77,-108.78
64670,31.77,-108.74
64671,31.77,-108.7
64672,31.77,-108.66
64673,31.77,-108.62
64674,31.77,-108.58
64675,31.77,-108.54
64676,31.77,-108.5
64677,31.77,-108.46
64678,31.77,-108.42
64679,31.77,-108.38
64680,31.77,-108.34
64681,31.77,-108.3
64682,31.77,-108.26
64683,31.77,-108.22
64723,31.77,-106.62
64724,31.77,-106.58
64725,31.77,-106.54
64965,31.81,-109.02
64966,31.81,-108.98
64967,31.81,-108.94
64968,31.81,-108.9
64969,31.81,-108.86
64970,31.81,-108.82
64971,31.81,-108.78
64972,31.81,-108.74
64973,31.81,-108.7
64974,31.81,-108.66
64975,31.81,-108.62
64976,31.81,-108.58
64977,31.81,-108.54
