,latitude,longitude
1070375,42.21,-79.74
1070473,42.13,-79.74
1070488,42.17,-79.74
1070650,42.09,-79.74
1070775,42.25,-79.74
1070782,42.49,-79.74
1070884,42.33,-79.74
1070898,42.41,-79.74
1070913,42.37,-79.74
1070967,42.45,-79.74
1071070,42.53,-79.74
1071081,42.01,-79.74
1071134,42.05,-79.74
1071216,42.29,-79.74
1071291,42.53,-79.7
1071445,42.09,-79.7
1071522,42.21,-79.7
1071527,42.13,-79.7
1071535,42.17,-79.7
1071579,42.05,-79.7
1071592,42.01,-79.7
1071658,42.41,-79.7
1071666,42.37,-79.7
1071674,42.45,-79.7
1071693,42.29,-79.7
1071703,42.33,-79.7
1071746,42.25,-79.7
1071747,42.49,-79.7
1072237,42.21,-79.66
1072254,42.17,-79.66
1072266,42.13,-79.66
1072305,42.09,-79.66
1072802,42.49,-79.66
1072835,42.45,-79.66
1072863,42.25,-79.66
1072898,42.05,-79.66
1072914,42.01,-79.66
1073026,42.57,-79.66
1073045,42.53,-79.66
1073084,42.33,-79.66
1073085,42.41,-79.66
1073097,42.37,-79.66
1073126,42.29,-79.66
1073311,42.53,-79.62
1073425,42.45,-79.62
1073450,42.41,-79.62
1073496,42.25,-79.62
1073503,42.49,-79.62
1073516,42.37,-79.62
1073586,42.33,-79.62
1073589,42.29,-79.62
1073658,42.17,-79.62
1073701,42.57,-79.62
1073754,42.05,-79.62
1073777,42.09,-79.62
1073806,42.01,-79.62
1073811,42.13,-79.62
1073818,42.21,-79.62
1074249,42.57,-79.58
1074406,42.29,-79.58
1074427,42.41,-79.58
1074442,42.33,-79.58
1074460,42.37,-79.58
1074532,42.49,-79.58
1074588,42.17,-79.58
1074610,42.13,-79.58
1074622,42.05,-79.58
1074666,42.01,-79.58
1074693,42.09,-79.58
1074702,42.45,-79.58
1074720,42.25,-79.58
1074732,42.21,-79.58
1074786,42.53,-79.58
1075038,42.25,-79.54
1075047,42.13,-79.54
1075100,42.45,-79.54
1075224,42.49,-79.54
1075237,42.09,-79.54
1075255,42.21,-79.54
1075294,42.53,-79.54
1075513,42.41,-79.54
1075527,42.37,-79.54
1075594,42.29,-79.54
1075609,42.33,-79.54
1075717,42.01,-79.54
1075736,42.57,-79.54
1075881,42.05,-79.54
1075923,42.61,-79.54
1075931,42.17,-79.54
1075978,42.29,-79.5
1076080,42.33,-79.5
1076169,42.53,-79.5
1076177,42.57,-79.5
1076420,42.01,-79.5
1076478,42.09,-79.5
1076494,42.25,-79.5
1076541,42.49,-79.5
1076552,42.13,-79.5
1076600,42.17,-79.5
1076608,42.05,-79.5
1076650,42.21,-79.5
1076729,42.61,-79.5
1076736,42.37,-79.5
1076741,42.41,-79.5
1076845,42.45,-79.5
1076855,42.57,-79.46
1076898,42.05,-79.46
1076934,42.37,-79.46
1077054,42.45,-79.46
1077066,42.25,-79.46
1077114,42.33,-79.46
1077130,42.29,-79.46
1077136,42.61,-79.46
1077151,42.41,-79.46
1077159,42.53,-79.46
1077164,42.01,-79.46
1077240,42.21,-79.46
1077251,42.09,-79.46
1077414,42.17,-79.46
1077557,42.13,-79.46
1077680,42.49,-79.46
1077977,42.53,-79.42
1078030,42.65,-79.42
1078042,42.57,-79.42
1078117,42.61,-79.42
1078342,42.29,-79.42
1078346,42.25,-79.42
1078352,42.49,-79.42
1078358,42.33,-79.42
1078362,42.41,-79.42
1078381,42.45,-79.42
1078401,42.21,-79.42
1078428,42.37,-79.42
1078452,42.09,-79.42
1078610,42.01,-79.42
1078636,42.05,-79.42
1078643,42.17,-79.42
1078651,42.13,-79.42
1078943,42.01,-79.38
1079158,42.29,-79.38
1079190,42.33,-79.38
1079204,42.53,-79.38
1079211,42.13,-79.38
1079214,42.57,-79.38
1079225,42.49,-79.38
1079309,42.21,-79.38
1079360,42.09,-79.38
1079416,42.17,-79.38
1079450,42.05,-79.38
1079474,42.65,-79.38
1079494,42.45,-79.38
1079544,42.41,-79.38
1079548,42.37,-79.38
1079549,42.25,-79.38
1079557,42.61,-79.38
1079617,42.09,-79.34
1079625,42.41,-79.34
1079628,42.17,-79.34
1079633,42.49,-79.34
1079634,42.37,-79.34
1079638,42.57,-79.34
1079639,42.25,-79.34
1079642,42.33,-79.34
1079649,42.01,-79.34
1079659,42.05,-79.34
1079664,42.13,-79.34
1079670,42.21,-79.34
1079676,42.29,-79.34
1079715,42.45,-79.34
1079721,42.61,-79.34
1079726,42.65,-79.34
1080269,42.53,-79.34
1080911,42.37,-79.3
1080913,42.49,-79.3
1080914,42.33,-79.3
1080929,42.41,-79.3
1080931,42.45,-79.3
1080961,42.25,-79.3
1080974,42.29,-79.3
1081074,42.61,-79.3
1081078,42.65,-79.3
1081114,42.69,-79.3
1081116,42.53,-79.3
1081173,42.05,-79.3
1081185,42.01,-79.3
1081203,42.57,-79.3
1081237,42.21,-79.3
1081279,42.13,-79.3
1081317,42.17,-79.3
1081390,42.09,-79.3
1081737,42.09,-79.26
1081744,42.17,-79.26
1081750,42.21,-79.26
1081757,42.13,-79.26
1081912,42.57,-79.26
1081923,42.61,-79.26
1081962,42.69,-79.26
1081963,42.53,-79.26
1081982,42.65,-79.26
1082015,42.41,-79.26
1082031,42.29,-79.26
1082032,42.33,-79.26
1082033,42.25,-79.26
1082034,42.37,-79.26
1082035,42.49,-79.26
1082038,42.45,-79.26
1082042,42.05,-79.26
1082053,42.01,-79.26
1082358,42.01,-79.22
1082383,42.05,-79.22
1082538,42.17,-79.22
1082545,42.09,-79.22
1082558,42.21,-79.22
1082565,42.13,-79.22
1082636,42.25,-79.22
1082639,42.33,-79.22
1082641,42.29,-79.22
1082658,42.37,-79.22
1082671,42.45,-79.22
1082685,42.49,-79.22
1082686,42.41,-79.22
1082826,42.61,-79.22
1082847,42.53,-79.22
1082919,42.69,-79.22
1082983,42.57,-79.22
1083033,42.65,-79.22
1084054,42.57,-79.18
1084086,42.61,-79.18
1084104,42.65,-79.18
1084125,42.17,-79.18
1084128,42.01,-79.18
1084140,42.05,-79.18
1084143,42.73,-79.18
1084158,42.21,-79.18
1084163,42.13,-79.18
1084169,42.09,-79.18
1084177,42.41,-79.18
1084188,42.29,-79.18
1084190,42.53,-79.18
1084191,42.33,-79.18
1084192,42.25,-79.18
1084193,42.37,-79.18
1084214,42.45,-79.18
1084220,42.49,-79.18
1084233,42.69,-79.18
1084269,42.17,-79.14
1084272,42.13,-79.14
1084285,42.21,-79.14
1084443,42.69,-79.14
1084522,42.73,-79.14
1084546,42.65,-79.14
1084559,42.61,-79.14
1084568,42.57,-79.14
1084628,43.45,-79.14
1084692,42.41,-79.14
1084698,42.45,-79.14
1084706,42.33,-79.14
1084713,42.49,-79.14
1084721,42.25,-79.14
1084722,42.37,-79.14
1084733,42.29,-79.14
1084903,43.41,-79.14
1084906,42.01,-79.14
1084937,42.05,-79.14
1085002,42.09,-79.14
1085144,42.53,-79.14
1085219,42.01,-79.1
1085271,43.41,-79.1
1085284,42.17,-79.1
1085308,42.21,-79.1
1085330,42.13,-79.1
1085345,43.37,-79.1
1085405,43.45,-79.1
1085448,42.05,-79.1
1085526,42.09,-79.1
1085942,42.33,-79.1
1085954,42.25,-79.1
1085959,42.49,-79.1
1085963,42.41,-79.1
1085981,42.37,-79.1
1085986,42.69,-79.1
1086048,42.29,-79.1
1086053,42.45,-79.1
1086099,42.57,-79.1
1086101,42.65,-79.1
1086125,42.61,-79.1
1086156,42.73,-79.1
1086167,42.53,-79.1
1086219,42.05,-79.06
1086271,43.37,-79.06
1086313,42.33,-79.06
1086323,42.25,-79.06
1086330,43.45,-79.06
1086357,42.37,-79.06
1086364,42.49,-79.06
1086402,42.45,-79.06
1086412,42.29,-79.06
1086420,42.41,-79.06
1086633,42.01,-79.06
1086643,43.41,-79.06
1086651,42.09,-79.06
1086667,43.29,-79.06
1086742,43.33,-79.06
1086782,42.21,-79.06
1086792,42.57,-79.06
1086812,42.17,-79.06
1086824,43.49,-79.06
1086825,42.13,-79.06
1086966,42.65,-79.06
1086980,42.61,-79.06
1087057,43.09,-79.06
1087068,42.69,-79.06
1087147,42.73,-79.06
1087163,42.77,-79.06
1087171,42.53,-79.06
1087198,42.61,-79.02
1087213,42.73,-79.02
1087224,42.57,-79.02
1087226,43.13,-79.02
1087277,42.65,-79.02
1087312,43.45,-79.02
1087326,43.01,-79.02
1087385,42.53,-79.02
1087386,42.41,-79.02
1087390,42.45,-79.02
1087438,42.69,-79.02
1087439,42.49,-79.02
1087477,42.25,-79.02
1087483,42.33,-79.02
1087493,42.37,-79.02
1087499,42.29,-79.02
1087672,42.13,-79.02
