,latitude,longitude
971451,35.09,-84.3
971815,35.05,-84.3
971883,35.13,-84.3
972057,35.01,-84.3
972237,35.17,-84.3
972313,35.21,-84.26
972378,35.17,-84.26
972561,35.09,-84.26
972778,35.05,-84.26
972856,35.25,-84.26
972988,35.01,-84.26
973027,35.13,-84.26
973232,35.01,-84.22
973253,35.09,-84.22
973327,35.05,-84.22
973582,35.25,-84.22
973643,35.13,-84.22
973791,35.17,-84.22
973927,35.21,-84.22
974047,35.09,-84.18
974073,35.17,-84.18
974113,35.13,-84.18
974291,35.21,-84.18
974349,35.01,-84.18
974770,35.05,-84.18
974815,35.25,-84.14
975008,35.05,-84.14
975052,35.01,-84.14
975076,35.17,-84.14
975195,35.13,-84.14
975296,35.09,-84.14
975532,35.21,-84.14
975748,35.17,-84.1
975803,35.01,-84.1
975819,35.09,-84.1
975894,35.05,-84.1
976254,35.25,-84.1
976397,35.21,-84.1
976493,35.13,-84.1
976636,35.01,-84.06
976675,35.05,-84.06
976817,35.25,-84.06
976928,35.13,-84.06
977146,35.09,-84.06
977243,35.21,-84.06
977310,35.17,-84.06
977579,35.25,-84.02
977677,35.17,-84.02
977695,35.21,-84.02
977838,35.09,-84.02
977921,35.13,-84.02
978059,35.29,-84.02
978062,35.01,-84.02
978101,35.05,-84.02
978217,35.33,-84.02
978557,35.41,-83.98
978588,35.37,-83.98
978657,35.29,-83.98
978686,35.25,-83.98
978751,35.21,-83.98
978755,35.17,-83.98
978923,35.05,-83.98
978988,35.09,-83.98
979040,35.33,-83.98
979079,35.13,-83.98
979081,35.01,-83.98
979175,35.09,-83.94
979307,35.33,-83.94
979526,35.25,-83.94
979569,35.41,-83.94
979584,35.37,-83.94
979646,35.21,-83.94
979665,35.45,-83.94
979721,35.01,-83.94
979798,35.29,-83.94
979803,35.17,-83.94
979898,35.05,-83.94
979904,35.13,-83.94
979963,35.29,-83.9
979985,35.25,-83.9
979999,35.41,-83.9
980174,35.01,-83.9
980211,35.49,-83.9
980317,35.45,-83.9
980379,35.05,-83.9
980437,35.21,-83.9
980508,35.17,-83.9
980647,35.09,-83.9
980662,35.13,-83.9
980675,35.33,-83.9
980797,35.37,-83.9
980922,35.05,-83.86
981229,35.01,-83.86
981316,35.45,-83.86
981442,35.17,-83.86
981443,35.25,-83.86
981458,35.29,-83.86
981472,35.21,-83.86
981476,35.49,-83.86
981492,35.41,-83.86
981516,35.09,-83.86
981563,35.33,-83.86
981633,35.37,-83.86
981637,35.13,-83.86
981742,35.09,-83.82
981775,35.37,-83.82
981845,35.33,-83.82
981976,35.45,-83.82
982037,35.05,-83.82
982080,35.41,-83.82
982106,35.01,-83.82
982209,35.13,-83.82
982271,35.17,-83.82
982277,35.29,-83.82
982310,35.21,-83.82
982379,35.25,-83.82
982390,35.49,-83.82
982664,35.25,-83.78
982702,35.09,-83.78
982786,35.01,-83.78
982801,35.13,-83.78
982890,35.45,-83.78
982894,35.53,-83.78
982994,35.21,-83.78
983005,35.17,-83.78
983074,35.49,-83.78
983079,35.37,-83.78
983254,35.41,-83.78
983278,35.29,-83.78
983281,35.33,-83.78
983463,35.05,-83.78
983548,35.29,-83.74
983616,35.17,-83.74
983635,35.53,-83.74
983742,35.21,-83.74
983851,35.05,-83.74
983927,35.49,-83.74
983941,35.33,-83.74
983963,35.41,-83.74
984032,35.37,-83.74
984140,35.13,-83.74
984233,35.09,-83.74
984272,35.25,-83.74
984286,35.45,-83.74
984304,35.01,-83.74
984348,35.01,-83.7
984379,35.05,-83.7
984435,35.25,-83.7
984484,35.53,-83.7
984499,35.09,-83.7
984514,35.49,-83.7
984516,35.33,-83.7
984540,35.41,-83.7
984560,35.37,-83.7
984638,35.17,-83.7
984714,35.13,-83.7
984763,35.29,-83.7
984774,35.21,-83.7
984783,35.45,-83.7
985254,35.41,-83.66
985379,35.53,-83.66
985473,35.21,-83.66
985500,35.45,-83.66
985508,35.49,-83.66
985539,35.37,-83.66
985541,35.29,-83.66
985575,35.33,-83.66
985633,35.13,-83.66
985660,35.09,-83.66
985745,35.25,-83.66
985802,35.01,-83.66
985975,35.17,-83.66
986074,35.05,-83.66
986115,35.21,-83.62
986233,35.17,-83.62
986355,35.25,-83.62
986383,35.49,-83.62
986560,35.41,-83.62
986599,35.09,-83.62
986645,35.01,-83.62
986728,35.33,-83.62
986809,35.53,-83.62
986840,35.37,-83.62
986864,35.45,-83.62
986873,35.29,-83.62
986893,35.13,-83.62
986927,35.05,-83.62
987192,35.41,-83.58
987246,35.29,-83.58
987248,35.37,-83.58
987314,35.45,-83.58
987331,35.33,-83.58
987408,35.01,-83.58
987482,35.13,-83.58
987489,35.05,-83.58
987551,35.09,-83.58
987593,35.53,-83.58
987653,35.49,-83.58
987670,35.25,-83.58
987700,35.17,-83.58
987754,35.21,-83.58
987832,35.09,-83.54
987875,35.25,-83.54
987880,35.13,-83.54
987984,35.21,-83.54
988011,35.29,-83.54
988016,35.37,-83.54
988062,35.33,-83.54
988127,35.17,-83.54
988160,35.49,-83.54
988232,35.45,-83.54
988454,35.53,-83.54
988542,35.41,-83.54
988554,35.01,-83.54
988656,35.05,-83.54
988714,35.13,-83.5
988743,35.21,-83.5
988888,35.49,-83.5
988897,35.05,-83.5
988966,35.29,-83.5
989000,35.45,-83.5
989001,35.37,-83.5
989060,35.09,-83.5
989087,35.01,-83.5
989097,35.33,-83.5
989110,35.53,-83.5
989216,35.41,-83.5
989422,35.25,-83.5
989467,35.17,-83.5
989681,35.49,-83.46
989716,35.13,-83.46
989777,35.01,-83.46
989824,35.05,-83.46
989878,35.09,-83.46
989993,35.53,-83.46
990028,35.21,-83.46
990066,35.25,-83.46
990103,35.17,-83.46
990206,35.29,-83.46
990232,35.37,-83.46
990233,35.41,-83.46
990235,35.45,-83.46
990240,35.57,-83.46
990325,35.33,-83.46
990478,35.29,-83.42
990489,35.17,-83.42
990502,35.21,-83.42
990621,35.57,-83.42
990623,35.41,-83.42
990653,35.61,-83.42
990865,35.05,-83.42
990904,35.01,-83.42
990937,35.53,-83.42
991005,35.45,-83.42
991062,35.33,-83.42
991071,35.49,-83.42
991094,35.25,-83.42
991121,35.37,-83.42
991144,35.09,-83.42
991169,35.13,-83.42
991576,35.57,-83.38
991672,35.61,-83.38
991765,35.17,-83.38
991766,35.21,-83.38
991773,35.49,-83.38
991807,35.01,-83.38
991836,35.41,-83.38
991838,35.37,-83.38
991843,35.29,-83.38
991865,35.33,-83.38
991945,35.53,-83.38
991967,35.25,-83.38
991988,35.05,-83.38
992012,35.13,-83.38
992067,35.45,-83.38
992088,35.09,-83.38
992157,35.25,-83.34
992216,35.41,-83.34
992218,35.57,-83.34
992255,35.01,-83.34
992367,35.13,-83.34
992372,35.09,-83.34
992396,35.61,-83.34
992404,35.37,-83.34
992442,35.33,-83.34
992630,35.17,-83.34
992645,35.21,-83.34
992769,35.29,-83.34
992881,35.65,-83.34
992919,35.53,-83.34
992939,35.05,-83.34
