,latitude,longitude
508813,47.81,-104.02
508823,47.69,-104.02
508835,45.97,-104.02
508848,48.37,-104.02
508863,46.09,-104.02
508868,48.81,-104.02
508874,46.93,-104.02
508887,47.37,-104.02
508892,46.81,-104.02
508903,47.85,-104.02
508936,47.13,-104.02
508942,48.85,-104.02
508946,47.09,-104.02
508951,48.33,-104.02
508962,47.25,-104.02
509081,47.21,-104.02
509092,46.89,-104.02
509101,46.97,-104.02
509106,47.61,-104.02
509117,47.05,-104.02
509118,46.77,-104.02
509123,46.85,-104.02
509158,47.89,-104.02
509175,46.73,-104.02
509183,47.17,-104.02
509235,48.29,-104.02
509249,48.49,-104.02
509262,47.45,-104.02
509265,47.57,-104.02
509275,47.01,-104.02
509280,48.53,-104.02
509287,47.53,-104.02
509289,47.49,-104.02
509322,46.13,-104.02
509357,47.65,-104.02
509359,46.57,-104.02
509390,47.33,-104.02
509416,48.41,-104.02
509430,48.93,-104.02
509447,48.97,-104.02
509506,46.21,-104.02
509518,46.17,-104.02
509529,46.45,-104.02
509534,48.21,-104.02
509535,48.13,-104.02
509537,48.17,-104.02
509549,46.05,-104.02
509561,46.25,-104.02
509586,47.93,-104.02
509600,48.89,-104.02
509602,48.05,-104.02
509604,46.69,-104.02
509613,48.09,-104.02
509616,47.77,-104.02
509630,47.97,-104.02
509635,48.01,-104.02
509657,48.73,-104.02
509664,46.37,-104.02
509672,46.01,-104.02
509680,46.29,-104.02
509683,48.57,-104.02
509692,47.29,-104.02
509698,48.45,-104.02
509710,46.33,-104.02
509711,46.53,-104.02
509714,46.65,-104.02
509715,48.25,-104.02
509750,48.69,-104.02
509751,48.77,-104.02
509759,46.41,-104.02
509762,47.41,-104.02
509774,48.61,-104.02
509775,48.65,-104.02
509790,47.73,-104.02
509831,46.49,-104.02
509833,46.61,-104.02
509869,46.21,-103.98
509872,47.13,-103.98
509879,47.49,-103.98
509881,47.09,-103.98
509900,47.41,-103.98
509911,47.17,-103.98
509934,46.05,-103.98
509952,46.61,-103.98
509957,48.85,-103.98
509971,46.49,-103.98
509973,46.93,-103.98
509979,46.45,-103.98
509988,46.25,-103.98
510006,46.17,-103.98
510016,48.65,-103.98
510021,45.97,-103.98
510032,47.05,-103.98
510048,47.25,-103.98
510051,46.33,-103.98
510053,46.13,-103.98
510062,47.21,-103.98
510065,46.01,-103.98
510113,46.53,-103.98
510131,46.09,-103.98
510138,47.29,-103.98
510142,48.97,-103.98
510144,46.65,-103.98
510173,46.69,-103.98
510178,48.89,-103.98
510187,46.41,-103.98
510196,48.61,-103.98
510202,48.69,-103.98
510214,48.57,-103.98
510220,46.37,-103.98
510222,46.57,-103.98
510231,46.85,-103.98
510256,46.29,-103.98
510258,46.77,-103.98
510264,48.73,-103.98
510321,47.81,-103.98
510322,48.29,-103.98
510331,48.33,-103.98
510399,48.01,-103.98
510407,47.01,-103.98
510408,47.33,-103.98
510428,46.73,-103.98
510503,48.25,-103.98
510525,48.45,-103.98
510530,47.65,-103.98
510539,48.37,-103.98
510558,48.93,-103.98
510601,48.41,-103.98
510612,46.81,-103.98
510613,47.69,-103.98
510623,47.73,-103.98
510629,48.77,-103.98
510639,47.37,-103.98
510646,46.89,-103.98
510647,47.85,-103.98
510671,46.97,-103.98
510677,47.77,-103.98
510680,47.89,-103.98
510687,47.61,-103.98
510703,48.21,-103.98
510710,48.49,-103.98
510729,48.53,-103.98
510732,47.53,-103.98
510735,47.45,-103.98
510751,48.81,-103.98
510760,48.05,-103.98
510778,48.09,-103.98
510804,47.93,-103.98
510832,48.13,-103.98
510850,48.17,-103.98
510860,47.97,-103.98
510869,47.57,-103.98
510872,46.65,-103.94
510877,48.45,-103.94
510883,48.17,-103.94
510884,48.13,-103.94
510902,48.21,-103.94
510917,46.61,-103.94
510935,48.93,-103.94
510943,46.53,-103.94
510962,47.65,-103.94
510970,46.05,-103.94
510987,46.57,-103.94
511014,47.77,-103.94
511020,48.01,-103.94
511024,46.13,-103.94
511030,47.33,-103.94
511047,48.09,-103.94
511053,46.69,-103.94
511057,47.93,-103.94
511062,48.05,-103.94
511063,47.97,-103.94
511081,46.25,-103.94
511092,46.49,-103.94
511123,46.17,-103.94
511137,46.21,-103.94
511175,48.97,-103.94
511197,47.21,-103.94
511225,46.85,-103.94
511227,46.97,-103.94
511232,47.61,-103.94
511257,47.57,-103.94
511261,47.17,-103.94
511265,48.29,-103.94
511268,47.01,-103.94
511320,47.49,-103.94
511330,47.37,-103.94
511346,48.81,-103.94
511358,47.05,-103.94
511412,47.85,-103.94
511415,46.89,-103.94
511421,46.77,-103.94
511429,48.53,-103.94
511431,47.53,-103.94
511434,48.49,-103.94
511453,47.45,-103.94
511461,48.37,-103.94
511465,48.61,-103.94
511468,47.89,-103.94
511493,48.69,-103.94
511494,46.81,-103.94
511513,46.93,-103.94
511516,47.73,-103.94
511527,47.41,-103.94
511530,48.77,-103.94
511532,48.73,-103.94
511536,48.41,-103.94
511537,46.37,-103.94
511550,48.25,-103.94
511552,46.33,-103.94
511554,47.29,-103.94
511568,48.65,-103.94
511578,46.41,-103.94
511580,46.29,-103.94
511584,46.01,-103.94
511591,48.57,-103.94
511599,46.73,-103.94
511606,46.09,-103.94
511632,48.89,-103.94
511668,47.13,-103.94
511680,47.69,-103.94
511684,48.85,-103.94
511695,45.97,-103.94
511697,47.09,-103.94
511702,47.25,-103.94
511709,47.81,-103.94
511726,48.33,-103.94
511730,46.45,-103.94
511910,47.25,-103.9
511974,48.85,-103.9
511982,48.09,-103.9
511984,48.41,-103.9
512023,47.41,-103.9
512038,46.01,-103.9
512039,46.93,-103.9
512069,48.37,-103.9
512070,48.13,-103.9
512093,48.05,-103.9
512096,47.09,-103.9
512110,48.01,-103.9
512118,47.13,-103.9
512127,48.45,-103.9
512139,48.21,-103.9
512140,48.17,-103.9
512178,46.97,-103.9
512190,47.61,-103.9
512199,47.85,-103.9
512225,47.57,-103.9
512232,47.01,-103.9
512243,47.37,-103.9
512265,47.53,-103.9
512299,46.05,-103.9
512306,46.89,-103.9
512326,47.45,-103.9
512333,48.93,-103.9
512349,47.73,-103.9
512353,47.89,-103.9
512362,46.81,-103.9
512365,48.77,-103.9
512383,47.69,-103.9
512389,48.25,-103.9
512395,47.65,-103.9
512449,46.85,-103.9
512450,46.73,-103.9
512454,46.77,-103.9
512477,47.17,-103.9
512482,47.49,-103.9
512487,46.45,-103.9
512507,47.21,-103.9
512508,47.81,-103.9
512519,46.33,-103.9
512520,46.37,-103.9
512523,46.29,-103.9
512561,46.69,-103.9
512576,47.29,-103.9
512577,48.53,-103.9
512578,45.97,-103.9
512580,48.57,-103.9
512590,48.29,-103.9
512592,48.61,-103.9
512600,46.41,-103.9
512643,48.89,-103.9
512674,48.97,-103.9
512676,46.57,-103.9
512683,46.49,-103.9
512691,46.17,-103.9
512698,48.49,-103.9
512742,48.81,-103.9
512761,48.73,-103.9
512781,46.13,-103.9
512783,46.61,-103.9
512786,48.65,-103.9
512791,47.05,-103.9
512803,46.09,-103.9
512806,47.33,-103.9
512841,47.93,-103.9
512851,48.33,-103.9
512856,46.53,-103.9
512858,46.25,-103.9
512865,47.77,-103.9
512896,48.69,-103.9
512909,46.21,-103.9
512919,46.65,-103.9
512921,47.97,-103.9
512958,46.73,-103.86
512980,46.09,-103.86
512982,47.81,-103.86
513069,46.97,-103.86
513074,48.53,-103.86
513080,48.89,-103.86
513119,47.61,-103.86
513145,47.57,-103.86
513158,47.01,-103.86
