,latitude,longitude
960497,39.33,-84.82
960604,39.21,-84.82
960630,39.13,-84.82
960691,39.25,-84.82
960712,39.29,-84.82
960880,39.37,-84.82
960904,39.17,-84.82
961034,39.41,-84.82
961318,40.13,-84.78
961333,40.97,-84.78
961374,40.77,-84.78
961378,40.57,-84.78
961405,40.29,-84.78
961416,41.09,-84.78
961456,39.13,-84.78
961462,40.21,-84.78
961476,40.89,-84.78
961480,41.13,-84.78
961503,40.53,-84.78
961542,39.57,-84.78
961554,40.69,-84.78
961556,39.53,-84.78
961590,39.61,-84.78
961605,39.41,-84.78
961606,41.01,-84.78
961628,41.57,-84.78
961631,39.29,-84.78
961644,40.65,-84.78
961657,40.25,-84.78
961695,39.33,-84.78
961712,39.81,-84.78
961740,39.77,-84.78
961746,40.93,-84.78
961748,39.85,-84.78
961750,39.89,-84.78
961751,39.93,-84.78
961766,39.73,-84.78
961794,41.53,-84.78
961796,39.49,-84.78
961802,40.17,-84.78
961829,41.33,-84.78
961830,40.01,-84.78
961834,41.21,-84.78
961856,41.49,-84.78
961870,41.29,-84.78
961871,41.25,-84.78
961883,41.69,-84.78
961891,39.97,-84.78
961898,40.85,-84.78
961904,40.41,-84.78
961911,40.05,-84.78
961915,41.41,-84.78
961916,41.37,-84.78
961920,40.81,-84.78
961938,39.65,-84.78
961939,39.69,-84.78
961960,40.33,-84.78
961961,40.49,-84.78
961970,41.61,-84.78
961978,41.05,-84.78
961984,40.45,-84.78
962005,41.65,-84.78
962010,41.17,-84.78
962023,40.61,-84.78
962027,39.45,-84.78
962028,39.21,-84.78
962047,40.37,-84.78
962052,39.25,-84.78
962058,40.73,-84.78
962060,41.45,-84.78
962077,40.09,-84.78
962082,39.37,-84.78
962119,39.17,-84.78
962138,41.01,-84.74
962142,41.17,-84.74
962144,41.29,-84.74
962181,40.13,-84.74
962185,41.25,-84.74
962187,41.09,-84.74
962202,39.33,-84.74
962214,41.05,-84.74
962220,41.21,-84.74
962233,41.13,-84.74
962262,39.17,-84.74
962268,40.57,-84.74
962306,40.65,-84.74
962343,40.81,-84.74
962348,40.85,-84.74
962393,41.69,-84.74
962395,39.41,-84.74
962417,39.45,-84.74
962459,40.53,-84.74
962462,39.57,-84.74
962472,40.89,-84.74
962503,40.09,-84.74
962504,40.73,-84.74
962521,39.81,-84.74
962522,40.05,-84.74
962523,40.01,-84.74
962524,39.85,-84.74
962525,39.89,-84.74
962526,39.93,-84.74
962529,39.73,-84.74
962530,39.77,-84.74
962545,39.97,-84.74
962603,39.69,-84.74
962606,40.49,-84.74
962608,40.37,-84.74
962613,40.29,-84.74
962620,40.21,-84.74
962658,40.25,-84.74
962683,39.65,-84.74
962689,39.61,-84.74
962697,39.53,-84.74
962713,40.33,-84.74
962729,40.61,-84.74
962738,40.77,-84.74
962740,41.61,-84.74
962778,41.41,-84.74
962782,39.29,-84.74
962801,39.21,-84.74
962803,40.69,-84.74
962804,39.25,-84.74
962809,41.45,-84.74
962810,40.41,-84.74
962843,41.57,-84.74
962844,41.65,-84.74
962848,40.97,-84.74
962858,39.49,-84.74
962868,41.49,-84.74
962871,41.53,-84.74
962883,40.17,-84.74
962901,39.37,-84.74
962929,40.93,-84.74
962934,41.37,-84.74
962952,41.33,-84.74
962957,40.45,-84.74
962958,41.49,-84.7
962960,40.21,-84.7
962963,39.61,-84.7
962983,40.25,-84.7
962996,41.05,-84.7
963004,41.45,-84.7
963029,39.53,-84.7
963062,39.13,-84.7
963068,40.01,-84.7
963115,39.65,-84.7
963116,39.69,-84.7
963117,39.97,-84.7
963118,40.05,-84.7
963122,39.85,-84.7
963123,39.89,-84.7
963125,39.93,-84.7
963126,39.73,-84.7
963127,39.77,-84.7
963129,39.81,-84.7
963142,39.21,-84.7
963148,39.25,-84.7
963149,40.09,-84.7
963166,39.29,-84.7
