,latitude,longitude
536022,36.85,-102.98
536030,36.89,-102.98
536081,36.93,-102.98
536141,36.73,-102.98
536331,36.61,-102.98
536347,36.97,-102.98
536380,36.65,-102.98
536466,36.81,-102.98
536552,36.53,-102.98
536891,36.77,-102.98
536924,36.69,-102.98
536984,36.57,-102.98
537558,36.85,-102.94
537572,36.81,-102.94
537665,36.65,-102.94
537748,36.61,-102.94
537777,36.53,-102.94
537797,36.57,-102.94
537840,36.97,-102.94
537884,36.93,-102.94
537953,36.77,-102.94
538090,36.73,-102.94
538094,36.69,-102.94
538106,36.89,-102.94
538523,36.81,-102.9
538580,36.65,-102.9
538583,36.97,-102.9
538597,36.85,-102.9
538627,36.61,-102.9
538733,36.89,-102.9
538734,36.73,-102.9
538807,36.53,-102.9
538916,36.69,-102.9
538940,36.93,-102.9
538946,36.77,-102.9
538959,36.57,-102.9
539219,36.69,-102.86
539310,36.89,-102.86
539394,36.77,-102.86
539427,36.93,-102.86
539644,36.57,-102.86
539696,36.53,-102.86
539731,36.81,-102.86
539763,36.65,-102.86
539893,36.73,-102.86
539999,36.61,-102.86
540090,36.85,-102.86
540114,36.97,-102.86
540598,36.81,-102.82
540654,36.85,-102.82
540666,36.89,-102.82
540690,36.61,-102.82
540720,36.97,-102.82
540853,36.65,-102.82
540911,36.73,-102.82
540978,36.53,-102.82
541138,36.69,-102.82
541190,36.77,-102.82
541193,36.93,-102.82
541240,36.57,-102.82
541692,36.81,-102.78
541787,36.65,-102.78
541804,36.73,-102.78
541829,36.89,-102.78
541833,36.53,-102.78
541866,36.85,-102.78
541876,36.69,-102.78
541879,36.77,-102.78
541899,36.57,-102.78
541904,36.93,-102.78
541975,36.97,-102.78
542012,36.61,-102.78
542340,36.97,-102.74
542343,36.69,-102.74
542359,36.89,-102.74
542371,36.93,-102.74
542379,36.85,-102.74
542396,36.77,-102.74
542467,36.65,-102.74
542483,36.73,-102.74
542490,36.81,-102.74
542521,36.61,-102.74
542883,36.57,-102.74
542937,36.53,-102.74
543480,36.69,-102.7
543600,36.57,-102.7
543623,36.53,-102.7
544180,36.97,-102.7
544202,36.61,-102.7
544286,36.65,-102.7
544296,36.73,-102.7
544339,36.81,-102.7
544382,36.89,-102.7
544394,36.93,-102.7
544416,36.77,-102.7
544425,36.85,-102.7
544541,36.73,-102.66
544608,36.65,-102.66
544961,36.61,-102.66
544988,36.85,-102.66
545001,36.97,-102.66
545112,36.93,-102.66
545145,36.77,-102.66
545150,36.69,-102.66
545206,36.53,-102.66
545254,36.89,-102.66
545255,36.57,-102.66
545280,36.81,-102.66
545739,36.85,-102.62
545801,36.81,-102.62
545840,36.89,-102.62
545862,36.57,-102.62
545884,36.77,-102.62
545886,36.69,-102.62
545895,36.93,-102.62
545918,36.97,-102.62
545935,36.61,-102.62
545955,36.53,-102.62
546168,36.65,-102.62
546243,36.73,-102.62
546590,36.73,-102.58
546747,36.81,-102.58
546751,36.53,-102.58
546755,36.65,-102.58
547337,36.85,-102.58
547341,36.93,-102.58
547377,36.77,-102.58
547429,36.89,-102.58
547513,36.61,-102.58
547524,36.69,-102.58
547529,36.97,-102.58
547535,36.57,-102.58
547744,36.69,-102.54
547759,36.93,-102.54
547778,36.77,-102.54
547938,36.97,-102.54
548057,36.61,-102.54
548212,36.89,-102.54
