,latitude,longitude
173076,42.01,-124.22
173077,42.01,-124.18
173078,42.01,-124.14
173079,42.01,-124.1
173080,42.01,-124.06
173081,42.01,-124.02
173082,42.01,-123.98
173083,42.01,-123.94
173084,42.01,-123.9
173085,42.01,-123.86
173086,42.01,-123.82
173087,42.01,-123.78
173088,42.01,-123.74
173089,42.01,-123.7
173090,42.01,-123.66
173091,42.01,-123.62
173092,42.01,-123.58
173093,42.01,-123.54
173094,42.01,-123.5
173095,42.01,-123.46
173096,42.01,-123.42
173097,42.01,-123.38
173098,42.01,-123.34
173099,42.01,-123.3
173100,42.01,-123.26
173101,42.01,-123.22
173102,42.01,-123.18
173103,42.01,-123.14
173104,42.01,-123.1
173105,42.01,-123.06
173106,42.01,-123.02
173107,42.01,-122.98
173108,42.01,-122.94
173109,42.01,-122.9
173110,42.01,-122.86
173111,42.01,-122.82
173112,42.01,-122.78
173113,42.01,-122.74
173114,42.01,-122.7
173115,42.01,-122.66
173116,42.01,-122.62
173117,42.01,-122.58
173118,42.01,-122.54
173119,42.01,-122.5
173120,42.01,-122.46
173121,42.01,-122.42
173122,42.01,-122.38
173123,42.01,-122.34
173124,42.01,-122.3
173125,42.01,-122.26
173126,42.01,-122.22
173127,42.01,-122.18
173128,42.01,-122.14
173129,42.01,-122.1
173130,42.01,-122.06
173131,42.01,-122.02
173132,42.01,-121.98
173133,42.01,-121.94
173134,42.01,-121.9
173135,42.01,-121.86
173136,42.01,-121.82
173137,42.01,-121.78
173138,42.01,-121.74
173139,42.01,-121.7
173140,42.01,-121.66
173141,42.01,-121.62
173142,42.01,-121.58
173143,42.01,-121.54
173144,42.01,-121.5
173145,42.01,-121.46
173146,42.01,-121.42
173147,42.01,-121.38
173148,42.01,-121.34
173149,42.01,-121.3
173150,42.01,-121.26
173151,42.01,-121.22
173152,42.01,-121.18
173153,42.01,-121.14
173154,42.01,-121.1
173155,42.01,-121.06
173156,42.01,-121.02
173157,42.01,-120.98
173158,42.01,-120.94
173159,42.01,-120.9
173160,42.01,-120.86
173161,42.01,-120.82
173162,42.01,-120.78
173163,42.01,-120.74
173164,42.01,-120.7
173165,42.01,-120.66
173166,42.01,-120.62
173167,42.01,-120.58
173168,42.01,-120.54
173169,42.01,-120.5
173170,42.01,-120.46
173171,42.01,-120.42
173172,42.01,-120.38
173173,42.01,-120.34
173174,42.01,-120.3
173175,42.01,-120.26
173176,42.01,-120.22
173177,42.01,-120.18
173178,42.01,-120.14
173179,42.01,-120.1
173180,42.01,-120.06
173181,42.01,-120.02
173182,42.01,-119.98
173183,42.01,-119.94
173184,42.01,-119.9
173185,42.01,-119.86
173186,42.01,-119.82
173187,42.01,-119.78
173188,42.01,-119.74
173189,42.01,-119.7
173190,42.01,-119.66
173191,42.01,-119.62
173192,42.01,-119.58
173193,42.01,-119.54
173194,42.01,-119.5
173195,42.01,-119.46
173196,42.01,-119.42
173197,42.01,-119.38
173198,42.01,-119.34
173199,42.01,-119.3
173200,42.01,-119.26
173201,42.01,-119.22
173202,42.01,-119.18
173203,42.01,-119.14
173204,42.01,-119.1
173205,42.01,-119.06
173206,42.01,-119.02
173207,42.01,-118.98
173208,42.01,-118.94
173209,42.01,-118.9
173210,42.01,-118.86
173211,42.01,-118.82
173212,42.01,-118.78
173213,42.01,-118.74
173214,42.01,-118.7
173215,42.01,-118.66
173216,42.01,-118.62
173217,42.01,-118.58
173218,42.01,-118.54
173219,42.01,-118.5
173220,42.01,-118.46
173221,42.01,-118.42
173222,42.01,-118.38
173223,42.01,-118.34
173224,42.01,-118.3
173225,42.01,-118.26
