,latitude,longitude
1052675,39.77,-80.5
1052702,40.73,-80.5
1052726,39.73,-80.5
1052727,42.21,-80.5
1052746,40.25,-80.5
1052769,41.01,-80.5
1052799,41.65,-80.5
1052818,42.13,-80.5
1052838,42.05,-80.5
1052841,42.17,-80.5
1052845,42.09,-80.5
1052890,41.69,-80.5
1052912,41.61,-80.5
1052920,40.81,-80.5
1052927,41.09,-80.5
1052947,41.97,-80.5
1053015,40.21,-80.5
1053032,41.21,-80.5
1053057,41.05,-80.5
1053080,41.25,-80.5
1053095,40.13,-80.5
1053106,40.33,-80.5
1053117,40.37,-80.5
1053120,40.09,-80.5
1053121,41.77,-80.5
1053131,41.49,-80.5
1053140,40.29,-80.5
1053151,42.01,-80.5
1053188,40.65,-80.5
1053202,39.97,-80.5
1053231,40.17,-80.5
1053233,41.81,-80.5
1053236,41.17,-80.5
1053254,41.41,-80.5
1053301,40.77,-80.5
1053324,42.29,-80.5
1053329,40.53,-80.5
1053333,40.41,-80.5
1053335,40.45,-80.5
1053338,42.25,-80.5
1053348,40.97,-80.5
1053354,40.49,-80.5
1053363,41.37,-80.5
1053401,41.29,-80.5
1053402,39.89,-80.5
1053415,41.45,-80.5
1053418,40.85,-80.5
1053434,41.93,-80.5
1053440,41.85,-80.5
1053449,41.13,-80.5
1053451,40.69,-80.5
1053454,40.89,-80.5
1053483,40.93,-80.5
1053491,41.33,-80.5
1053508,39.85,-80.5
1053509,40.57,-80.5
1053522,40.05,-80.5
1053524,41.53,-80.5
1053527,40.01,-80.5
1053528,39.93,-80.5
1053531,40.61,-80.5
1053533,41.89,-80.5
1053543,39.81,-80.5
1053545,41.73,-80.5
1053570,41.57,-80.5
1053601,41.89,-80.46
1053612,42.05,-80.46
1053683,41.49,-80.46
1053754,41.25,-80.46
1053760,40.85,-80.46
1053770,41.01,-80.46
1053772,40.21,-80.46
1053797,39.81,-80.46
1053798,41.73,-80.46
1053819,42.17,-80.46
1053822,42.21,-80.46
1053826,41.33,-80.46
1053829,39.89,-80.46
1053830,42.01,-80.46
1053863,39.93,-80.46
1053865,40.01,-80.46
1053866,40.05,-80.46
1053870,39.97,-80.46
1053871,39.85,-80.46
1053877,41.29,-80.46
1053897,41.53,-80.46
1053898,41.69,-80.46
1053911,42.13,-80.46
1053921,40.93,-80.46
1053925,40.73,-80.46
1053928,41.85,-80.46
1053932,41.37,-80.46
1053944,40.69,-80.46
1053946,40.89,-80.46
1053947,39.73,-80.46
1053950,39.77,-80.46
1053968,40.49,-80.46
1053976,40.53,-80.46
1053977,40.81,-80.46
1053978,40.41,-80.46
1053979,40.45,-80.46
1053998,40.97,-80.46
1054000,41.17,-80.46
1054024,41.41,-80.46
1054037,41.81,-80.46
1054047,40.17,-80.46
1054055,42.09,-80.46
1054083,40.29,-80.46
1054089,40.65,-80.46
1054095,40.77,-80.46
1054101,40.09,-80.46
1054102,40.37,-80.46
1054108,41.77,-80.46
1054113,40.25,-80.46
1054160,40.57,-80.46
1054175,41.13,-80.46
1054181,41.65,-80.46
1054183,41.93,-80.46
1054195,41.57,-80.46
1054226,41.05,-80.46
1054227,41.09,-80.46
1054233,41.45,-80.46
1054256,40.13,-80.46
1054275,42.25,-80.46
1054290,40.61,-80.46
1054313,41.61,-80.46
1054372,40.33,-80.46
1054395,41.21,-80.46
1054460,41.97,-80.46
1054468,42.29,-80.46
1054509,42.05,-80.42
1054514,40.81,-80.42
1054528,40.25,-80.42
1054537,40.65,-80.42
1054541,39.97,-80.42
1054542,40.61,-80.42
1054548,40.01,-80.42
1054553,39.93,-80.42
1054560,41.89,-80.42
