,latitude,longitude
1314958,41.33,-71.82
1314973,41.37,-71.82
1316348,41.41,-71.78
1316414,41.89,-71.78
1316416,41.85,-71.78
1316429,41.37,-71.78
1316584,41.69,-71.78
1316631,41.97,-71.78
1316636,41.93,-71.78
1316642,41.57,-71.78
1316712,41.61,-71.78
1316721,41.65,-71.78
1316725,41.53,-71.78
1316747,41.33,-71.78
1316748,41.81,-71.78
1316755,41.45,-71.78
1316764,41.49,-71.78
1316770,41.77,-71.78
1316772,41.73,-71.78
1317014,41.65,-71.74
1317037,41.93,-71.74
1317045,41.53,-71.74
1317063,41.97,-71.74
1317136,41.49,-71.74
1317139,41.61,-71.74
1317140,41.57,-71.74
1317190,41.45,-71.74
1317375,41.81,-71.74
1317401,41.77,-71.74
1317475,41.89,-71.74
1317494,41.85,-71.74
1317598,41.37,-71.74
1317956,41.73,-71.74
1318119,41.69,-71.74
1318158,41.41,-71.74
1318267,41.45,-71.7
1318322,41.41,-71.7
1318341,41.37,-71.7
1318373,41.73,-71.7
1318383,41.61,-71.7
1318507,41.97,-71.7
1318658,41.93,-71.7
1318879,41.57,-71.7
1318880,41.53,-71.7
1319097,41.85,-71.7
1319098,41.89,-71.7
1319175,41.49,-71.7
1319177,41.77,-71.7
1319194,41.81,-71.7
1319394,41.69,-71.7
1319447,41.65,-71.7
1319508,41.49,-71.66
1319539,41.85,-71.66
1319552,41.89,-71.66
1319579,41.45,-71.66
1319653,41.61,-71.66
1319672,41.41,-71.66
1319724,41.57,-71.66
1319725,41.53,-71.66
1319790,41.37,-71.66
1319966,41.77,-71.66
1319967,41.81,-71.66
1320278,41.69,-71.66
1320643,41.65,-71.66
1320662,41.73,-71.66
1320695,41.93,-71.66
1320698,41.97,-71.66
1320843,41.41,-71.62
1320847,41.57,-71.62
1320850,41.53,-71.62
1320852,41.61,-71.62
1320894,41.49,-71.62
1321009,41.65,-71.62
1321073,41.37,-71.62
1321085,41.73,-71.62
1321125,41.69,-71.62
1321872,41.97,-71.62
1321903,41.93,-71.62
1321975,41.45,-71.62
1322010,41.81,-71.62
1322021,41.77,-71.62
1322022,41.89,-71.62
1322023,41.85,-71.62
1322358,41.81,-71.58
1322360,41.77,-71.58
1322531,41.97,-71.58
1322539,41.93,-71.58
1322740,41.69,-71.58
1322761,42.01,-71.58
1322779,41.65,-71.58
1322784,41.45,-71.58
1322851,41.73,-71.58
1322857,41.17,-71.58
1322907,41.41,-71.58
1322992,41.61,-71.58
1323025,41.37,-71.58
1323129,41.21,-71.58
1323131,41.57,-71.58
1323133,41.53,-71.58
1323139,41.49,-71.58
1323263,41.85,-71.58
1323276,41.89,-71.58
1323522,41.69,-71.54
1323585,41.49,-71.54
1323586,41.57,-71.54
1323587,41.61,-71.54
1323683,41.85,-71.54
1323684,41.89,-71.54
1323717,41.65,-71.54
1323872,41.93,-71.54
1323879,41.97,-71.54
1324024,41.45,-71.54
1324107,41.81,-71.54
1324108,41.77,-71.54
1324385,41.41,-71.54
1324391,41.53,-71.54
1324549,42.01,-71.54
1324559,41.73,-71.54
1324789,41.37,-71.5
1324853,41.65,-71.5
1324887,41.77,-71.5
1324965,41.53,-71.5
1325044,42.01,-71.5
1325125,41.97,-71.5
1325238,41.73,-71.5
1325269,41.93,-71.5
1325336,41.69,-71.5
1325415,41.45,-71.5
1325499,41.81,-71.5
1325650,41.85,-71.5
1325653,41.89,-71.5
1325749,41.49,-71.5
1325750,41.57,-71.5
1325752,41.61,-71.5
1325951,41.41,-71.5
1326266,41.49,-71.46
1326267,41.53,-71.46
1326268,41.57,-71.46
1326269,41.61,-71.46
1326337,42.01,-71.46
1326455,41.89,-71.46
1326458,41.73,-71.46
1326563,41.77,-71.46
1326585,41.81,-71.46
1326763,41.45,-71.46
1326770,41.41,-71.46
1326958,41.85,-71.46
1327023,41.97,-71.46
1327034,41.93,-71.46
1327187,41.65,-71.46
1327238,41.69,-71.46
1327465,41.97,-71.42
1327467,41.93,-71.42
1327608,41.73,-71.42
1327670,41.65,-71.42
1327686,41.89,-71.42
1327763,41.85,-71.42
1327946,41.77,-71.42
1327951,41.81,-71.42
1328195,42.01,-71.42
1328393,41.61,-71.42
1329322,41.69,-71.38
1329567,41.85,-71.38
1329568,41.89,-71.38
1329775,41.81,-71.38
1329875,41.53,-71.38
1329876,41.49,-71.38
1330678,41.77,-71.34
1331151,41.85,-71.34
1331208,41.65,-71.34
1332121,41.69,-71.3
1332502,41.57,-71.3
1332504,41.53,-71.3
1332514,41.49,-71.3
1332697,41.65,-71.26
1333080,41.73,-71.26
1333081,41.69,-71.26
1333846,41.53,-71.26
1333850,41.61,-71.26
1333856,41.57,-71.26
1335445,41.49,-71.18
1335726,41.61,-71.18
1335730,41.65,-71.18
1335742,41.57,-71.18
1335756,41.53,-71.18
1337003,41.65,-71.14
1337193,41.53,-71.14
1337197,41.57,-71.14
