,latitude,longitude
992503,34.69,-83.34
992758,34.73,-83.34
993282,34.81,-83.3
993594,34.77,-83.3
993705,34.73,-83.3
993757,34.69,-83.3
994171,34.81,-83.26
994192,34.73,-83.26
994303,34.69,-83.26
994412,34.65,-83.26
994418,34.85,-83.26
994580,34.77,-83.26
994656,34.77,-83.22
994716,34.85,-83.22
994828,34.81,-83.22
995261,34.73,-83.22
995309,34.69,-83.22
995432,34.65,-83.22
995504,34.89,-83.18
995509,34.81,-83.18
995513,34.73,-83.18
995540,34.65,-83.18
995581,34.69,-83.18
995747,34.61,-83.18
995752,34.77,-83.18
995793,34.85,-83.18
996334,34.73,-83.14
996415,34.89,-83.14
996481,34.85,-83.14
996525,34.77,-83.14
996651,34.61,-83.14
996713,34.81,-83.14
996727,34.69,-83.14
996924,34.93,-83.14
997001,34.65,-83.14
997163,34.69,-83.1
997269,34.81,-83.1
997316,34.61,-83.1
997336,34.77,-83.1
997377,34.73,-83.1
997409,34.85,-83.1
997605,34.57,-83.1
997643,34.89,-83.1
997654,34.93,-83.1
997655,34.97,-83.1
997816,34.65,-83.1
998018,34.81,-83.06
998045,34.65,-83.06
998063,34.69,-83.06
998232,34.85,-83.06
998355,34.77,-83.06
998379,34.53,-83.06
998447,34.61,-83.06
998481,34.97,-83.06
998482,34.93,-83.06
998586,34.57,-83.06
998721,34.89,-83.06
998732,34.73,-83.06
998844,34.65,-83.02
998857,34.49,-83.02
998979,34.57,-83.02
999106,35.01,-83.02
999204,34.69,-83.02
999315,34.61,-83.02
999331,34.77,-83.02
999367,34.97,-83.02
999371,34.93,-83.02
999399,34.81,-83.02
999421,34.89,-83.02
999493,34.85,-83.02
999529,34.53,-83.02
999574,34.73,-83.02
999619,34.89,-82.98
999703,35.01,-82.98
999706,34.97,-82.98
999712,34.93,-82.98
999738,34.57,-82.98
999934,34.61,-82.98
999940,34.65,-82.98
999962,34.85,-82.98
1000017,34.77,-82.98
1000053,34.53,-82.98
1000054,34.69,-82.98
1000098,34.49,-82.98
1000119,34.73,-82.98
1000231,34.81,-82.98
1000437,34.97,-82.94
1000438,34.93,-82.94
1000524,34.65,-82.94
1000579,34.49,-82.94
1000631,34.89,-82.94
1000692,34.69,-82.94
1000722,34.53,-82.94
1000728,34.57,-82.94
1001065,34.81,-82.94
1001089,34.73,-82.94
1001151,34.85,-82.94
1001191,34.77,-82.94
1001249,34.61,-82.94
1001251,35.01,-82.94
1001290,34.73,-82.9
1001423,34.85,-82.9
1001426,34.77,-82.9
1001439,35.01,-82.9
1001459,34.65,-82.9
1001462,34.49,-82.9
1001529,34.69,-82.9
1001542,34.53,-82.9
1001672,34.57,-82.9
1001706,34.97,-82.9
1001713,34.93,-82.9
1001752,34.81,-82.9
1001851,34.89,-82.9
1002049,35.05,-82.9
1002071,34.61,-82.9
1002105,34.69,-82.86
1002304,34.77,-82.86
1002331,34.53,-82.86
1002465,34.81,-82.86
1002478,34.93,-82.86
1002479,34.97,-82.86
1002490,35.05,-82.86
1002572,34.65,-82.86
1002635,35.01,-82.86
1002665,34.49,-82.86
1002677,34.73,-82.86
1002724,34.89,-82.86
1002784,34.85,-82.86
1002805,34.57,-82.86
1002863,34.61,-82.86
1002970,34.69,-82.82
1003028,34.85,-82.82
1003047,34.49,-82.82
1003097,34.37,-82.82
1003120,34.77,-82.82
1003167,34.65,-82.82
1003201,34.53,-82.82
1003207,34.61,-82.82
1003209,34.81,-82.82
1003229,34.73,-82.82
1003311,34.45,-82.82
1003321,34.41,-82.82
1003333,34.93,-82.82
1003357,35.05,-82.82
1003367,34.97,-82.82
1003642,35.01,-82.82
1003720,34.57,-82.82
1003729,34.89,-82.82
1003878,34.57,-82.78
1003922,34.89,-82.78
1003934,34.37,-82.78
1003957,34.73,-82.78
1003990,34.49,-82.78
1004013,35.01,-82.78
1004095,34.65,-82.78
1004131,34.81,-82.78
1004136,34.97,-82.78
1004143,34.93,-82.78
1004172,35.05,-82.78
1004240,34.77,-82.78
1004291,34.53,-82.78
1004297,34.69,-82.78
1004344,34.41,-82.78
1004378,34.33,-82.78
1004496,34.85,-82.78
1004566,34.61,-82.78
1004590,34.45,-82.78
1004592,34.81,-82.74
1004618,35.01,-82.74
1004657,34.73,-82.74
1004723,34.49,-82.74
1004760,34.89,-82.74
1004836,34.85,-82.74
1004848,34.53,-82.74
1004850,34.65,-82.74
1004868,34.69,-82.74
1004899,34.61,-82.74
1004940,34.57,-82.74
1004986,34.29,-82.74
1005006,35.05,-82.74
1005014,34.37,-82.74
1005019,34.93,-82.74
1005020,34.97,-82.74
1005021,34.33,-82.74
1005028,34.41,-82.74
1005029,34.77,-82.74
1005047,34.45,-82.74
1005103,34.21,-82.74
1005111,34.25,-82.74
1005479,35.01,-82.7
1005490,34.93,-82.7
1005511,34.97,-82.7
1005580,34.65,-82.7
1005581,34.81,-82.7
1005605,34.17,-82.7
1005614,34.33,-82.7
1005626,34.77,-82.7
1005692,34.29,-82.7
1005708,34.21,-82.7
1005719,34.25,-82.7
1005731,34.57,-82.7
1005909,34.61,-82.7
1005938,34.41,-82.7
1005956,34.89,-82.7
1005978,34.45,-82.7
1005981,34.85,-82.7
1005985,34.37,-82.7
1006011,34.53,-82.7
1006015,34.69,-82.7
1006063,35.05,-82.7
1006075,34.49,-82.7
1006106,35.09,-82.7
1006149,34.73,-82.7
1006249,35.09,-82.66
1006371,35.05,-82.66
1006380,34.29,-82.66
1006402,35.01,-82.66
1006418,34.73,-82.66
1006432,34.17,-82.66
1006464,34.69,-82.66
1006466,34.21,-82.66
1006475,34.25,-82.66
1006496,34.53,-82.66
1006502,34.61,-82.66
1006508,34.37,-82.66
1006532,34.33,-82.66
1006541,34.45,-82.66
1006551,34.57,-82.66
1006554,34.65,-82.66
1006638,34.41,-82.66
1006821,34.13,-82.66
1006854,34.97,-82.66
1006869,34.85,-82.66
1006940,34.81,-82.66
1006949,34.93,-82.66
1006957,34.89,-82.66
1006992,34.77,-82.66
1007030,34.49,-82.66
1007076,34.97,-82.62
1007078,34.21,-82.62
1007088,35.13,-82.62
1007100,34.93,-82.62
1007105,34.89,-82.62
1007213,35.01,-82.62
1007215,34.57,-82.62
1007237,34.65,-82.62
1007248,34.33,-82.62
1007249,34.81,-82.62
1007313,34.13,-82.62
1007335,34.37,-82.62
1007387,34.85,-82.62
1007406,34.61,-82.62
1007415,35.05,-82.62
1007427,34.53,-82.62
1007454,34.69,-82.62
1007459,35.09,-82.62
1007466,34.49,-82.62
1007560,34.73,-82.62
1007608,34.45,-82.62
1007666,34.41,-82.62
1007679,34.77,-82.62
1007828,34.09,-82.62
1007848,34.25,-82.62
1007863,34.29,-82.62
1007867,34.17,-82.62
1007958,34.53,-82.58
1007959,34.21,-82.58
1008021,34.97,-82.58
1008026,34.93,-82.58
1008041,35.13,-82.58
1008050,34.13,-82.58
1008093,34.09,-82.58
1008113,35.05,-82.58
1008161,34.89,-82.58
1008168,34.25,-82.58
1008175,34.01,-82.58
1008182,35.09,-82.58
1008191,34.85,-82.58
1008195,34.05,-82.58
1008243,34.61,-82.58
1008308,34.49,-82.58
1008353,34.41,-82.58
1008356,34.17,-82.58
1008365,34.69,-82.58
1008468,34.45,-82.58
1008474,34.29,-82.58
1008487,34.73,-82.58
1008495,34.65,-82.58
1008504,34.57,-82.58
1008553,34.81,-82.58
1008605,34.33,-82.58
1008624,34.77,-82.58
1008636,34.37,-82.58
1008653,35.01,-82.58
1008754,34.57,-82.54
1008762,35.09,-82.54
