,latitude,longitude
508805,43.09,-104.02
508807,44.97,-104.02
508809,45.69,-104.02
508812,45.09,-104.02
508826,45.37,-104.02
508832,43.21,-104.02
508878,45.65,-104.02
508883,44.09,-104.02
508886,45.17,-104.02
508918,43.17,-104.02
508939,45.13,-104.02
508953,44.17,-104.02
508967,44.33,-104.02
508985,45.01,-104.02
509008,44.29,-104.02
509030,43.53,-104.02
509044,45.61,-104.02
509070,45.81,-104.02
509077,43.49,-104.02
509093,43.45,-104.02
509112,43.25,-104.02
509119,43.37,-104.02
509127,43.05,-104.02
509130,43.01,-104.02
509141,43.33,-104.02
509161,43.41,-104.02
509180,43.29,-104.02
509186,45.73,-104.02
509191,45.77,-104.02
509215,45.29,-104.02
509232,43.81,-104.02
509306,43.57,-104.02
509321,45.53,-104.02
509340,44.61,-104.02
509362,44.73,-104.02
509399,45.49,-104.02
509404,45.89,-104.02
509417,43.85,-104.02
509438,45.85,-104.02
509439,44.05,-104.02
509444,43.61,-104.02
509453,44.89,-104.02
509454,45.57,-104.02
509460,43.65,-104.02
509462,44.93,-104.02
509467,44.13,-104.02
509500,43.93,-104.02
509548,45.93,-104.02
509569,43.97,-104.02
509589,44.77,-104.02
509592,43.89,-104.02
509596,43.73,-104.02
509609,43.13,-104.02
509627,44.85,-104.02
509651,44.53,-104.02
509662,44.57,-104.02
509677,45.05,-104.02
509682,44.69,-104.02
509699,45.25,-104.02
509701,44.01,-104.02
509706,43.77,-104.02
509708,44.81,-104.02
509712,45.45,-104.02
509713,45.41,-104.02
509725,44.65,-104.02
509733,44.45,-104.02
509760,44.49,-104.02
509769,44.21,-104.02
509776,44.41,-104.02
509784,44.25,-104.02
509789,44.37,-104.02
509794,45.33,-104.02
509799,43.69,-104.02
509801,45.21,-104.02
509838,44.85,-103.98
509859,44.57,-103.98
509878,44.53,-103.98
509882,45.49,-103.98
509889,43.97,-103.98
509904,43.69,-103.98
509909,45.41,-103.98
509976,44.01,-103.98
510015,45.33,-103.98
510029,43.93,-103.98
510063,43.01,-103.98
510080,44.93,-103.98
510090,44.73,-103.98
510100,45.29,-103.98
510105,43.61,-103.98
510120,44.89,-103.98
510121,45.57,-103.98
510124,45.85,-103.98
510127,45.17,-103.98
510134,45.53,-103.98
510155,44.61,-103.98
510160,45.37,-103.98
510170,45.89,-103.98
510188,43.05,-103.98
510203,43.13,-103.98
510250,43.65,-103.98
510251,45.93,-103.98
510254,44.77,-103.98
510260,45.45,-103.98
510262,43.89,-103.98
510268,43.37,-103.98
510284,45.65,-103.98
510308,45.09,-103.98
510324,45.13,-103.98
510341,45.73,-103.98
510353,44.29,-103.98
510401,43.73,-103.98
510423,44.05,-103.98
510427,45.69,-103.98
510435,45.77,-103.98
510454,45.05,-103.98
510457,44.45,-103.98
510461,44.41,-103.98
510462,44.65,-103.98
510463,43.85,-103.98
510466,45.21,-103.98
510470,44.69,-103.98
510481,44.37,-103.98
510494,44.21,-103.98
510497,44.81,-103.98
510507,43.77,-103.98
510537,45.25,-103.98
510538,44.49,-103.98
510543,44.13,-103.98
510544,44.97,-103.98
510549,44.25,-103.98
510552,44.33,-103.98
510571,45.01,-103.98
510636,43.25,-103.98
510696,45.61,-103.98
510700,43.45,-103.98
510705,43.29,-103.98
510708,43.41,-103.98
510741,43.57,-103.98
510762,43.33,-103.98
510768,43.09,-103.98
510784,43.21,-103.98
510787,43.53,-103.98
510790,43.17,-103.98
510805,44.17,-103.98
510822,43.49,-103.98
510826,45.81,-103.98
510849,44.09,-103.98
510862,43.81,-103.98
510876,44.53,-103.94
510893,45.89,-103.94
510896,44.93,-103.94
510924,43.69,-103.94
510928,45.21,-103.94
510940,45.13,-103.94
510947,44.05,-103.94
510948,44.09,-103.94
510949,45.25,-103.94
510957,45.49,-103.94
510977,43.85,-103.94
510989,43.13,-103.94
511002,43.77,-103.94
511003,43.73,-103.94
511012,45.93,-103.94
511042,43.89,-103.94
511044,44.17,-103.94
511069,44.73,-103.94
511079,44.77,-103.94
511096,43.61,-103.94
511106,45.85,-103.94
511120,43.65,-103.94
511127,43.93,-103.94
511142,43.97,-103.94
511150,45.53,-103.94
511169,44.89,-103.94
511171,45.57,-103.94
511185,44.61,-103.94
511186,44.85,-103.94
511192,45.61,-103.94
511193,45.81,-103.94
511201,43.05,-103.94
511206,43.49,-103.94
511223,43.37,-103.94
511270,45.77,-103.94
511313,43.81,-103.94
511324,43.45,-103.94
511342,43.09,-103.94
511350,45.29,-103.94
511361,44.01,-103.94
511367,43.21,-103.94
511391,43.17,-103.94
511394,43.57,-103.94
511401,43.53,-103.94
511414,43.25,-103.94
511424,43.01,-103.94
