,latitude,longitude
842302,35.01,-90.3
843768,35.01,-90.26
844347,35.01,-90.22
845051,35.09,-90.18
845150,35.01,-90.18
845360,35.05,-90.18
845859,35.05,-90.14
846283,35.01,-90.14
846410,35.09,-90.14
846729,35.37,-90.1
846730,35.33,-90.1
846826,35.25,-90.1
846868,35.29,-90.1
846993,35.05,-90.1
847142,35.01,-90.1
847264,35.09,-90.1
847802,35.41,-90.06
847840,35.33,-90.06
847841,35.37,-90.06
848205,35.05,-90.06
848268,35.01,-90.06
848375,35.13,-90.06
848401,35.29,-90.06
848439,35.21,-90.06
848440,35.25,-90.06
848479,35.09,-90.06
848526,35.17,-90.06
848543,35.01,-90.02
848553,35.29,-90.02
848629,35.13,-90.02
848649,35.05,-90.02
848661,35.09,-90.02
848746,35.41,-90.02
848815,35.21,-90.02
848833,35.37,-90.02
848834,35.33,-90.02
848872,35.25,-90.02
848955,35.17,-90.02
849175,35.45,-90.02
849511,35.17,-89.98
849609,35.09,-89.98
849625,35.13,-89.98
849736,35.01,-89.98
849834,35.05,-89.98
849920,35.25,-89.98
849943,35.29,-89.98
849960,35.21,-89.98
849981,35.37,-89.98
850135,35.41,-89.98
850153,35.45,-89.98
850159,35.49,-89.98
850171,35.33,-89.98
850387,35.25,-89.94
850435,35.33,-89.94
850494,35.69,-89.94
850537,35.21,-89.94
850538,35.37,-89.94
850551,35.05,-89.94
850708,35.45,-89.94
850719,35.41,-89.94
850728,35.01,-89.94
850729,35.49,-89.94
850780,35.61,-89.94
850917,35.73,-89.94
850955,35.13,-89.94
851117,35.09,-89.94
851222,35.17,-89.94
851281,35.29,-89.94
851309,35.01,-89.9
851334,35.57,-89.9
851410,35.17,-89.9
851422,35.05,-89.9
851435,35.45,-89.9
851457,35.49,-89.9
851474,35.33,-89.9
851800,35.53,-89.9
851804,35.69,-89.9
851859,35.25,-89.9
851892,35.37,-89.9
851905,35.29,-89.9
851963,35.41,-89.9
851985,35.21,-89.9
852014,35.61,-89.9
852028,35.65,-89.9
852066,35.09,-89.9
852112,35.73,-89.9
852169,35.13,-89.9
852429,35.41,-89.86
852430,35.53,-89.86
852579,35.49,-89.86
852618,35.73,-89.86
852635,35.57,-89.86
852638,35.65,-89.86
852639,35.61,-89.86
852646,35.69,-89.86
852730,35.45,-89.86
852813,35.37,-89.86
852816,35.05,-89.86
852839,35.17,-89.86
852868,35.21,-89.86
852883,35.01,-89.86
852887,35.13,-89.86
852928,35.25,-89.86
852954,35.29,-89.86
853087,35.09,-89.86
853113,35.33,-89.86
853186,35.57,-89.82
853201,35.61,-89.82
853240,35.65,-89.82
853264,35.37,-89.82
853283,35.77,-89.82
853290,35.09,-89.82
853308,35.13,-89.82
853399,35.45,-89.82
853415,35.33,-89.82
853426,35.29,-89.82
853433,35.21,-89.82
853437,35.25,-89.82
853445,35.17,-89.82
853487,35.41,-89.82
853499,35.53,-89.82
853500,35.05,-89.82
853727,35.01,-89.82
853766,35.49,-89.82
853919,35.69,-89.82
853941,35.73,-89.82
854108,35.73,-89.78
854138,35.77,-89.78
854166,35.69,-89.78
854169,35.61,-89.78
854172,35.57,-89.78
854177,35.65,-89.78
854214,35.25,-89.78
854263,35.13,-89.78
854266,35.09,-89.78
854299,35.21,-89.78
854308,35.17,-89.78
854317,35.29,-89.78
854467,35.49,-89.78
854600,35.41,-89.78
854626,35.37,-89.78
854627,35.33,-89.78
854675,35.53,-89.78
854708,35.45,-89.78
854777,35.05,-89.78
854918,35.01,-89.78
855101,35.81,-89.74
855119,35.33,-89.74
855121,35.37,-89.74
855149,35.65,-89.74
855198,35.49,-89.74
855207,35.41,-89.74
855222,35.45,-89.74
855250,35.77,-89.74
855291,35.13,-89.74
855303,35.25,-89.74
855313,35.17,-89.74
855319,35.21,-89.74
855323,35.09,-89.74
855356,35.29,-89.74
855357,35.53,-89.74
855634,35.89,-89.74
855646,35.01,-89.74
855692,35.05,-89.74
855737,35.69,-89.74
855755,35.73,-89.74
855824,35.61,-89.74
855831,35.57,-89.74
856112,35.85,-89.7
856158,35.41,-89.7
856199,35.45,-89.7
856241,35.53,-89.7
856281,35.77,-89.7
856285,35.49,-89.7
856342,35.81,-89.7
856367,36.05,-89.7
856495,35.25,-89.7
856510,36.01,-89.7
856513,35.21,-89.7
856520,35.17,-89.7
856522,35.97,-89.7
856557,35.89,-89.7
856572,35.29,-89.7
856610,35.13,-89.7
856687,35.09,-89.7
856721,35.33,-89.7
856722,35.37,-89.7
856743,35.73,-89.7
856758,35.05,-89.7
856776,35.69,-89.7
856795,35.61,-89.7
856811,35.65,-89.7
856817,35.01,-89.7
856870,35.57,-89.7
856880,35.61,-89.66
856893,35.73,-89.66
856902,35.65,-89.66
856908,35.57,-89.66
856947,35.77,-89.66
856985,35.49,-89.66
856986,35.45,-89.66
856987,35.41,-89.66
857005,35.81,-89.66
857063,35.29,-89.66
857086,35.89,-89.66
857095,35.13,-89.66
857102,35.17,-89.66
857105,35.69,-89.66
857132,35.09,-89.66
857135,35.21,-89.66
857160,35.25,-89.66
857213,35.05,-89.66
857327,35.01,-89.66
857489,35.53,-89.66
857515,35.37,-89.66
857520,35.33,-89.66
857657,36.09,-89.66
857722,36.01,-89.66
857725,36.05,-89.66
857732,35.85,-89.66
857755,36.21,-89.66
857769,35.93,-89.66
857775,35.97,-89.66
857874,35.37,-89.62
857889,36.09,-89.62
857961,35.21,-89.62
857962,35.25,-89.62
858040,35.49,-89.62
858041,35.45,-89.62
858042,35.41,-89.62
858073,35.53,-89.62
858104,36.05,-89.62
858110,35.33,-89.62
858237,36.21,-89.62
858247,35.01,-89.62
858264,35.05,-89.62
858279,35.09,-89.62
858290,35.13,-89.62
858355,35.17,-89.62
858365,35.93,-89.62
858447,35.85,-89.62
858471,35.97,-89.62
858525,36.01,-89.62
858560,36.17,-89.62
858596,35.81,-89.62
858597,35.65,-89.62
858637,36.33,-89.62
858650,35.89,-89.62
858657,35.73,-89.62
858663,35.69,-89.62
858664,35.29,-89.62
858689,35.61,-89.62
858690,35.57,-89.62
858754,35.77,-89.62
858810,35.85,-89.58
858814,36.05,-89.58
858878,35.97,-89.58
858925,35.33,-89.58
858968,35.49,-89.58
858971,35.45,-89.58
858973,35.53,-89.58
859062,36.09,-89.58
859078,35.81,-89.58
859120,36.25,-89.58
859129,35.93,-89.58
859159,36.29,-89.58
859177,36.33,-89.58
859225,35.77,-89.58
859270,35.17,-89.58
859272,35.13,-89.58
859273,35.09,-89.58
859329,35.41,-89.58
859341,36.13,-89.58
859353,35.73,-89.58
859386,35.69,-89.58
859434,35.05,-89.58
859445,35.01,-89.58
859459,36.21,-89.58
859464,36.01,-89.58
859484,35.57,-89.58
859486,35.61,-89.58
859503,35.65,-89.58
859519,36.17,-89.58
859568,35.29,-89.58
859593,35.21,-89.58
859605,35.25,-89.58
859633,35.89,-89.58
859661,35.37,-89.58
859719,35.69,-89.54
859788,35.21,-89.54
859790,35.53,-89.54
859811,36.17,-89.54
859812,35.25,-89.54
859859,36.13,-89.54
859895,36.45,-89.54
859931,35.85,-89.54
860027,35.93,-89.54
860061,35.17,-89.54
860078,36.01,-89.54
860084,36.33,-89.54
860102,36.25,-89.54
860165,35.13,-89.54
860199,35.09,-89.54
860216,36.21,-89.54
860232,35.61,-89.54
860260,35.77,-89.54
860286,35.89,-89.54
860289,35.57,-89.54
860297,35.73,-89.54
860317,36.29,-89.54
860345,36.05,-89.54
860364,35.65,-89.54
860387,35.01,-89.54
860391,35.05,-89.54
860392,35.45,-89.54
860408,35.97,-89.54
860418,35.41,-89.54
860445,35.37,-89.54
860488,35.81,-89.54
860489,36.49,-89.54
860503,35.49,-89.54
860581,35.29,-89.54
860583,35.33,-89.54
860622,36.09,-89.54
860683,35.65,-89.5
860690,36.09,-89.5
860712,35.49,-89.5
860714,35.53,-89.5
860717,35.05,-89.5
860724,35.29,-89.5
860748,36.29,-89.5
860749,36.33,-89.5
860790,35.01,-89.5
860833,35.97,-89.5
860834,35.69,-89.5
860837,35.61,-89.5
860881,35.21,-89.5
860885,35.25,-89.5
860889,35.45,-89.5
860905,35.77,-89.5
860920,35.13,-89.5
860940,35.57,-89.5
860968,36.21,-89.5
860984,36.01,-89.5
861030,36.49,-89.5
861032,35.37,-89.5
861036,35.89,-89.5
861041,35.73,-89.5
861064,35.41,-89.5
861072,36.13,-89.5
861087,35.93,-89.5
861168,35.85,-89.5
