,latitude,longitude
57215,30.69,-105.02
57471,30.73,-105.1
57472,30.73,-105.06
57473,30.73,-105.02
57730,30.77,-105.14
57731,30.77,-105.1
57732,30.77,-105.06
57733,30.77,-105.02
57986,30.81,-105.26
57987,30.81,-105.22
57988,30.81,-105.18
57989,30.81,-105.14
57990,30.81,-105.1
57991,30.81,-105.06
57992,30.81,-105.02
58243,30.85,-105.34
58244,30.85,-105.3
58245,30.85,-105.26
58246,30.85,-105.22
58247,30.85,-105.18
58248,30.85,-105.14
58249,30.85,-105.1
58250,30.85,-105.06
58251,30.85,-105.02
58501,30.89,-105.38
58502,30.89,-105.34
58503,30.89,-105.3
58504,30.89,-105.26
58505,30.89,-105.22
58506,30.89,-105.18
58507,30.89,-105.14
58508,30.89,-105.1
58509,30.89,-105.06
58510,30.89,-105.02
58758,30.93,-105.46
58759,30.93,-105.42
58760,30.93,-105.38
58761,30.93,-105.34
58762,30.93,-105.3
58763,30.93,-105.26
58764,30.93,-105.22
58765,30.93,-105.18
58766,30.93,-105.14
58767,30.93,-105.1
58768,30.93,-105.06
58769,30.93,-105.02
59016,30.97,-105.5
59017,30.97,-105.46
59018,30.97,-105.42
59019,30.97,-105.38
59020,30.97,-105.34
59021,30.97,-105.3
59022,30.97,-105.26
59023,30.97,-105.22
59024,30.97,-105.18
59025,30.97,-105.14
59026,30.97,-105.1
59027,30.97,-105.06
59028,30.97,-105.02
59275,31.01,-105.54
59276,31.01,-105.5
59277,31.01,-105.46
59278,31.01,-105.42
59279,31.01,-105.38
59280,31.01,-105.34
59281,31.01,-105.3
59282,31.01,-105.26
59283,31.01,-105.22
59284,31.01,-105.18
59285,31.01,-105.14
59286,31.01,-105.1
59287,31.01,-105.06
59288,31.01,-105.02
59539,31.05,-105.54
59540,31.05,-105.5
59541,31.05,-105.46
59542,31.05,-105.42
59543,31.05,-105.38
59544,31.05,-105.34
59545,31.05,-105.3
59546,31.05,-105.26
59547,31.05,-105.22
59548,31.05,-105.18
59549,31.05,-105.14
59550,31.05,-105.1
59551,31.05,-105.06
59552,31.05,-105.02
59806,31.09,-105.62
59807,31.09,-105.58
59808,31.09,-105.54
59809,31.09,-105.5
59810,31.09,-105.46
59811,31.09,-105.42
59812,31.09,-105.38
59813,31.09,-105.34
59814,31.09,-105.3
59815,31.09,-105.26
59816,31.09,-105.22
59817,31.09,-105.18
59818,31.09,-105.14
59819,31.09,-105.1
59820,31.09,-105.06
59821,31.09,-105.02
60078,31.13,-105.66
60079,31.13,-105.62
60080,31.13,-105.58
60081,31.13,-105.54
60082,31.13,-105.5
60083,31.13,-105.46
60084,31.13,-105.42
60085,31.13,-105.38
60086,31.13,-105.34
60087,31.13,-105.3
60088,31.13,-105.26
60089,31.13,-105.22
60090,31.13,-105.18
60091,31.13,-105.14
60092,31.13,-105.1
60093,31.13,-105.06
60094,31.13,-105.02
60349,31.17,-105.74
60350,31.17,-105.7
60351,31.17,-105.66
60352,31.17,-105.62
60353,31.17,-105.58
60354,31.17,-105.54
60355,31.17,-105.5
60356,31.17,-105.46
60357,31.17,-105.42
60358,31.17,-105.38
60359,31.17,-105.34
60360,31.17,-105.3
60361,31.17,-105.26
60362,31.17,-105.22
60363,31.17,-105.18
60364,31.17,-105.14
60365,31.17,-105.1
60366,31.17,-105.06
60367,31.17,-105.02
60622,31.21,-105.78
60623,31.21,-105.74
60624,31.21,-105.7
60625,31.21,-105.66
60626,31.21,-105.62
60627,31.21,-105.58
60628,31.21,-105.54
60629,31.21,-105.5
60630,31.21,-105.46
60631,31.21,-105.42
60632,31.21,-105.38
60633,31.21,-105.34
60634,31.21,-105.3
60635,31.21,-105.26
60636,31.21,-105.22
60637,31.21,-105.18
60638,31.21,-105.14
60639,31.21,-105.1
60640,31.21,-105.06
60641,31.21,-105.02
60895,31.25,-105.82
60896,31.25,-105.78
60897,31.25,-105.74
60898,31.25,-105.7
60899,31.25,-105.66
60900,31.25,-105.62
60901,31.25,-105.58
60902,31.25,-105.54
60903,31.25,-105.5
60904,31.25,-105.46
60905,31.25,-105.42
60906,31.25,-105.38
60907,31.25,-105.34
60908,31.25,-105.3
60909,31.25,-105.26
60910,31.25,-105.22
60911,31.25,-105.18
60912,31.25,-105.14
60913,31.25,-105.1
60914,31.25,-105.06
60915,31.25,-105.02
61179,31.29,-105.86
61180,31.29,-105.82
61181,31.29,-105.78
61182,31.29,-105.74
61183,31.29,-105.7
61184,31.29,-105.66
61185,31.29,-105.62
61186,31.29,-105.58
61187,31.29,-105.54
61188,31.29,-105.5
61189,31.29,-105.46
61190,31.29,-105.42
61191,31.29,-105.38
61192,31.29,-105.34
61193,31.29,-105.3
61194,31.29,-105.26
61195,31.29,-105.22
61196,31.29,-105.18
61197,31.29,-105.14
61198,31.29,-105.1
61199,31.29,-105.06
61200,31.29,-105.02
61469,31.33,-105.9
61470,31.33,-105.86
61471,31.33,-105.82
61472,31.33,-105.78
61473,31.33,-105.74
61474,31.33,-105.7
61475,31.33,-105.66
61476,31.33,-105.62
61477,31.33,-105.58
61478,31.33,-105.54
61479,31.33,-105.5
61480,31.33,-105.46
61481,31.33,-105.42
61482,31.33,-105.38
