,latitude,longitude
114219,37.01,-114.02
114220,37.01,-113.98
114221,37.01,-113.94
114222,37.01,-113.9
114223,37.01,-113.86
114224,37.01,-113.82
114225,37.01,-113.78
114226,37.01,-113.74
114227,37.01,-113.7
114228,37.01,-113.66
114229,37.01,-113.62
114230,37.01,-113.58
114231,37.01,-113.54
114232,37.01,-113.5
114233,37.01,-113.46
114234,37.01,-113.42
114235,37.01,-113.38
114236,37.01,-113.34
114237,37.01,-113.3
114238,37.01,-113.26
114239,37.01,-113.22
114240,37.01,-113.18
114241,37.01,-113.14
114242,37.01,-113.1
114243,37.01,-113.06
114244,37.01,-113.02
114245,37.01,-112.98
114246,37.01,-112.94
114247,37.01,-112.9
114248,37.01,-112.86
114249,37.01,-112.82
114250,37.01,-112.78
114251,37.01,-112.74
114252,37.01,-112.7
114253,37.01,-112.66
114254,37.01,-112.62
114255,37.01,-112.58
114256,37.01,-112.54
114257,37.01,-112.5
114258,37.01,-112.46
114259,37.01,-112.42
114260,37.01,-112.38
114261,37.01,-112.34
114262,37.01,-112.3
114263,37.01,-112.26
114264,37.01,-112.22
114265,37.01,-112.18
114266,37.01,-112.14
114267,37.01,-112.1
114268,37.01,-112.06
114269,37.01,-112.02
114270,37.01,-111.98
114271,37.01,-111.94
114272,37.01,-111.9
114273,37.01,-111.86
114274,37.01,-111.82
114275,37.01,-111.78
114276,37.01,-111.74
114277,37.01,-111.7
114278,37.01,-111.66
114279,37.01,-111.62
114280,37.01,-111.58
114281,37.01,-111.54
114282,37.01,-111.5
114283,37.01,-111.46
114284,37.01,-111.42
114285,37.01,-111.38
114286,37.01,-111.34
114287,37.01,-111.3
114288,37.01,-111.26
114289,37.01,-111.22
114290,37.01,-111.18
114291,37.01,-111.14
114292,37.01,-111.1
114293,37.01,-111.06
114294,37.01,-111.02
114295,37.01,-110.98
114296,37.01,-110.94
114297,37.01,-110.9
114298,37.01,-110.86
114299,37.01,-110.82
114300,37.01,-110.78
114301,37.01,-110.74
114302,37.01,-110.7
114303,37.01,-110.66
