,latitude,longitude
1263108,44.05,-73.42
1263531,43.61,-73.42
1263901,43.85,-73.38
1263964,44.17,-73.38
1263971,44.05,-73.38
1264013,43.93,-73.38
1264104,44.13,-73.38
1264153,44.09,-73.38
1264227,44.01,-73.38
1264515,43.89,-73.38
1264686,43.97,-73.38
1264742,43.65,-73.38
1264883,43.61,-73.38
1264885,43.69,-73.38
1265129,44.73,-73.34
1265154,43.65,-73.34
1265193,43.81,-73.34
1265236,44.01,-73.34
1265249,44.21,-73.34
1265301,44.97,-73.34
1265351,43.89,-73.34
1265353,43.77,-73.34
1265357,43.73,-73.34
1265372,43.97,-73.34
1265458,44.69,-73.34
1265463,44.85,-73.34
1266001,44.57,-73.34
1266002,44.81,-73.34
1266009,44.09,-73.34
1266054,44.17,-73.34
1266057,44.13,-73.34
1266069,44.65,-73.34
1266116,44.61,-73.34
1266128,43.85,-73.34
1266158,44.05,-73.34
1266195,43.69,-73.34
1266258,43.93,-73.34
1266316,44.89,-73.34
1266522,44.37,-73.3
1266530,44.25,-73.3
1266951,43.69,-73.3
1267103,44.33,-73.3
1267190,44.13,-73.3
1267204,44.65,-73.3
1267219,44.09,-73.3
1267233,43.81,-73.3
1267269,44.49,-73.3
1267279,44.85,-73.3
1267333,44.73,-73.3
1267335,43.97,-73.3
1267341,43.93,-73.3
1267344,43.85,-73.3
1267346,44.77,-73.3
1267355,44.01,-73.3
1267356,44.05,-73.3
1267374,44.61,-73.3
1267378,44.89,-73.3
1267399,44.81,-73.3
1267402,44.41,-73.3
1267406,44.21,-73.3
1267440,43.89,-73.3
1267448,44.93,-73.3
1267452,44.97,-73.3
1267491,44.17,-73.3
1267494,44.29,-73.3
1267507,44.53,-73.3
1267511,43.77,-73.3
1267514,44.57,-73.3
1267536,43.65,-73.3
1267610,44.69,-73.3
1267623,43.73,-73.3
1267660,43.89,-73.26
1267667,42.77,-73.26
1267672,44.97,-73.26
1267681,43.97,-73.26
1267702,44.53,-73.26
1267779,44.93,-73.26
1267794,44.85,-73.26
1267803,43.77,-73.26
1267815,44.69,-73.26
1267821,44.41,-73.26
1267851,43.61,-73.26
1267883,44.81,-73.26
1267884,44.89,-73.26
1267945,43.73,-73.26
1267955,44.77,-73.26
1267962,43.69,-73.26
1267966,44.73,-73.26
1268060,43.65,-73.26
1268185,43.57,-73.26
1268186,42.89,-73.26
1268253,44.57,-73.26
1268365,43.93,-73.26
1268397,44.37,-73.26
1268413,44.45,-73.26
1268444,42.85,-73.26
1268448,44.61,-73.26
1268465,44.65,-73.26
1268475,44.09,-73.26
1268487,43.81,-73.26
1268497,44.13,-73.26
1268619,44.25,-73.26
1268674,42.93,-73.26
1268694,44.17,-73.26
1268702,44.21,-73.26
1268703,44.01,-73.26
1268711,43.01,-73.26
1268763,44.33,-73.26
1268766,43.85,-73.26
1268784,44.05,-73.26
1268874,42.81,-73.26
1268886,44.29,-73.26
1268894,42.97,-73.26
1268911,43.05,-73.26
1268933,44.49,-73.26
1269018,44.17,-73.22
1269030,44.89,-73.22
1269038,43.73,-73.22
1269045,43.77,-73.22
1269047,44.53,-73.22
1269048,44.57,-73.22
1269060,43.89,-73.22
1269061,44.85,-73.22
1269062,42.81,-73.22
1269088,43.57,-73.22
1269095,44.65,-73.22
1269100,44.93,-73.22
1269103,44.81,-73.22
1269122,43.41,-73.22
1269124,43.61,-73.22
1269125,44.33,-73.22
1269126,44.97,-73.22
1269145,44.77,-73.22
1269149,43.93,-73.22
1269152,43.85,-73.22
1269155,43.69,-73.22
1269248,44.13,-73.22
1269259,43.97,-73.22
1269260,42.77,-73.22
1269288,44.09,-73.22
1269306,44.61,-73.22
1269312,42.85,-73.22
1269313,44.05,-73.22
1269427,43.81,-73.22
1269563,44.45,-73.22
1269568,43.05,-73.22
1269574,43.09,-73.22
1269597,43.13,-73.22
1269602,43.17,-73.22
1269608,43.29,-73.22
1269611,43.25,-73.22
1269616,43.45,-73.22
1269636,42.89,-73.22
1269655,42.93,-73.22
1269663,43.01,-73.22
1269669,43.33,-73.22
1269696,44.49,-73.22
1269708,43.53,-73.22
1269722,44.25,-73.22
1269732,44.37,-73.22
