,latitude,longitude
986471,36.61,-83.62
987265,36.61,-83.58
988187,36.61,-83.54
988460,36.65,-83.54
988715,36.61,-83.5
989233,36.65,-83.5
989585,36.61,-83.46
990049,36.65,-83.46
990598,36.65,-83.42
991177,36.61,-83.42
991596,36.65,-83.38
991815,36.61,-83.38
992221,36.69,-83.34
992410,36.61,-83.34
992964,36.65,-83.34
993279,36.61,-83.3
993607,36.69,-83.3
993723,36.65,-83.3
993880,36.69,-83.26
993914,36.65,-83.26
994249,36.61,-83.26
994676,36.69,-83.22
994729,36.73,-83.22
994900,36.65,-83.22
995017,36.61,-83.22
995748,36.73,-83.18
995766,36.69,-83.18
995788,36.65,-83.18
996165,36.61,-83.18
996583,36.61,-83.14
996817,36.69,-83.14
996827,36.65,-83.14
997105,36.73,-83.14
997461,36.77,-83.1
997596,36.69,-83.1
997686,36.65,-83.1
997708,36.73,-83.1
997840,36.61,-83.1
997995,36.65,-83.06
998154,36.77,-83.06
998214,36.69,-83.06
998284,36.73,-83.06
998606,36.81,-83.06
998676,36.61,-83.06
998835,36.61,-83.02
998904,36.65,-83.02
999003,36.77,-83.02
999005,36.69,-83.02
999177,36.85,-83.02
999209,36.81,-83.02
999342,36.73,-83.02
999676,36.81,-82.98
999748,36.73,-82.98
999822,36.69,-82.98
999841,36.65,-82.98
999863,36.77,-82.98
1000136,36.85,-82.98
1000304,36.61,-82.98
1000549,36.85,-82.94
1000713,36.61,-82.94
1000866,36.81,-82.94
1001097,36.77,-82.94
1001145,36.69,-82.94
1001157,36.73,-82.94
1001234,36.65,-82.94
1001648,36.77,-82.9
1001691,36.69,-82.9
1001806,36.61,-82.9
1001834,36.73,-82.9
1001962,36.65,-82.9
1002060,36.85,-82.9
1002087,36.81,-82.9
1002130,36.69,-82.86
1002161,36.89,-82.86
1002181,36.81,-82.86
1002254,36.61,-82.86
1002472,36.85,-82.86
1002589,36.65,-82.86
1002715,36.73,-82.86
1002821,36.77,-82.86
1002959,36.61,-82.82
1003318,36.85,-82.82
1003463,36.97,-82.82
1003554,36.69,-82.82
1003596,36.81,-82.82
1003607,36.93,-82.82
1003630,36.77,-82.82
1003660,36.89,-82.82
1003703,36.73,-82.82
1003762,36.65,-82.82
1003774,36.89,-82.78
1003912,36.73,-82.78
1003928,36.93,-82.78
1003991,37.01,-82.78
1004034,36.65,-82.78
1004165,36.85,-82.78
1004249,36.97,-82.78
1004267,36.61,-82.78
1004281,36.69,-82.78
1004463,36.77,-82.78
1004473,36.81,-82.78
1004596,37.01,-82.74
1004608,36.97,-82.74
1004654,36.61,-82.74
1004721,36.93,-82.74
1004770,36.73,-82.74
1004807,36.69,-82.74
1004896,36.77,-82.74
1005046,36.85,-82.74
1005136,36.65,-82.74
1005214,36.89,-82.74
1005249,36.81,-82.74
1005430,37.01,-82.7
1005483,36.65,-82.7
1005568,37.09,-82.7
1005753,36.81,-82.7
1005846,36.93,-82.7
1005860,36.89,-82.7
1005875,37.05,-82.7
1005937,36.61,-82.7
1005979,36.77,-82.7
1006082,36.97,-82.7
1006113,36.85,-82.7
1006151,36.73,-82.7
1006207,36.69,-82.7
1006273,36.85,-82.66
1006384,37.13,-82.66
1006503,36.65,-82.66
1006518,36.77,-82.66
1006620,37.01,-82.66
1006627,36.61,-82.66
1006684,36.89,-82.66
1006743,36.81,-82.66
1006744,36.69,-82.66
1006760,36.73,-82.66
1006780,36.93,-82.66
1006849,37.05,-82.66
1006889,36.97,-82.66
1006893,37.09,-82.66
1007082,36.65,-82.62
1007195,36.81,-82.62
1007273,37.09,-82.62
1007292,37.01,-82.62
1007473,36.85,-82.62
1007499,37.05,-82.62
1007501,36.73,-82.62
1007505,37.13,-82.62
1007506,36.69,-82.62
1007600,36.77,-82.62
1007602,36.97,-82.62
1007660,36.61,-82.62
1007677,36.93,-82.62
1007730,36.89,-82.62
1007976,36.89,-82.58
1008009,37.13,-82.58
1008010,36.69,-82.58
1008012,36.73,-82.58
1008070,36.65,-82.58
1008307,36.85,-82.58
1008310,37.05,-82.58
1008396,36.61,-82.58
1008453,36.97,-82.58
1008465,36.77,-82.58
1008542,37.09,-82.58
1008549,37.01,-82.58
1008601,36.81,-82.58
1008632,36.93,-82.58
1008675,37.17,-82.58
1008791,36.85,-82.54
1008794,36.89,-82.54
1008909,37.05,-82.54
1009028,36.97,-82.54
1009056,36.61,-82.54
1009110,36.77,-82.54
1009148,36.81,-82.54
1009154,36.93,-82.54
1009280,37.09,-82.54
1009356,37.17,-82.54
1009394,36.65,-82.54
1009415,36.69,-82.54
1009417,36.73,-82.54
1009424,37.13,-82.54
1009473,37.01,-82.54
1009542,37.21,-82.5
1009566,36.81,-82.5
1009577,36.93,-82.5
1009709,36.85,-82.5
1009932,36.89,-82.5
1009959,36.73,-82.5
1009966,37.13,-82.5
1009968,36.69,-82.5
1009992,37.17,-82.5
1010012,36.65,-82.5
1010099,37.09,-82.5
1010149,36.61,-82.5
1010187,37.05,-82.5
1010189,36.77,-82.5
1010221,36.97,-82.5
1010310,37.01,-82.5
1010372,36.65,-82.46
1010401,36.93,-82.46
1010407,37.17,-82.46
1010427,37.01,-82.46
1010466,36.73,-82.46
1010481,36.97,-82.46
1010531,36.61,-82.46
1010550,37.05,-82.46
1010635,36.89,-82.46
1010708,36.69,-82.46
1010822,36.81,-82.46
1011009,37.21,-82.46
1011027,37.09,-82.46
1011072,36.77,-82.46
1011083,36.85,-82.46
1011095,37.13,-82.46
1011169,37.21,-82.42
1011214,37.13,-82.42
1011219,36.93,-82.42
1011265,36.81,-82.42
1011459,36.89,-82.42
1011490,36.77,-82.42
1011579,36.61,-82.42
1011676,37.01,-82.42
1011677,37.09,-82.42
1011702,37.05,-82.42
1011712,36.85,-82.42
1011758,37.17,-82.42
