,latitude,longitude
216428,45.57,-122.26
216902,45.61,-122.5
216903,45.61,-122.46
216904,45.61,-122.42
216905,45.61,-122.38
216906,45.61,-122.34
216907,45.61,-122.3
216908,45.61,-122.26
216909,45.61,-122.22
216910,45.61,-122.18
216911,45.61,-122.14
216912,45.61,-122.1
217377,45.65,-122.7
217378,45.65,-122.66
217379,45.65,-122.62
217380,45.65,-122.58
217381,45.65,-122.54
217382,45.65,-122.5
217383,45.65,-122.46
217384,45.65,-122.42
217385,45.65,-122.38
217386,45.65,-122.34
217387,45.65,-122.3
217388,45.65,-122.26
217389,45.65,-122.22
217390,45.65,-122.18
217391,45.65,-122.14
217392,45.65,-122.1
217393,45.65,-122.06
217394,45.65,-122.02
217395,45.65,-121.98
217415,45.65,-121.18
217416,45.65,-121.14
217417,45.65,-121.1
217418,45.65,-121.06
217419,45.65,-121.02
217420,45.65,-120.98
217421,45.65,-120.94
217422,45.65,-120.9
217423,45.65,-120.86
217856,45.69,-122.74
217857,45.69,-122.7
217858,45.69,-122.66
217859,45.69,-122.62
217860,45.69,-122.58
217861,45.69,-122.54
217862,45.69,-122.5
217863,45.69,-122.46
217864,45.69,-122.42
217865,45.69,-122.38
217866,45.69,-122.34
217867,45.69,-122.3
217868,45.69,-122.26
217869,45.69,-122.22
217870,45.69,-122.18
217871,45.69,-122.14
217872,45.69,-122.1
217873,45.69,-122.06
217874,45.69,-122.02
217875,45.69,-121.98
217876,45.69,-121.94
217877,45.69,-121.9
217895,45.69,-121.18
217896,45.69,-121.14
217897,45.69,-121.1
217898,45.69,-121.06
217899,45.69,-121.02
217900,45.69,-120.98
217901,45.69,-120.94
217902,45.69,-120.9
217903,45.69,-120.86
217904,45.69,-120.82
217905,45.69,-120.78
217906,45.69,-120.74
218336,45.73,-122.74
218337,45.73,-122.7
218338,45.73,-122.66
218339,45.73,-122.62
218340,45.73,-122.58
218341,45.73,-122.54
218342,45.73,-122.5
218343,45.73,-122.46
218344,45.73,-122.42
218345,45.73,-122.38
218346,45.73,-122.34
218347,45.73,-122.3
218348,45.73,-122.26
218349,45.73,-122.22
218350,45.73,-122.18
218351,45.73,-122.14
218352,45.73,-122.1
218353,45.73,-122.06
218354,45.73,-122.02
218355,45.73,-121.98
218356,45.73,-121.94
218357,45.73,-121.9
218358,45.73,-121.86
218359,45.73,-121.82
218360,45.73,-121.78
218361,45.73,-121.74
218362,45.73,-121.7
218363,45.73,-121.66
218364,45.73,-121.62
218365,45.73,-121.58
218366,45.73,-121.54
218367,45.73,-121.5
218368,45.73,-121.46
218369,45.73,-121.42
218370,45.73,-121.38
218371,45.73,-121.34
218372,45.73,-121.3
218373,45.73,-121.26
218374,45.73,-121.22
218375,45.73,-121.18
218376,45.73,-121.14
218377,45.73,-121.1
218378,45.73,-121.06
218379,45.73,-121.02
218380,45.73,-120.98
218381,45.73,-120.94
218382,45.73,-120.9
218383,45.73,-120.86
218384,45.73,-120.82
218385,45.73,-120.78
218386,45.73,-120.74
218387,45.73,-120.7
218388,45.73,-120.66
218389,45.73,-120.62
218390,45.73,-120.58
218391,45.73,-120.54
218392,45.73,-120.5
218393,45.73,-120.46
218394,45.73,-120.42
218395,45.73,-120.38
218396,45.73,-120.34
218816,45.77,-122.74
218817,45.77,-122.7
218818,45.77,-122.66
218819,45.77,-122.62
218820,45.77,-122.58
218821,45.77,-122.54
218822,45.77,-122.5
218823,45.77,-122.46
218824,45.77,-122.42
218825,45.77,-122.38
218826,45.77,-122.34
218827,45.77,-122.3
218828,45.77,-122.26
218829,45.77,-122.22
218830,45.77,-122.18
218831,45.77,-122.14
218832,45.77,-122.1
218833,45.77,-122.06
218834,45.77,-122.02
218835,45.77,-121.98
218836,45.77,-121.94
218837,45.77,-121.9
218838,45.77,-121.86
218839,45.77,-121.82
218840,45.77,-121.78
218841,45.77,-121.74
218842,45.77,-121.7
218843,45.77,-121.66
218844,45.77,-121.62
218845,45.77,-121.58
218846,45.77,-121.54
218847,45.77,-121.5
218848,45.77,-121.46
218849,45.77,-121.42
218850,45.77,-121.38
218851,45.77,-121.34
218852,45.77,-121.3
218853,45.77,-121.26
218854,45.77,-121.22
218855,45.77,-121.18
218856,45.77,-121.14
218857,45.77,-121.1
218858,45.77,-121.06
218859,45.77,-121.02
218860,45.77,-120.98
218861,45.77,-120.94
218862,45.77,-120.9
218863,45.77,-120.86
218864,45.77,-120.82
218865,45.77,-120.78
218866,45.77,-120.74
218867,45.77,-120.7
218868,45.77,-120.66
218869,45.77,-120.62
218870,45.77,-120.58
218871,45.77,-120.54
218872,45.77,-120.5
218873,45.77,-120.46
218874,45.77,-120.42
218875,45.77,-120.38
218876,45.77,-120.34
218877,45.77,-120.3
218878,45.77,-120.26
218879,45.77,-120.22
218880,45.77,-120.18
219296,45.81,-122.74
219297,45.81,-122.7
219298,45.81,-122.66
219299,45.81,-122.62
219300,45.81,-122.58
219301,45.81,-122.54
219302,45.81,-122.5
219303,45.81,-122.46
219304,45.81,-122.42
219305,45.81,-122.38
219306,45.81,-122.34
219307,45.81,-122.3
219308,45.81,-122.26
219309,45.81,-122.22
219310,45.81,-122.18
219311,45.81,-122.14
219312,45.81,-122.1
219313,45.81,-122.06
219314,45.81,-122.02
219315,45.81,-121.98
219316,45.81,-121.94
219317,45.81,-121.9
219318,45.81,-121.86
219319,45.81,-121.82
219320,45.81,-121.78
219321,45.81,-121.74
219322,45.81,-121.7
219323,45.81,-121.66
219324,45.81,-121.62
219325,45.81,-121.58
219326,45.81,-121.54
219327,45.81,-121.5
219328,45.81,-121.46
219329,45.81,-121.42
219330,45.81,-121.38
219331,45.81,-121.34
219332,45.81,-121.3
219333,45.81,-121.26
219334,45.81,-121.22
219335,45.81,-121.18
219336,45.81,-121.14
219337,45.81,-121.1
219338,45.81,-121.06
219339,45.81,-121.02
219340,45.81,-120.98
219341,45.81,-120.94
219342,45.81,-120.9
219343,45.81,-120.86
219344,45.81,-120.82
219345,45.81,-120.78
219346,45.81,-120.74
219347,45.81,-120.7
219348,45.81,-120.66
219349,45.81,-120.62
219350,45.81,-120.58
219351,45.81,-120.54
219352,45.81,-120.5
219353,45.81,-120.46
219354,45.81,-120.42
219355,45.81,-120.38
219356,45.81,-120.34
219357,45.81,-120.3
219358,45.81,-120.26
219359,45.81,-120.22
219360,45.81,-120.18
219361,45.81,-120.14
219362,45.81,-120.1
219363,45.81,-120.06
219364,45.81,-120.02
219776,45.85,-122.74
219777,45.85,-122.7
219778,45.85,-122.66
219779,45.85,-122.62
219780,45.85,-122.58
219781,45.85,-122.54
219782,45.85,-122.5
219783,45.85,-122.46
219784,45.85,-122.42
219785,45.85,-122.38
219786,45.85,-122.34
219787,45.85,-122.3
219788,45.85,-122.26
219789,45.85,-122.22
219790,45.85,-122.18
219791,45.85,-122.14
219792,45.85,-122.1
219793,45.85,-122.06
219794,45.85,-122.02
219795,45.85,-121.98
219796,45.85,-121.94
219797,45.85,-121.9
219798,45.85,-121.86
219799,45.85,-121.82
219800,45.85,-121.78
219801,45.85,-121.74
219802,45.85,-121.7
219803,45.85,-121.66
219804,45.85,-121.62
219805,45.85,-121.58
219806,45.85,-121.54
219807,45.85,-121.5
219808,45.85,-121.46
219809,45.85,-121.42
219810,45.85,-121.38
219811,45.85,-121.34
219812,45.85,-121.3
219813,45.85,-121.26
219814,45.85,-121.22
219815,45.85,-121.18
219816,45.85,-121.14
219817,45.85,-121.1
219818,45.85,-121.06
219819,45.85,-121.02
219820,45.85,-120.98
219821,45.85,-120.94
219822,45.85,-120.9
219823,45.85,-120.86
219824,45.85,-120.82
219825,45.85,-120.78
219826,45.85,-120.74
219827,45.85,-120.7
219828,45.85,-120.66
219829,45.85,-120.62
219830,45.85,-120.58
219831,45.85,-120.54
219832,45.85,-120.5
219833,45.85,-120.46
219834,45.85,-120.42
219835,45.85,-120.38
219836,45.85,-120.34
219837,45.85,-120.3
219838,45.85,-120.26
219839,45.85,-120.22
219840,45.85,-120.18
219841,45.85,-120.14
219842,45.85,-120.1
219843,45.85,-120.06
219844,45.85,-120.02
219845,45.85,-119.98
219846,45.85,-119.94
219847,45.85,-119.9
219848,45.85,-119.86
219849,45.85,-119.82
220255,45.89,-122.78
220256,45.89,-122.74
220257,45.89,-122.7
220258,45.89,-122.66
220259,45.89,-122.62
220260,45.89,-122.58
220261,45.89,-122.54
220262,45.89,-122.5
220263,45.89,-122.46
220264,45.89,-122.42
220265,45.89,-122.38
220266,45.89,-122.34
220267,45.89,-122.3
220268,45.89,-122.26
220269,45.89,-122.22
220270,45.89,-122.18
220271,45.89,-122.14
220272,45.89,-122.1
220273,45.89,-122.06
220274,45.89,-122.02
220275,45.89,-121.98
220276,45.89,-121.94
220277,45.89,-121.9
220278,45.89,-121.86
220279,45.89,-121.82
220280,45.89,-121.78
220281,45.89,-121.74
220282,45.89,-121.7
220283,45.89,-121.66
220284,45.89,-121.62
220285,45.89,-121.58
220286,45.89,-121.54
220287,45.89,-121.5
220288,45.89,-121.46
220289,45.89,-121.42
220290,45.89,-121.38
220291,45.89,-121.34
220292,45.89,-121.3
220293,45.89,-121.26
220294,45.89,-121.22
220295,45.89,-121.18
220296,45.89,-121.14
220297,45.89,-121.1
220298,45.89,-121.06
220299,45.89,-121.02
220300,45.89,-120.98
220301,45.89,-120.94
