,latitude,longitude
1007376,38.17,-82.62
1008221,38.13,-82.58
1008226,38.17,-82.58
1008352,38.37,-82.58
1008525,38.41,-82.58
1008552,38.21,-82.58
1008801,38.25,-82.54
1008803,38.21,-82.54
1008879,38.13,-82.54
1008907,38.17,-82.54
1009038,38.37,-82.54
1009125,38.29,-82.54
1009129,38.09,-82.54
1009161,38.05,-82.54
1009346,38.33,-82.54
1009710,38.25,-82.5
1009816,38.09,-82.5
1009969,38.21,-82.5
1010007,38.05,-82.5
1010110,38.33,-82.5
1010153,38.37,-82.5
1010167,38.17,-82.5
1010196,38.13,-82.5
1010204,38.29,-82.5
1010257,38.01,-82.5
1010526,37.97,-82.46
1010609,38.41,-82.46
1010625,38.33,-82.46
1010689,38.37,-82.46
1010753,38.13,-82.46
1010781,38.17,-82.46
1010910,38.05,-82.46
1011051,38.21,-82.46
1011056,38.25,-82.46
1011085,38.29,-82.46
1011108,38.01,-82.46
1011131,38.09,-82.46
1011139,37.93,-82.46
1011238,38.25,-82.42
1011342,38.01,-82.42
1011372,38.09,-82.42
1011437,38.21,-82.42
1011438,38.29,-82.42
1011469,38.05,-82.42
1011524,38.17,-82.42
1011552,37.89,-82.42
1011573,37.97,-82.42
1011591,38.37,-82.42
1011657,37.93,-82.42
1011852,38.13,-82.42
1011922,38.41,-82.42
1011968,38.33,-82.42
1012018,37.93,-82.38
1012062,38.37,-82.38
1012112,38.33,-82.38
1012164,38.17,-82.38
1012173,37.85,-82.38
1012177,37.97,-82.38
1012201,38.05,-82.38
1012213,38.09,-82.38
1012251,38.25,-82.38
1012264,38.01,-82.38
1012270,38.29,-82.38
1012278,38.21,-82.38
1012292,38.41,-82.38
1012303,38.13,-82.38
1012352,37.89,-82.38
1012461,37.81,-82.38
1012851,37.85,-82.34
1012934,37.89,-82.34
1012952,38.17,-82.34
1013004,37.97,-82.34
1013109,37.93,-82.34
1013131,38.33,-82.34
1013149,38.01,-82.34
1013198,38.09,-82.34
1013283,38.41,-82.34
1013333,37.81,-82.34
