,latitude,longitude
785263,45.61,-92.9
785869,45.69,-92.86
785939,45.65,-92.86
786554,45.61,-92.86
786647,45.57,-92.86
786707,45.69,-92.82
786790,45.57,-92.82
786793,45.65,-92.82
786794,45.73,-92.82
786825,45.61,-92.82
787792,45.61,-92.78
787795,45.57,-92.78
788047,45.69,-92.78
788138,44.81,-92.78
788208,45.73,-92.78
788235,45.65,-92.78
788236,44.77,-92.78
788280,45.77,-92.78
788323,45.05,-92.78
788345,45.29,-92.74
788356,44.85,-92.74
788397,45.25,-92.74
788454,44.81,-92.74
788499,44.89,-92.74
788509,44.97,-92.74
788518,45.01,-92.74
788530,45.21,-92.74
788550,45.17,-92.74
788587,44.93,-92.74
788598,45.05,-92.74
788637,44.73,-92.74
788674,44.77,-92.74
788708,45.09,-92.74
788781,45.65,-92.74
788786,45.73,-92.74
788807,45.77,-92.74
788810,45.81,-92.74
788943,45.69,-92.74
788978,45.13,-92.74
789086,45.61,-92.74
789156,45.85,-92.74
789166,45.57,-92.74
789249,45.01,-92.7
789252,44.97,-92.7
789257,45.05,-92.7
789275,45.33,-92.7
789345,45.85,-92.7
789368,45.61,-92.7
789407,44.81,-92.7
789425,45.13,-92.7
789431,44.85,-92.7
789444,44.89,-92.7
789492,44.93,-92.7
789505,44.73,-92.7
789593,45.25,-92.7
789611,45.69,-92.7
789615,45.77,-92.7
789619,45.53,-92.7
789685,45.89,-92.7
789758,45.17,-92.7
789771,45.21,-92.7
789859,45.09,-92.7
789861,44.69,-92.7
789871,45.65,-92.7
789886,44.77,-92.7
789890,45.73,-92.7
789913,45.29,-92.7
789919,45.81,-92.7
789964,45.57,-92.7
789994,45.49,-92.7
790026,45.37,-92.66
790028,44.69,-92.66
790050,45.73,-92.66
790064,45.53,-92.66
790080,45.17,-92.66
790081,45.25,-92.66
790082,45.21,-92.66
790089,45.65,-92.66
790111,44.81,-92.66
790114,45.01,-92.66
790115,45.13,-92.66
790119,45.33,-92.66
790141,45.45,-92.66
790166,44.97,-92.66
790167,45.05,-92.66
790194,45.57,-92.66
790201,45.29,-92.66
790217,45.41,-92.66
790218,45.09,-92.66
790225,45.81,-92.66
790232,45.61,-92.66
790240,44.73,-92.66
790249,45.49,-92.66
790265,45.77,-92.66
790267,45.69,-92.66
790306,44.85,-92.66
790441,44.77,-92.66
790456,45.89,-92.66
790626,45.85,-92.66
790674,44.93,-92.66
790767,44.89,-92.66
790839,45.13,-92.62
790907,45.57,-92.62
791029,45.81,-92.62
791041,45.65,-92.62
791064,45.41,-92.62
791065,45.37,-92.62
791092,45.45,-92.62
791096,45.33,-92.62
791105,45.49,-92.62
