,latitude,longitude
161268,41.01,-111.02
161269,41.01,-110.98
161270,41.01,-110.94
161271,41.01,-110.9
161272,41.01,-110.86
161273,41.01,-110.82
161274,41.01,-110.78
161275,41.01,-110.74
161276,41.01,-110.7
161277,41.01,-110.66
161278,41.01,-110.62
161279,41.01,-110.58
161280,41.01,-110.54
161281,41.01,-110.5
161282,41.01,-110.46
161283,41.01,-110.42
161284,41.01,-110.38
161285,41.01,-110.34
161286,41.01,-110.3
161287,41.01,-110.26
161288,41.01,-110.22
161289,41.01,-110.18
161290,41.01,-110.14
161291,41.01,-110.1
161292,41.01,-110.06
161293,41.01,-110.02
161294,41.01,-109.98
161295,41.01,-109.94
161296,41.01,-109.9
161297,41.01,-109.86
161298,41.01,-109.82
161299,41.01,-109.78
161300,41.01,-109.74
161301,41.01,-109.7
161302,41.01,-109.66
161303,41.01,-109.62
161304,41.01,-109.58
161305,41.01,-109.54
161306,41.01,-109.5
161307,41.01,-109.46
161308,41.01,-109.42
161309,41.01,-109.38
161310,41.01,-109.34
161311,41.01,-109.3
161312,41.01,-109.26
161313,41.01,-109.22
161314,41.01,-109.18
161315,41.01,-109.14
161316,41.01,-109.1
161317,41.01,-109.06
161318,41.01,-109.02
161319,41.01,-108.98
161320,41.01,-108.94
161321,41.01,-108.9
161322,41.01,-108.86
161323,41.01,-108.82
161324,41.01,-108.78
161325,41.01,-108.74
161326,41.01,-108.7
161327,41.01,-108.66
161328,41.01,-108.62
161329,41.01,-108.58
161330,41.01,-108.54
161331,41.01,-108.5
161332,41.01,-108.46
161333,41.01,-108.42
161334,41.01,-108.38
161335,41.01,-108.34
161336,41.01,-108.3
161337,41.01,-108.26
161338,41.01,-108.22
161339,41.01,-108.18
161340,41.01,-108.14
161341,41.01,-108.1
161342,41.01,-108.06
161343,41.01,-108.02
161344,41.01,-107.98
161345,41.01,-107.94
161346,41.01,-107.9
161347,41.01,-107.86
161348,41.01,-107.82
161349,41.01,-107.78
161350,41.01,-107.74
161351,41.01,-107.7
161352,41.01,-107.66
161353,41.01,-107.62
161354,41.01,-107.58
161355,41.01,-107.54
161356,41.01,-107.5
161357,41.01,-107.46
161358,41.01,-107.42
161359,41.01,-107.38
161360,41.01,-107.34
161361,41.01,-107.3
161362,41.01,-107.26
161363,41.01,-107.22
161364,41.01,-107.18
161365,41.01,-107.14
161366,41.01,-107.1
161367,41.01,-107.06
161368,41.01,-107.02
161369,41.01,-106.98
161370,41.01,-106.94
161371,41.01,-106.9
161372,41.01,-106.86
161373,41.01,-106.82
161374,41.01,-106.78
161375,41.01,-106.74
161376,41.01,-106.7
161377,41.01,-106.66
161378,41.01,-106.62
161379,41.01,-106.58
161380,41.01,-106.54
161381,41.01,-106.5
161382,41.01,-106.46
161383,41.01,-106.42
161384,41.01,-106.38
161385,41.01,-106.34
161386,41.01,-106.3
161387,41.01,-106.26
161388,41.01,-106.22
161389,41.01,-106.18
161390,41.01,-106.14
161391,41.01,-106.1
161392,41.01,-106.06
161393,41.01,-106.02
161394,41.01,-105.98
161395,41.01,-105.94
161396,41.01,-105.9
161397,41.01,-105.86
161398,41.01,-105.82
161399,41.01,-105.78
161400,41.01,-105.74
161401,41.01,-105.7
161402,41.01,-105.66
161403,41.01,-105.62
161404,41.01,-105.58
161405,41.01,-105.54
161406,41.01,-105.5
161407,41.01,-105.46
161408,41.01,-105.42
161409,41.01,-105.38
161410,41.01,-105.34
161411,41.01,-105.3
161412,41.01,-105.26
161413,41.01,-105.22
161414,41.01,-105.18
161415,41.01,-105.14
161416,41.01,-105.1
161417,41.01,-105.06
161418,41.01,-105.02
161752,41.05,-111.02
161753,41.05,-110.98
161754,41.05,-110.94
161755,41.05,-110.9
161756,41.05,-110.86
161757,41.05,-110.82
161758,41.05,-110.78
161759,41.05,-110.74
161760,41.05,-110.7
161761,41.05,-110.66
161762,41.05,-110.62
161763,41.05,-110.58
161764,41.05,-110.54
161765,41.05,-110.5
161766,41.05,-110.46
161767,41.05,-110.42
161768,41.05,-110.38
161769,41.05,-110.34
161770,41.05,-110.3
161771,41.05,-110.26
161772,41.05,-110.22
161773,41.05,-110.18
161774,41.05,-110.14
161775,41.05,-110.1
161776,41.05,-110.06
161777,41.05,-110.02
161778,41.05,-109.98
161779,41.05,-109.94
161780,41.05,-109.9
161781,41.05,-109.86
161782,41.05,-109.82
161783,41.05,-109.78
161784,41.05,-109.74
161785,41.05,-109.7
161786,41.05,-109.66
161787,41.05,-109.62
161788,41.05,-109.58
161789,41.05,-109.54
161790,41.05,-109.5
161791,41.05,-109.46
161792,41.05,-109.42
161793,41.05,-109.38
161794,41.05,-109.34
161795,41.05,-109.3
161796,41.05,-109.26
161797,41.05,-109.22
161798,41.05,-109.18
161799,41.05,-109.14
161800,41.05,-109.1
161801,41.05,-109.06
161802,41.05,-109.02
161803,41.05,-108.98
161804,41.05,-108.94
161805,41.05,-108.9
161806,41.05,-108.86
161807,41.05,-108.82
161808,41.05,-108.78
161809,41.05,-108.74
161810,41.05,-108.7
161811,41.05,-108.66
161812,41.05,-108.62
161813,41.05,-108.58
161814,41.05,-108.54
161815,41.05,-108.5
161816,41.05,-108.46
161817,41.05,-108.42
161818,41.05,-108.38
161819,41.05,-108.34
161820,41.05,-108.3
161821,41.05,-108.26
161822,41.05,-108.22
161823,41.05,-108.18
161824,41.05,-108.14
161825,41.05,-108.1
161826,41.05,-108.06
161827,41.05,-108.02
161828,41.05,-107.98
161829,41.05,-107.94
161830,41.05,-107.9
161831,41.05,-107.86
161832,41.05,-107.82
161833,41.05,-107.78
161834,41.05,-107.74
161835,41.05,-107.7
161836,41.05,-107.66
161837,41.05,-107.62
161838,41.05,-107.58
161839,41.05,-107.54
161840,41.05,-107.5
161841,41.05,-107.46
161842,41.05,-107.42
161843,41.05,-107.38
161844,41.05,-107.34
161845,41.05,-107.3
161846,41.05,-107.26
161847,41.05,-107.22
161848,41.05,-107.18
161849,41.05,-107.14
161850,41.05,-107.1
161851,41.05,-107.06
161852,41.05,-107.02
161853,41.05,-106.98
161854,41.05,-106.94
161855,41.05,-106.9
161856,41.05,-106.86
161857,41.05,-106.82
161858,41.05,-106.78
161859,41.05,-106.74
161860,41.05,-106.7
161861,41.05,-106.66
161862,41.05,-106.62
161863,41.05,-106.58
161864,41.05,-106.54
161865,41.05,-106.5
161866,41.05,-106.46
161867,41.05,-106.42
161868,41.05,-106.38
161869,41.05,-106.34
161870,41.05,-106.3
161871,41.05,-106.26
161872,41.05,-106.22
161873,41.05,-106.18
161874,41.05,-106.14
161875,41.05,-106.1
161876,41.05,-106.06
161877,41.05,-106.02
161878,41.05,-105.98
161879,41.05,-105.94
161880,41.05,-105.9
161881,41.05,-105.86
161882,41.05,-105.82
161883,41.05,-105.78
161884,41.05,-105.74
161885,41.05,-105.7
161886,41.05,-105.66
161887,41.05,-105.62
161888,41.05,-105.58
161889,41.05,-105.54
161890,41.05,-105.5
161891,41.05,-105.46
161892,41.05,-105.42
161893,41.05,-105.38
161894,41.05,-105.34
161895,41.05,-105.3
161896,41.05,-105.26
161897,41.05,-105.22
161898,41.05,-105.18
161899,41.05,-105.14
161900,41.05,-105.1
161901,41.05,-105.06
161902,41.05,-105.02
162236,41.09,-111.02
162237,41.09,-110.98
162238,41.09,-110.94
162239,41.09,-110.9
162240,41.09,-110.86
162241,41.09,-110.82
162242,41.09,-110.78
162243,41.09,-110.74
162244,41.09,-110.7
162245,41.09,-110.66
162246,41.09,-110.62
162247,41.09,-110.58
162248,41.09,-110.54
162249,41.09,-110.5
162250,41.09,-110.46
162251,41.09,-110.42
162252,41.09,-110.38
162253,41.09,-110.34
162254,41.09,-110.3
162255,41.09,-110.26
162256,41.09,-110.22
162257,41.09,-110.18
162258,41.09,-110.14
162259,41.09,-110.1
162260,41.09,-110.06
162261,41.09,-110.02
162262,41.09,-109.98
162263,41.09,-109.94
162264,41.09,-109.9
162265,41.09,-109.86
162266,41.09,-109.82
162267,41.09,-109.78
162268,41.09,-109.74
162269,41.09,-109.7
162270,41.09,-109.66
162271,41.09,-109.62
162272,41.09,-109.58
162273,41.09,-109.54
162274,41.09,-109.5
162275,41.09,-109.46
162276,41.09,-109.42
162277,41.09,-109.38
162278,41.09,-109.34
162279,41.09,-109.3
162280,41.09,-109.26
162281,41.09,-109.22
162282,41.09,-109.18
162283,41.09,-109.14
162284,41.09,-109.1
162285,41.09,-109.06
162286,41.09,-109.02
162287,41.09,-108.98
162288,41.09,-108.94
162289,41.09,-108.9
162290,41.09,-108.86
162291,41.09,-108.82
162292,41.09,-108.78
162293,41.09,-108.74
162294,41.09,-108.7
162295,41.09,-108.66
162296,41.09,-108.62
162297,41.09,-108.58
162298,41.09,-108.54
162299,41.09,-108.5
162300,41.09,-108.46
162301,41.09,-108.42
162302,41.09,-108.38
162303,41.09,-108.34
162304,41.09,-108.3
162305,41.09,-108.26
162306,41.09,-108.22
162307,41.09,-108.18
162308,41.09,-108.14
162309,41.09,-108.1
162310,41.09,-108.06
162311,41.09,-108.02
162312,41.09,-107.98
162313,41.09,-107.94
162314,41.09,-107.9
162315,41.09,-107.86
162316,41.09,-107.82
162317,41.09,-107.78
162318,41.09,-107.74
162319,41.09,-107.7
162320,41.09,-107.66
162321,41.09,-107.62
162322,41.09,-107.58
162323,41.09,-107.54
162324,41.09,-107.5
162325,41.09,-107.46
162326,41.09,-107.42
162327,41.09,-107.38
162328,41.09,-107.34
162329,41.09,-107.3
162330,41.09,-107.26
162331,41.09,-107.22
162332,41.09,-107.18
162333,41.09,-107.14
162334,41.09,-107.1
162335,41.09,-107.06
162336,41.09,-107.02
162337,41.09,-106.98
162338,41.09,-106.94
162339,41.09,-106.9
162340,41.09,-106.86
162341,41.09,-106.82
162342,41.09,-106.78
162343,41.09,-106.74
162344,41.09,-106.7
162345,41.09,-106.66
162346,41.09,-106.62
162347,41.09,-106.58
162348,41.09,-106.54
162349,41.09,-106.5
162350,41.09,-106.46
162351,41.09,-106.42
162352,41.09,-106.38
162353,41.09,-106.34
162354,41.09,-106.3
162355,41.09,-106.26
162356,41.09,-106.22
162357,41.09,-106.18
162358,41.09,-106.14
162359,41.09,-106.1
162360,41.09,-106.06
162361,41.09,-106.02
162362,41.09,-105.98
162363,41.09,-105.94
162364,41.09,-105.9
162365,41.09,-105.86
162366,41.09,-105.82
162367,41.09,-105.78
162368,41.09,-105.74
162369,41.09,-105.7
162370,41.09,-105.66
162371,41.09,-105.62
162372,41.09,-105.58
162373,41.09,-105.54
162374,41.09,-105.5
162375,41.09,-105.46
162376,41.09,-105.42
162377,41.09,-105.38
162378,41.09,-105.34
162379,41.09,-105.3
162380,41.09,-105.26
162381,41.09,-105.22
162382,41.09,-105.18
162383,41.09,-105.14
162384,41.09,-105.1
162385,41.09,-105.06
162386,41.09,-105.02
162720,41.13,-111.02
162721,41.13,-110.98
162722,41.13,-110.94
162723,41.13,-110.9
162724,41.13,-110.86
162725,41.13,-110.82
162726,41.13,-110.78
162727,41.13,-110.74
162728,41.13,-110.7
162729,41.13,-110.66
162730,41.13,-110.62
162731,41.13,-110.58
162732,41.13,-110.54
162733,41.13,-110.5
162734,41.13,-110.46
162735,41.13,-110.42
162736,41.13,-110.38
162737,41.13,-110.34
162738,41.13,-110.3
162739,41.13,-110.26
162740,41.13,-110.22
162741,41.13,-110.18
162742,41.13,-110.14
162743,41.13,-110.1
162744,41.13,-110.06
162745,41.13,-110.02
162746,41.13,-109.98
162747,41.13,-109.94
162748,41.13,-109.9
162749,41.13,-109.86
162750,41.13,-109.82
162751,41.13,-109.78
162752,41.13,-109.74
162753,41.13,-109.7
162754,41.13,-109.66
162755,41.13,-109.62
162756,41.13,-109.58
162757,41.13,-109.54
162758,41.13,-109.5
162759,41.13,-109.46
162760,41.13,-109.42
162761,41.13,-109.38
162762,41.13,-109.34
162763,41.13,-109.3
162764,41.13,-109.26
162765,41.13,-109.22
162766,41.13,-109.18
162767,41.13,-109.14
162768,41.13,-109.1
162769,41.13,-109.06
162770,41.13,-109.02
162771,41.13,-108.98
162772,41.13,-108.94
162773,41.13,-108.9
162774,41.13,-108.86
162775,41.13,-108.82
162776,41.13,-108.78
162777,41.13,-108.74
162778,41.13,-108.7
162779,41.13,-108.66
162780,41.13,-108.62
162781,41.13,-108.58
162782,41.13,-108.54
162783,41.13,-108.5
162784,41.13,-108.46
162785,41.13,-108.42
162786,41.13,-108.38
162787,41.13,-108.34
162788,41.13,-108.3
162789,41.13,-108.26
162790,41.13,-108.22
162791,41.13,-108.18
162792,41.13,-108.14
162793,41.13,-108.1
162794,41.13,-108.06
162795,41.13,-108.02
162796,41.13,-107.98
162797,41.13,-107.94
162798,41.13,-107.9
162799,41.13,-107.86
162800,41.13,-107.82
162801,41.13,-107.78
162802,41.13,-107.74
162803,41.13,-107.7
162804,41.13,-107.66
162805,41.13,-107.62
162806,41.13,-107.58
162807,41.13,-107.54
162808,41.13,-107.5
162809,41.13,-107.46
162810,41.13,-107.42
162811,41.13,-107.38
162812,41.13,-107.34
162813,41.13,-107.3
162814,41.13,-107.26
162815,41.13,-107.22
162816,41.13,-107.18
162817,41.13,-107.14
162818,41.13,-107.1
162819,41.13,-107.06
162820,41.13,-107.02
162821,41.13,-106.98
162822,41.13,-106.94
162823,41.13,-106.9
162824,41.13,-106.86
162825,41.13,-106.82
162826,41.13,-106.78
162827,41.13,-106.74
162828,41.13,-106.7
162829,41.13,-106.66
162830,41.13,-106.62
162831,41.13,-106.58
162832,41.13,-106.54
162833,41.13,-106.5
162834,41.13,-106.46
162835,41.13,-106.42
162836,41.13,-106.38
162837,41.13,-106.34
162838,41.13,-106.3
162839,41.13,-106.26
162840,41.13,-106.22
